year,event,award,team,qual_rank,n_teams,rank_pct
2025,2025alhu,Regional FIRST Impact Award,1038,7,44,15.9
2025,2025alhu,Regional Engineering Inspiration Award,34,13,44,29.5
2025,2025alhu,Rookie All Star Award,10011,19,44,43.2
2025,2025alhu,Woodie Flowers Finalist Award,34,13,44,29.5
2025,2025alhu,FIRST Dean's List Finalist Award,3630,5,44,11.4
2025,2025alhu,FIRST Dean's List Finalist Award,2338,1,44,2.3
2025,2025alhu,Regional Winners,2338,1,44,2.3
2025,2025alhu,Regional Winners,4020,4,44,9.1
2025,2025alhu,Regional Winners,10011,19,44,43.2
2025,2025alhu,Regional Finalists,4028,2,44,4.5
2025,2025alhu,Regional Finalists,2783,3,44,6.8
2025,2025alhu,Regional Finalists,7111,36,44,81.8
2025,2025alhu,Autonomous Award,2338,1,44,2.3
2025,2025alhu,Creativity Award sponsored by Rockwell Automation,7428,6,44,13.6
2025,2025alhu,Excellence in Engineering Award,325,9,44,20.5
2025,2025alhu,Gracious Professionalism Award,2783,3,44,6.8
2025,2025alhu,Imagery Award in honor of Jack Kamen,3966,10,44,22.7
2025,2025alhu,Industrial Design Award sponsored by General Motors,4028,2,44,4.5
2025,2025alhu,Innovation in Control Award sponsored by nVent,6517,26,44,59.1
2025,2025alhu,Judges' Award,3814,44,44,100.0
2025,2025alhu,Quality Award,144,20,44,45.5
2025,2025alhu,Rising All-Star Award,9097,38,44,86.4
2025,2025alhu,Team Spirit Award,3630,5,44,11.4
2025,2025alhu,Team Sustainability Award sponsored by Dow,2220,11,44,25.0
2025,2025arc,Engineering Inspiration Award,5951,17,75,22.7
2025,2025arc,Rookie All Star Award,10466,72,75,96.0
2025,2025arc,Championship Division Winner,8044,1,75,1.3
2025,2025arc,Championship Division Winner,2481,8,75,10.7
2025,2025arc,Championship Division Winner,3940,30,75,40.0
2025,2025arc,Championship Division Winner,4788,27,75,36.0
2025,2025arc,Championship Division Finalist,4391,5,75,6.7
2025,2025arc,Championship Division Finalist,2231,46,75,61.3
2025,2025arc,Championship Division Finalist,2338,13,75,17.3
2025,2025arc,Championship Division Finalist,2106,10,75,13.3
2025,2025arc,Autonomous Award,2481,8,75,10.7
2025,2025arc,Creativity Award sponsored by Rockwell Automation,7211,18,75,24.0
2025,2025arc,Excellence in Engineering Award,2834,19,75,25.3
2025,2025arc,Gracious Professionalism Award,1987,2,75,2.7
2025,2025arc,Imagery Award in honor of Jack Kamen,3182,69,75,92.0
2025,2025arc,Industrial Design Award sponsored by General Motors,341,7,75,9.3
2025,2025arc,Innovation in Control Award sponsored by nVent,1732,23,75,30.7
2025,2025arc,Judges' Award,1629,41,75,54.7
2025,2025arc,Quality Award,1756,4,75,5.3
2025,2025arc,Rising All-Star Award,9459,53,75,70.7
2025,2025arc,Team Spirit Award,6358,40,75,53.3
2025,2025arc,Team Sustainability Award sponsored by Dow,3620,49,75,65.3
2025,2025arli,Regional FIRST Impact Award,3937,7,30,23.3
2025,2025arli,Regional Engineering Inspiration Award,4499,3,30,10.0
2025,2025arli,Rookie All Star Award,10101,13,30,43.3
2025,2025arli,Woodie Flowers Finalist Award,2399,23,30,76.7
2025,2025arli,FIRST Dean's List Finalist Award,179,11,30,36.7
2025,2025arli,FIRST Dean's List Finalist Award,3937,7,30,23.3
2025,2025arli,Regional Winners,2481,1,30,3.3
2025,2025arli,Regional Winners,118,4,30,13.3
2025,2025arli,Regional Winners,7483,26,30,86.7
2025,2025arli,Regional Finalists,8044,2,30,6.7
2025,2025arli,Regional Finalists,4499,3,30,10.0
2025,2025arli,Regional Finalists,7917,25,30,83.3
2025,2025arli,Autonomous Award,118,4,30,13.3
2025,2025arli,Creativity Award sponsored by Rockwell Automation,4500,6,30,20.0
2025,2025arli,Excellence in Engineering Award,2481,1,30,3.3
2025,2025arli,Gracious Professionalism Award,7525,16,30,53.3
2025,2025arli,Imagery Award in honor of Jack Kamen,9429,29,30,96.7
2025,2025arli,Industrial Design Award sponsored by General Motors,16,8,30,26.7
2025,2025arli,Innovation in Control Award sponsored by nVent,8044,2,30,6.7
2025,2025arli,Judges' Award,323,21,30,70.0
2025,2025arli,Quality Award,6424,5,30,16.7
2025,2025arli,Rising All-Star Award,1781,22,30,73.3
2025,2025arli,Team Spirit Award,2036,10,30,33.3
2025,2025arli,Team Sustainability Award sponsored by Dow,179,11,30,36.7
2025,2025ausc,Regional FIRST Impact Award,4788,6,41,14.6
2025,2025ausc,Regional Engineering Inspiration Award,3132,7,41,17.1
2025,2025ausc,Rookie All Star Award,10002,14,41,34.1
2025,2025ausc,Woodie Flowers Finalist Award,5331,25,41,61.0
2025,2025ausc,FIRST Dean's List Finalist Award,4788,6,41,14.6
2025,2025ausc,FIRST Dean's List Finalist Award,4788,6,41,14.6
2025,2025ausc,Regional Winners,4613,1,41,2.4
2025,2025ausc,Regional Winners,5584,2,41,4.9
2025,2025ausc,Regional Winners,6083,16,41,39.0
2025,2025ausc,Regional Finalists,6996,3,41,7.3
2025,2025ausc,Regional Finalists,7433,8,41,19.5
2025,2025ausc,Regional Finalists,4729,28,41,68.3
2025,2025ausc,Autonomous Award,5584,2,41,4.9
2025,2025ausc,Creativity Award sponsored by Rockwell Automation,4774,13,41,31.7
2025,2025ausc,Excellence in Engineering Award,6996,3,41,7.3
2025,2025ausc,Gracious Professionalism Award,5648,38,41,92.7
2025,2025ausc,Imagery Award in honor of Jack Kamen,6434,24,41,58.5
2025,2025ausc,Industrial Design Award sponsored by General Motors,4613,1,41,2.4
2025,2025ausc,Innovation in Control Award sponsored by nVent,6510,4,41,9.8
2025,2025ausc,Judges' Award,10131,19,41,46.3
2025,2025ausc,Quality Award,5985,27,41,65.9
2025,2025ausc,Rising All-Star Award,10342,29,41,70.7
2025,2025ausc,Team Spirit Award,5331,25,41,61.0
2025,2025ausc,Team Sustainability Award sponsored by Dow,4729,28,41,68.3
2025,2025auwarp,Volunteer Award,4788,1,29,3.4
2025,2025auwarp,Winner,4788,1,29,3.4
2025,2025auwarp,Winner,10342,4,29,13.8
2025,2025auwarp,Winner,8876,26,29,89.7
