year,event,award,team,qual_rank,n_teams,rank_pct
2025,2025auwarp,Finalist,9191,5,29,17.2
2025,2025auwarp,Finalist,9990,12,29,41.4
2025,2025auwarp,Finalist,9993,23,29,79.3
2025,2025auwarp,Autonomous Award,9991,3,29,10.3
2025,2025auwarp,Community Member Award,8876,26,29,89.7
2025,2025auwarp,Creativity Award,9191,5,29,17.2
2025,2025auwarp,Excellence In Engineering Award,10342,4,29,13.8
2025,2025auwarp,Gracious Professionalism Award,9993,23,29,79.3
2025,2025auwarp,Innovation in Control Award,4788,1,29,3.4
2025,2025auwarp,Judge's Award,7113,20,29,69.0
2025,2025auwarp,Quality Award,9979,2,29,6.9
2025,2025auwarp,Team Spirit Award,6524,25,29,86.2
2025,2025auwarp,Team Sustainability Award,9985,28,29,96.6
2025,2025azfg,Regional FIRST Impact Award,9134,9,40,22.5
2025,2025azfg,Regional Engineering Inspiration Award,4146,21,40,52.5
2025,2025azfg,Woodie Flowers Finalist Award,6413,15,40,37.5
2025,2025azfg,FIRST Dean's List Finalist Award,6413,15,40,37.5
2025,2025azfg,FIRST Dean's List Finalist Award,2662,36,40,90.0
2025,2025azfg,Regional Winners,359,1,40,2.5
2025,2025azfg,Regional Winners,9432,2,40,5.0
2025,2025azfg,Regional Winners,7645,28,40,70.0
2025,2025azfg,Regional Finalists,6560,3,40,7.5
2025,2025azfg,Regional Finalists,6995,4,40,10.0
2025,2025azfg,Regional Finalists,9059,24,40,60.0
2025,2025azfg,Autonomous Award,9432,2,40,5.0
2025,2025azfg,Creativity Award sponsored by Rockwell Automation,7425,14,40,35.0
2025,2025azfg,Excellence in Engineering Award,2486,8,40,20.0
2025,2025azfg,Gracious Professionalism Award,6413,15,40,37.5
2025,2025azfg,Imagery Award in honor of Jack Kamen,3009,16,40,40.0
2025,2025azfg,Industrial Design Award sponsored by General Motors,2478,12,40,30.0
2025,2025azfg,Innovation in Control Award sponsored by nVent,6560,3,40,7.5
2025,2025azfg,Judges' Award,4565,33,40,82.5
2025,2025azfg,Quality Award,6995,4,40,10.0
2025,2025azfg,Rising All-Star Award,996,27,40,67.5
2025,2025azfg,Team Spirit Award,8717,39,40,97.5
2025,2025azfg,Team Sustainability Award sponsored by Dow,7333,23,40,57.5
2025,2025azgl,Regional FIRST Impact Award,6352,12,42,28.6
2025,2025azgl,Regional Engineering Inspiration Award,5026,1,42,2.4
2025,2025azgl,Rookie All Star Award,10506,23,42,54.8
2025,2025azgl,Woodie Flowers Finalist Award,9059,27,42,64.3
2025,2025azgl,FIRST Dean's List Finalist Award,2403,14,42,33.3
2025,2025azgl,FIRST Dean's List Finalist Award,5026,1,42,2.4
2025,2025azgl,Regional Winners,4415,2,42,4.8
2025,2025azgl,Regional Winners,9432,3,42,7.1
2025,2025azgl,Regional Winners,9704,33,42,78.6
2025,2025azgl,Regional Finalists,5026,1,42,2.4
2025,2025azgl,Regional Finalists,498,4,42,9.5
2025,2025azgl,Regional Finalists,3944,32,42,76.2
2025,2025azgl,Autonomous Award,4415,2,42,4.8
2025,2025azgl,Creativity Award sponsored by Rockwell Automation,4146,18,42,42.9
2025,2025azgl,Excellence in Engineering Award,6479,10,42,23.8
2025,2025azgl,Gracious Professionalism Award,5199,5,42,11.9
2025,2025azgl,Imagery Award in honor of Jack Kamen,1011,39,42,92.9
2025,2025azgl,Industrial Design Award sponsored by General Motors,7333,35,42,83.3
2025,2025azgl,Innovation in Control Award sponsored by nVent,9432,3,42,7.1
2025,2025azgl,Judges' Award,7755,15,42,35.7
2025,2025azgl,Quality Award,2403,14,42,33.3
2025,2025azgl,Rising All-Star Award,9704,33,42,78.6
2025,2025azgl,Team Spirit Award,2662,19,42,45.2
2025,2025azgl,Team Sustainability Award sponsored by Dow,498,4,42,9.5
2025,2025bcvi,Regional FIRST Impact Award,2438,21,48,43.8
2025,2025bcvi,Regional Engineering Inspiration Award,4253,13,48,27.1
2025,2025bcvi,Rookie All Star Award,10384,25,48,52.1
2025,2025bcvi,Woodie Flowers Finalist Award,7287,17,48,35.4
2025,2025bcvi,Volunteer of the Year,9999,,48,
2025,2025bcvi,FIRST Dean's List Finalist Award,6902,47,48,97.9
2025,2025bcvi,FIRST Dean's List Finalist Award,9277,16,48,33.3
2025,2025bcvi,Regional Winners,359,1,48,2.1
2025,2025bcvi,Regional Winners,4270,6,48,12.5
2025,2025bcvi,Regional Winners,8339,38,48,79.2
2025,2025bcvi,Regional Finalists,3128,2,48,4.2
2025,2025bcvi,Regional Finalists,5468,7,48,14.6
2025,2025bcvi,Regional Finalists,9449,27,48,56.2
2025,2025bcvi,Regional Finalists,9044,15,48,31.2
2025,2025bcvi,Autonomous Award,2122,5,48,10.4
2025,2025bcvi,Creativity Award sponsored by Rockwell Automation,4270,6,48,12.5
2025,2025bcvi,Excellence in Engineering Award,3128,2,48,4.2
2025,2025bcvi,Gracious Professionalism Award,4421,12,48,25.0
2025,2025bcvi,Imagery Award in honor of Jack Kamen,9449,27,48,56.2
2025,2025bcvi,Industrial Design Award sponsored by General Motors,359,1,48,2.1
2025,2025bcvi,Innovation in Control Award sponsored by nVent,5516,9,48,18.8
2025,2025bcvi,Judges' Award,7135,22,48,45.8
2025,2025bcvi,Quality Award,5468,7,48,14.6
2025,2025bcvi,Rising All-Star Award,8503,4,48,8.3
2025,2025bcvi,Team Spirit Award,7167,39,48,81.2
2025,2025bcvi,Team Sustainability Award sponsored by Dow,9277,16,48,33.3
2025,2025brba,Regional FIRST Impact Award,1156,19,59,32.2
2025,2025brba,Regional Engineering Inspiration Award,7563,1,59,1.7
2025,2025brba,Rookie All Star Award,10019,21,59,35.6
2025,2025brba,Woodie Flowers Finalist Award,9050,13,59,22.0
2025,2025brba,FIRST Dean's List Finalist Award,9486,33,59,55.9
2025,2025brba,FIRST Dean's List Finalist Award,9046,39,59,66.1
2025,2025brba,Regional Winners,7563,1,59,1.7
2025,2025brba,Regional Winners,9199,7,59,11.9
2025,2025brba,Regional Winners,5800,20,59,33.9
2025,2025brba,Regional Finalists,7567,8,59,13.6
2025,2025brba,Regional Finalists,9459,10,59,16.9
2025,2025brba,Regional Finalists,9085,43,59,72.9
2025,2025brba,Autonomous Award,9199,7,59,11.9
2025,2025brba,Creativity Award sponsored by Rockwell Automation,9458,6,59,10.2
2025,2025brba,Excellence in Engineering Award,9484,5,59,8.5
2025,2025brba,Gracious Professionalism Award,7565,9,59,15.3
2025,2025brba,Imagery Award in honor of Jack Kamen,9162,14,59,23.7
2025,2025brba,Industrial Design Award sponsored by General Motors,7033,12,59,20.3
2025,2025brba,Innovation in Control Award sponsored by nVent,9047,11,59,18.6
2025,2025brba,Judges' Award,9163,29,59,49.2
2025,2025brba,Quality Award,1860,2,59,3.4
2025,2025brba,Rising All-Star Award,9302,52,59,88.1
2025,2025brba,Team Spirit Award,9048,57,59,96.6
2025,2025brba,Team Sustainability Award sponsored by Dow,9486,33,59,55.9
2025,2025brsp,Regional FIRST Impact Award,7565,4,33,12.1
2025,2025brsp,Regional Engineering Inspiration Award,9085,12,33,36.4
2025,2025brsp,Rookie All Star Award,10291,20,33,60.6
2025,2025brsp,Woodie Flowers Finalist Award,7565,4,33,12.1
2025,2025brsp,FIRST Dean's List Finalist Award,7565,4,33,12.1
2025,2025brsp,FIRST Dean's List Finalist Award,7563,3,33,9.1
2025,2025brsp,Regional Winners,1156,1,33,3.0
2025,2025brsp,Regional Winners,7563,3,33,9.1
2025,2025brsp,Regional Winners,9175,27,33,81.8
2025,2025brsp,Regional Finalists,9199,2,33,6.1
2025,2025brsp,Regional Finalists,7567,9,33,27.3
2025,2025brsp,Regional Finalists,10291,20,33,60.6
2025,2025brsp,Autonomous Award,7563,3,33,9.1
2025,2025brsp,Creativity Award sponsored by Rockwell Automation,9175,27,33,81.8
2025,2025brsp,Excellence in Engineering Award,9484,7,33,21.2
2025,2025brsp,Gracious Professionalism Award,9110,10,33,30.3
2025,2025brsp,Imagery Award in honor of Jack Kamen,9461,16,33,48.5
2025,2025brsp,Industrial Design Award sponsored by General Motors,1156,1,33,3.0
2025,2025brsp,Innovation in Control Award sponsored by nVent,9199,2,33,6.1
2025,2025brsp,Judges' Award,8882,29,33,87.9
2025,2025brsp,Quality Award,9460,8,33,24.2
2025,2025brsp,Rising All-Star Award,10483,28,33,84.8
2025,2025brsp,Team Spirit Award,9458,21,33,63.6
2025,2025brsp,Team Sustainability Award sponsored by Dow,9200,18,33,54.5
2025,2025caav,Regional FIRST Impact Award,2637,9,40,22.5
2025,2025caav,Regional Engineering Inspiration Award,1700,14,40,35.0
2025,2025caav,Rookie All Star Award,10213,6,40,15.0
2025,2025caav,Woodie Flowers Finalist Award,2584,32,40,80.0
2025,2025caav,Volunteer of the Year,9999,,40,
2025,2025caav,FIRST Dean's List Finalist Award,2584,32,40,80.0
2025,2025caav,FIRST Dean's List Finalist Award,5012,21,40,52.5
2025,2025caav,Regional Winners,4415,1,40,2.5
2025,2025caav,Regional Winners,5199,19,40,47.5
2025,2025caav,Regional Winners,687,28,40,70.0
2025,2025caav,Regional Finalists,846,5,40,12.5
2025,2025caav,Regional Finalists,4123,16,40,40.0
2025,2025caav,Regional Finalists,1160,25,40,62.5
2025,2025caav,Autonomous Award,3476,4,40,10.0
2025,2025caav,Creativity Award sponsored by Rockwell Automation,3669,15,40,37.5
2025,2025caav,Excellence in Engineering Award,846,5,40,12.5
2025,2025caav,Gracious Professionalism Award,687,28,40,70.0
2025,2025caav,Imagery Award in honor of Jack Kamen,294,8,40,20.0
2025,2025caav,Industrial Design Award sponsored by General Motors,399,3,40,7.5
2025,2025caav,Innovation in Control Award sponsored by nVent,4415,1,40,2.5
2025,2025caav,Judges' Award,2543,7,40,17.5
2025,2025caav,Quality Award,5199,19,40,47.5
2025,2025caav,Rising All-Star Award,2404,38,40,95.0
2025,2025caav,Team Spirit Award,7607,37,40,92.5
2025,2025caav,Team Sustainability Award sponsored by Dow,4123,16,40,40.0
2025,2025cabe,Regional FIRST Impact Award,5985,50,55,90.9
2025,2025cabe,Regional Engineering Inspiration Award,589,40,55,72.7
2025,2025cabe,Rookie All Star Award,10246,19,55,34.5
2025,2025cabe,Woodie Flowers Finalist Award,5985,50,55,90.9
2025,2025cabe,Volunteer of the Year,254,1,55,1.8
2025,2025cabe,FIRST Dean's List Finalist Award,766,22,55,40.0
2025,2025cabe,FIRST Dean's List Finalist Award,10246,19,55,34.5
2025,2025cabe,Regional Winners,254,1,55,1.8
2025,2025cabe,Regional Winners,4270,3,55,5.5
2025,2025cabe,Regional Winners,2204,36,55,65.5
2025,2025cabe,Regional Finalists,8033,2,55,3.6
2025,2025cabe,Regional Finalists,972,4,55,7.3
2025,2025cabe,Regional Finalists,8793,26,55,47.3
2025,2025cabe,Regional Finalists,5924,15,55,27.3
2025,2025cabe,Autonomous Award,254,1,55,1.8
2025,2025cabe,Creativity Award sponsored by Rockwell Automation,649,31,55,56.4
2025,2025cabe,Excellence in Engineering Award,766,22,55,40.0
2025,2025cabe,Gracious Professionalism Award,841,20,55,36.4
2025,2025cabe,Imagery Award in honor of Jack Kamen,1351,18,55,32.7
2025,2025cabe,Industrial Design Award sponsored by General Motors,5507,5,55,9.1
2025,2025cabe,Innovation in Control Award sponsored by nVent,6238,7,55,12.7
2025,2025cabe,Judges' Award,5924,15,55,27.3
2025,2025cabe,Quality Award,5419,6,55,10.9
2025,2025cabe,Rising All-Star Award,9038,29,55,52.7
2025,2025cabe,Team Spirit Award,10202,23,55,41.8
2025,2025cabe,Team Sustainability Award sponsored by Dow,8016,38,55,69.1
2025,2025cabl,Big Wave Award,498,3,42,7.1
2025,2025cabl,Winner,4738,5,42,11.9
2025,2025cabl,Winner,6995,11,42,26.2
2025,2025cabl,Winner,599,29,42,69.0
2025,2025cabl,Winner,5805,27,42,64.3
2025,2025cabl,Finalist,359,1,42,2.4
2025,2025cabl,Finalist,9408,6,42,14.3
2025,2025cabl,Finalist,9452,30,42,71.4
2025,2025cabl,Finalist,7042,23,42,54.8
2025,2025cabl,Judge's Award,1148,21,42,50.0
2025,2025cabl,Most Improved Award,7230,14,42,33.3
2025,2025cabl,Programming Award,6995,11,42,26.2
2025,2025cabl,Quality Award,359,1,42,2.4
2025,2025cabl,Scouting Award,294,9,42,21.4
2025,2025cacc,Winner,841,4,39,10.3
2025,2025cacc,Winner,1072,12,39,30.8
2025,2025cacc,Winner,253,25,39,64.1
2025,2025cacc,Winner,8768,29,39,74.4
2025,2025cacc,Finalist,1678,1,39,2.6
2025,2025cacc,Finalist,5940,2,39,5.1
2025,2025cacc,Finalist,1967,26,39,66.7
2025,2025cacc,Finalist,5274,23,39,59.0
2025,2025cacc,Cheesecake Award,8768,29,39,74.4
2025,2025cacc,Excellence in Engineering,6814,14,39,35.9
2025,2025cacc,Innovation in Control Award,846,6,39,15.4
2025,2025cacc,Judges' Award,3256,27,39,69.2
2025,2025cacg,Winner,1072,2,37,5.4
2025,2025cacg,Winner,841,4,37,10.8
2025,2025cacg,Winner,2643,27,37,73.0
2025,2025cacg,Finalist,3045,1,37,2.7
2025,2025cacg,Finalist,846,11,37,29.7
2025,2025cacg,Finalist,4765,35,37,94.6
2025,2025cacg,Autonomous Award,1351,15,37,40.5
2025,2025cacg,Imagery Award,253,23,37,62.2
2025,2025cacg,Innovation Award,4904,19,37,51.4
2025,2025cacg,Judges' Award,4990,31,37,83.8
2025,2025cacg,System Design Award,846,11,37,29.7
2025,2025cada,Regional FIRST Impact Award,4135,30,34,88.2
2025,2025cada,Regional Engineering Inspiration Award,2073,11,34,32.4
2025,2025cada,Rookie All Star Award,10212,13,34,38.2
2025,2025cada,Woodie Flowers Finalist Award,3598,18,34,52.9
2025,2025cada,FIRST Dean's List Finalist Award,199,34,34,100.0
2025,2025cada,FIRST Dean's List Finalist Award,6665,3,34,8.8
2025,2025cada,Regional Winners,1678,1,34,2.9
2025,2025cada,Regional Winners,254,2,34,5.9
2025,2025cada,Regional Winners,7137,28,34,82.4
2025,2025cada,Regional Finalists,4522,6,34,17.6
2025,2025cada,Regional Finalists,1671,10,34,29.4
2025,2025cada,Regional Finalists,2204,16,34,47.1
2025,2025cada,Autonomous Award,254,2,34,5.9
2025,2025cada,Creativity Award sponsored by Rockwell Automation,4698,4,34,11.8
2025,2025cada,Excellence in Engineering Award,4522,6,34,17.6
2025,2025cada,Gracious Professionalism Award,8768,12,34,35.3
2025,2025cada,Imagery Award in honor of Jack Kamen,7528,33,34,97.1
2025,2025cada,Industrial Design Award sponsored by General Motors,972,21,34,61.8
2025,2025cada,Innovation in Control Award sponsored by nVent,1678,1,34,2.9
2025,2025cada,Judges' Award,3598,18,34,52.9
2025,2025cada,Quality Award,2135,5,34,14.7
2025,2025cada,Rising All-Star Award,9400,25,34,73.5
2025,2025cada,Team Spirit Award,1671,10,34,29.4
2025,2025cada,Team Sustainability Award sponsored by Dow,6665,3,34,8.8
2025,2025cafb,Winner,3128,2,17,11.8
2025,2025cafb,Winner,3255,3,17,17.6
2025,2025cafb,Winner,9730,16,17,94.1
2025,2025cafb,Finalist,3669,1,17,5.9
2025,2025cafb,Finalist,2102,4,17,23.5
2025,2025cafb,Finalist,3965,18,17,105.9
2025,2025cafb,Autonomous Award,3255,3,17,17.6
2025,2025cafb,Creativity Award,3669,1,17,5.9
2025,2025cafb,Quality Award,3128,2,17,11.8
2025,2025cafr,Regional FIRST Impact Award,5665,21,42,50.0
2025,2025cafr,Regional Engineering Inspiration Award,5817,18,42,42.9
2025,2025cafr,Rookie All Star Award,10336,32,42,76.2
2025,2025cafr,Woodie Flowers Finalist Award,2288,11,42,26.2
2025,2025cafr,FIRST Dean's List Finalist Award,5817,18,42,42.9
2025,2025cafr,FIRST Dean's List Finalist Award,1671,5,42,11.9
2025,2025cafr,Regional Winners,3970,1,42,2.4
2025,2025cafr,Regional Winners,973,2,42,4.8
2025,2025cafr,Regional Winners,2035,29,42,69.0
2025,2025cafr,Regional Finalists,1072,3,42,7.1
2025,2025cafr,Regional Finalists,1197,6,42,14.3
2025,2025cafr,Regional Finalists,968,35,42,83.3
2025,2025cafr,Autonomous Award,1197,6,42,14.3
2025,2025cafr,Creativity Award sponsored by Rockwell Automation,971,7,42,16.7
2025,2025cafr,Excellence in Engineering Award,9084,10,42,23.8
2025,2025cafr,Gracious Professionalism Award,8768,31,42,73.8
2025,2025cafr,Imagery Award in honor of Jack Kamen,3473,24,42,57.1
2025,2025cafr,Industrial Design Award sponsored by General Motors,973,2,42,4.8
2025,2025cafr,Innovation in Control Award sponsored by nVent,3970,1,42,2.4
2025,2025cafr,Judges' Award,8087,42,42,100.0
2025,2025cafr,Quality Award,1671,5,42,11.9
2025,2025cafr,Rising All-Star Award,8585,38,42,90.5
2025,2025cafr,Team Spirit Award,701,36,42,85.7
2025,2025cafr,Team Sustainability Award sponsored by Dow,6191,30,42,71.4
2025,2025cala,Regional FIRST Impact Award,5089,30,43,69.8
2025,2025cala,Regional Engineering Inspiration Award,5553,27,43,62.8
2025,2025cala,Rookie All Star Award,10597,16,43,37.2
2025,2025cala,Woodie Flowers Finalist Award,4201,15,43,34.9
2025,2025cala,FIRST Dean's List Finalist Award,597,18,43,41.9
2025,2025cala,FIRST Dean's List Finalist Award,7840,3,43,7.0
2025,2025cala,Regional Winners,9408,1,43,2.3
2025,2025cala,Regional Winners,1197,2,43,4.7
2025,2025cala,Regional Winners,5124,24,43,55.8
2025,2025cala,Regional Finalists,7840,3,43,7.0
2025,2025cala,Regional Finalists,4322,10,43,23.3
2025,2025cala,Regional Finalists,968,26,43,60.5
2025,2025cala,Autonomous Award,1197,2,43,4.7
2025,2025cala,Creativity Award sponsored by Rockwell Automation,1159,37,43,86.0
2025,2025cala,Excellence in Engineering Award,687,33,43,76.7
2025,2025cala,Gracious Professionalism Award,4201,15,43,34.9
2025,2025cala,Imagery Award in honor of Jack Kamen,6904,38,43,88.4
2025,2025cala,Industrial Design Award sponsored by General Motors,696,4,43,9.3
2025,2025cala,Innovation in Control Award sponsored by nVent,1148,25,43,58.1
2025,2025cala,Judges' Award,2659,22,43,51.2
2025,2025cala,Quality Award,9408,1,43,2.3
2025,2025cala,Rising All-Star Award,3882,8,43,18.6
2025,2025cala,Team Spirit Award,597,18,43,41.9
2025,2025cala,Team Sustainability Award sponsored by Dow,7840,3,43,7.0
2025,2025camb,Regional FIRST Impact Award,1678,1,35,2.9
2025,2025camb,Regional Engineering Inspiration Award,4481,5,35,14.3
2025,2025camb,Rookie All Star Award,10339,17,35,48.6
2025,2025camb,Woodie Flowers Finalist Award,5924,26,35,74.3
2025,2025camb,FIRST Dean's List Finalist Award,253,34,35,97.1
2025,2025camb,FIRST Dean's List Finalist Award,2813,7,35,20.0
2025,2025camb,Regional Winners,1678,1,35,2.9
2025,2025camb,Regional Winners,604,3,35,8.6
2025,2025camb,Regional Winners,3257,28,35,80.0
2025,2025camb,Regional Finalists,581,2,35,5.7
2025,2025camb,Regional Finalists,4481,5,35,14.3
2025,2025camb,Regional Finalists,5924,26,35,74.3
2025,2025camb,Autonomous Award,9470,15,35,42.9
2025,2025camb,Creativity Award sponsored by Rockwell Automation,5419,6,35,17.1
2025,2025camb,Excellence in Engineering Award,2473,9,35,25.7
2025,2025camb,Gracious Professionalism Award,7413,20,35,57.1
2025,2025camb,Imagery Award in honor of Jack Kamen,253,34,35,97.1
2025,2025camb,Industrial Design Award sponsored by General Motors,581,2,35,5.7
2025,2025camb,Innovation in Control Award sponsored by nVent,604,3,35,8.6
2025,2025camb,Judges' Award,5104,12,35,34.3
2025,2025camb,Quality Award,3045,4,35,11.4
2025,2025camb,Rising All-Star Award,1458,13,35,37.1
2025,2025camb,Team Spirit Award,6962,32,35,91.4
2025,2025camb,Team Sustainability Award sponsored by Dow,5924,26,35,74.3
2025,2025caoc,Regional FIRST Impact Award,3473,38,47,80.9
2025,2025caoc,Regional Engineering Inspiration Award,8033,3,47,6.4
2025,2025caoc,Rookie All Star Award,10333,24,47,51.1
2025,2025caoc,Woodie Flowers Finalist Award,5199,6,47,12.8
2025,2025caoc,FIRST Dean's List Finalist Award,7157,9,47,19.1
2025,2025caoc,FIRST Dean's List Finalist Award,5199,6,47,12.8
2025,2025caoc,Regional Winners,4415,2,47,4.3
2025,2025caoc,Regional Winners,6995,4,47,8.5
2025,2025caoc,Regional Winners,8871,44,47,93.6
2025,2025caoc,Regional Finalists,5199,6,47,12.8
2025,2025caoc,Regional Finalists,9408,12,47,25.5
2025,2025caoc,Regional Finalists,3009,30,47,63.8
2025,2025caoc,Autonomous Award,6995,4,47,8.5
2025,2025caoc,Creativity Award sponsored by Rockwell Automation,7042,41,47,87.2
2025,2025caoc,Excellence in Engineering Award,1538,10,47,21.3
2025,2025caoc,Gracious Professionalism Award,8871,44,47,93.6
2025,2025caoc,Imagery Award in honor of Jack Kamen,4738,1,47,2.1
2025,2025caoc,Industrial Design Award sponsored by General Motors,2710,16,47,34.0
2025,2025caoc,Innovation in Control Award sponsored by nVent,5199,6,47,12.8
2025,2025caoc,Judges' Award,840,27,47,57.4
2025,2025caoc,Quality Award,4415,2,47,4.3
2025,2025caoc,Rising All-Star Award,9408,12,47,25.5
2025,2025caoc,Team Spirit Award,3501,34,47,72.3
2025,2025caoc,Team Sustainability Award sponsored by Dow,7157,9,47,19.1
2025,2025caph,Regional FIRST Impact Award,4400,6,46,13.0
2025,2025caph,Regional Engineering Inspiration Award,498,10,46,21.7
2025,2025caph,Rookie All Star Award,10120,18,46,39.1
2025,2025caph,Woodie Flowers Finalist Award,498,10,46,21.7
2025,2025caph,FIRST Dean's List Finalist Award,4400,6,46,13.0
2025,2025caph,FIRST Dean's List Finalist Award,6560,22,46,47.8
