year,event,award,team,qual_rank,n_teams,rank_pct
2023,2023alhu,Regional FIRST Impact Award,2438,8,50,16.0
2023,2023alhu,Regional Engineering Inspiration Award,7565,18,50,36.0
2023,2023alhu,Rookie All Star Award,9280,32,50,64.0
2023,2023alhu,Woodie Flowers Finalist Award,1038,4,50,8.0
2023,2023alhu,FIRST Dean's List Finalist Award,6936,17,50,34.0
2023,2023alhu,FIRST Dean's List Finalist Award,7111,26,50,52.0
2023,2023alhu,Regional Winners,3937,1,50,2.0
2023,2023alhu,Regional Winners,4499,5,50,10.0
2023,2023alhu,Regional Winners,7072,22,50,44.0
2023,2023alhu,Regional Finalists,1466,2,50,4.0
2023,2023alhu,Regional Finalists,179,10,50,20.0
2023,2023alhu,Regional Finalists,2556,39,50,78.0
2023,2023alhu,Autonomous Award sponsored by Ford,4499,5,50,10.0
2023,2023alhu,Creativity Award sponsored by Rockwell Automation,179,10,50,20.0
2023,2023alhu,Excellence in Engineering Award,8044,12,50,24.0
2023,2023alhu,Gracious Professionalism Award,233,45,50,90.0
2023,2023alhu,Highest Rookie Seed,9073,23,50,46.0
2023,2023alhu,Imagery Award in honor of Jack Kamen,8788,33,50,66.0
2023,2023alhu,Industrial Design Award sponsored by General Motors,1038,4,50,8.0
2023,2023alhu,Innovation in Control Award,1622,11,50,22.0
2023,2023alhu,Judges' Award,7567,25,50,50.0
2023,2023alhu,Quality Award,3937,1,50,2.0
2023,2023alhu,Rookie Inspiration Award,9073,23,50,46.0
2023,2023alhu,Team Spirit Award,1747,21,50,42.0
2023,2023alhu,Team Sustainability Award,3284,13,50,26.0
2023,2023alhu,Wildcard,9280,32,50,64.0
2023,2023alhu,Wildcard,1466,2,50,4.0
2023,2023arc,Engineering Inspiration Award,4,69,77,89.6
2023,2023arc,Rookie All Star Award,9134,66,77,85.7
2023,2023arc,Championship Division Winner,8085,7,77,9.1
2023,2023arc,Championship Division Winner,6328,57,77,74.0
2023,2023arc,Championship Division Winner,972,26,77,33.8
