year,event,award,team,qual_rank,n_teams,rank_pct
2026,2026alhu,Regional FIRST Impact Award,9067,25,48,52.1
2026,2026alhu,Regional Engineering Inspiration Award sponsored by SpaceX,3792,29,48,60.4
2026,2026alhu,Woodie Flowers Finalist Award,7525,37,48,77.1
2026,2026alhu,FIRST Leadership Award Finalist,3792,29,48,60.4
2026,2026alhu,FIRST Leadership Award Finalist,11173,15,48,31.2
2026,2026alhu,Regional Winners,2481,1,48,2.1
2026,2026alhu,Regional Winners,9401,3,48,6.2
2026,2026alhu,Regional Winners,120,14,48,29.2
2026,2026alhu,Regional Finalists,3966,4,48,8.3
2026,2026alhu,Regional Finalists,2638,6,48,12.5
2026,2026alhu,Regional Finalists,1308,33,48,68.8
2026,2026alhu,Autonomous Award sponsored by Google.org,2783,2,48,4.2
2026,2026alhu,Creativity Award sponsored by Rockwell Automation,2481,1,48,2.1
2026,2026alhu,Excellence in Engineering Award sponsored by Littelfuse,2638,6,48,12.5
2026,2026alhu,Gracious Professionalism Award,1912,7,48,14.6
2026,2026alhu,Imagery Award in honor of Jack Kamen,538,32,48,66.7
2026,2026alhu,Industrial Design Award,2556,13,48,27.1
2026,2026alhu,Innovation in Control Award sponsored by nVent,3966,4,48,8.3
2026,2026alhu,Judges' Award,3984,46,48,95.8
2026,2026alhu,Quality Award,34,36,48,75.0
2026,2026alhu,Team Spirit Award,7428,31,48,64.6
2026,2026alhu,Team Sustainability Award sponsored by Dow,5740,16,48,33.3
2026,2026arc,Engineering Inspiration Award sponsored by SpaceX,5665,52,75,69.3
2026,2026arc,Rookie All Star Award,11019,64,75,85.3
2026,2026arc,Championship Division Winner,5940,1,75,1.3
2026,2026arc,Championship Division Winner,9470,2,75,2.7
2026,2026arc,Championship Division Winner,3006,37,75,49.3
2026,2026arc,Championship Division Winner,7407,30,75,40.0
2026,2026arc,Championship Division Finalist,1114,3,75,4.0
2026,2026arc,Championship Division Finalist,27,7,75,9.3
2026,2026arc,Championship Division Finalist,548,36,75,48.0
2026,2026arc,Championship Division Finalist,4096,33,75,44.0
2026,2026arc,Autonomous Award sponsored by Google.org,27,7,75,9.3
2026,2026arc,Creativity Award sponsored by Rockwell Automation,2826,47,75,62.7
2026,2026arc,Excellence in Engineering Award sponsored by Littelfuse,1241,5,75,6.7
2026,2026arc,Gracious Professionalism Award,6907,22,75,29.3
2026,2026arc,Imagery Award in honor of Jack Kamen,1646,71,75,94.7
2026,2026arc,Industrial Design Award,5468,10,75,13.3
2026,2026arc,Innovation in Control Award sponsored by nVent,2881,17,75,22.7
2026,2026arc,Judges' Award,2539,24,75,32.0
2026,2026arc,Quality Award,3494,44,75,58.7
2026,2026arc,Rising All-Star Award,9427,54,75,72.0
2026,2026arc,Team Spirit Award,131,46,75,61.3
2026,2026arc,Team Sustainability Award sponsored by Dow,1511,26,75,34.7
2026,2026arli,Regional FIRST Impact Award,6647,11,25,44.0
2026,2026arli,Regional Engineering Inspiration Award sponsored by SpaceX,4522,2,25,8.0
2026,2026arli,Rookie All Star Award,11102,19,25,76.0
2026,2026arli,Woodie Flowers Finalist Award,4522,2,25,8.0
2026,2026arli,FIRST Leadership Award Finalist,5437,25,25,100.0
2026,2026arli,FIRST Leadership Award Finalist,6424,7,25,28.0
2026,2026arli,Regional Winners,4499,1,25,4.0
2026,2026arli,Regional Winners,4522,2,25,8.0
2026,2026arli,Regional Winners,6186,17,25,68.0
2026,2026arli,Regional Finalists,3937,3,25,12.0
2026,2026arli,Regional Finalists,4766,6,25,24.0
2026,2026arli,Regional Finalists,5437,25,25,100.0
2026,2026arli,Regional Finalists,4764,22,25,88.0
2026,2026arli,Autonomous Award sponsored by Google.org,4766,6,25,24.0
2026,2026arli,Creativity Award sponsored by Rockwell Automation,16,5,25,20.0
2026,2026arli,Excellence in Engineering Award sponsored by Littelfuse,5454,4,25,16.0
2026,2026arli,Gracious Professionalism Award,9073,13,25,52.0
2026,2026arli,Imagery Award in honor of Jack Kamen,127,20,25,80.0
2026,2026arli,Industrial Design Award,4499,1,25,4.0
2026,2026arli,Innovation in Control Award sponsored by nVent,2036,18,25,72.0
2026,2026arli,Judges' Award,8753,9,25,36.0
2026,2026arli,Quality Award,3937,3,25,12.0
2026,2026arli,Rising All-Star Award,6424,7,25,28.0
2026,2026arli,Team Spirit Award,1209,24,25,96.0
2026,2026arli,Team Sustainability Award sponsored by Dow,5472,8,25,32.0
