year,event,award,team,qual_rank,n_teams,rank_pct
2024,2024alhu,Regional FIRST Impact Award,6652,23,47,48.9
2024,2024alhu,Regional Engineering Inspiration Award,2638,5,47,10.6
2024,2024alhu,Rookie All Star Award,9787,33,47,70.2
2024,2024alhu,Woodie Flowers Finalist Award,538,13,47,27.7
2024,2024alhu,FIRST Dean's List Finalist Award,34,42,47,89.4
2024,2024alhu,FIRST Dean's List Finalist Award,9787,33,47,70.2
2024,2024alhu,Regional Winners,4635,1,47,2.1
2024,2024alhu,Regional Winners,2481,2,47,4.3
2024,2024alhu,Regional Winners,5002,36,47,76.6
2024,2024alhu,Regional Finalists,4265,3,47,6.4
2024,2024alhu,Regional Finalists,6517,8,47,17.0
2024,2024alhu,Regional Finalists,7111,22,47,46.8
2024,2024alhu,Autonomous Award,4256,15,47,31.9
2024,2024alhu,Creativity Award sponsored by Rockwell Automation,2481,2,47,4.3
2024,2024alhu,Excellence in Engineering Award,4265,3,47,6.4
2024,2024alhu,Gracious Professionalism Award,1466,10,47,21.3
2024,2024alhu,Imagery Award in honor of Jack Kamen,931,14,47,29.8
2024,2024alhu,Industrial Design Award sponsored by General Motors,5557,7,47,14.9
2024,2024alhu,Innovation in Control Award,6517,8,47,17.0
2024,2024alhu,Judges' Award,5800,18,47,38.3
2024,2024alhu,Quality Award,4499,6,47,12.8
2024,2024alhu,Rookie Inspiration Award,9435,17,47,36.2
2024,2024alhu,Team Spirit Award,34,42,47,89.4
2024,2024alhu,Team Sustainability Award sponsored by Dow,3140,12,47,25.5
2024,2024alhu,Wildcard,5002,36,47,76.6
2024,2024alhu,Wildcard,9787,33,47,70.2
2024,2024arc,Engineering Inspiration Award,4091,69,75,92.0
2024,2024arc,Rookie All Star Award,9717,71,75,94.7
2024,2024arc,Championship Division Winner,4613,1,75,1.3
2024,2024arc,Championship Division Winner,1678,2,75,2.7
2024,2024arc,Championship Division Winner,4206,27,75,36.0
2024,2024arc,Championship Division Winner,2718,25,75,33.3
2024,2024arc,Championship Division Finalist,353,3,75,4.0
2024,2024arc,Championship Division Finalist,6036,46,75,61.3
2024,2024arc,Championship Division Finalist,4967,38,75,50.7
2024,2024arc,Championship Division Finalist,6090,33,75,44.0
2024,2024arc,Autonomous Award,1678,2,75,2.7
2024,2024arc,Creativity Award sponsored by Rockwell Automation,8044,6,75,8.0
2024,2024arc,Excellence in Engineering Award,341,47,75,62.7
2024,2024arc,Gracious Professionalism Award,5166,8,75,10.7
2024,2024arc,Imagery Award in honor of Jack Kamen,9418,45,75,60.0
2024,2024arc,Industrial Design Award sponsored by General Motors,2357,5,75,6.7
2024,2024arc,Innovation in Control Award,16,41,75,54.7
2024,2024arc,Judges' Award,8054,52,75,69.3
2024,2024arc,Quality Award,6424,30,75,40.0
2024,2024arc,Rookie Inspiration Award,9406,56,75,74.7
2024,2024arc,Team Spirit Award,3070,22,75,29.3
2024,2024arc,Team Sustainability Award sponsored by Dow,6865,75,75,100.0
2024,2024arli,Regional FIRST Impact Award,2341,16,28,57.1
2024,2024arli,Regional Engineering Inspiration Award,1781,4,28,14.3
2024,2024arli,Rookie All Star Award,9429,23,28,82.1
2024,2024arli,Woodie Flowers Finalist Award,323,13,28,46.4
2024,2024arli,Volunteer of the Year,16,1,28,3.6
2024,2024arli,FIRST Dean's List Finalist Award,1038,9,28,32.1
2024,2024arli,FIRST Dean's List Finalist Award,5454,10,28,35.7
