from	to	to_rules	verbatim_ge95	edited_75_95	rewritten_55_75	new_lt55
2016	2017	209	40	40	31	98
2017	2018	191	109	43	16	23
2018	2019	169	41	28	41	59
2019	2020	152	90	25	18	19
2020	2021	164	119	26	2	17
2021	2022	162	30	78	27	27
2022	2023	176	116	20	11	29
2023	2024	212	98	41	9	64
2024	2025	228	138	43	14	33
2025	2026	225	159	33	19	14
