2020_id	2019_ancestor	sim	2020_headline
R93	I7	0.257	OPERATOR CONSOLES shall not be made using hazardous materials, be unsafe, cause an unsafe condition, or interf
H10	C4	0.317	POWER CELLS go on the rack
R16	R23	0.336	During an event a team is attending (regardless of whether the team is physically at the event location), the 
G17	S5	0.342	Tall ROBOTS not allowed
G15	G5	0.371	During the ENDGAME, don’t mess with HANGING opponents.During the ENDGAME, a ROBOT may not contact, either dire
G22	G19	0.378	Don’t collude with your partners to shut down major parts of game play.Two or more ROBOTS that appear to a REF
G25	G5	0.390	Damaging other ROBOTS, not allowed
H9	G24	0.395	POWER CELLS, recycle
G5	H5	0.400	During AUTO, let the ROBOT do its thing
G9	G3	0.400	No full court shots
G10	G20	0.405	Right of Way
G11	G5	0.414	Give Opponents some space
G14	G13	0.423	During the ENDGAME, don’t touch ROBOTS in their RENDEZVOUS POINT.During the ENDGAME,a ROBOT may not contact, e
S7	S4	0.426	Stay off the SHIELD GENERATOR and CONTROL PANELS
H6	H4	0.436	POWER CELLS through LOADING BAYS only
G4	H3	0.448	During AUTO, behind the lines
G12	G13	0.454	Leave the opponent’s CONTROL PANEL alone.A ROBOT may not contact the opponent’s CONTROL PANEL, either directly
H8	H14	0.481	Don’t trick the sensors
G6	G4	0.501	No more than five (5) POWER CELLS at a time
G3	G3	0.552	During AUTO, no defense
H14	H14	0.554	Don’t mess with POWER CELLS.Teams may not modify POWER CELLS in any way
H15	H15	0.559	Don’t bang on the glass.Team members may never strike or hit the PLAYER STATION plastic windows.
G16	G23	0.560	Keep your BUMPERS low
R11	R12	0.571	The total cost of all items on the ROBOT (i.e
G21	G18	0.573	There’s a 5-count on pins
H16	H16	0.591	Be careful what you interact with
G24	G20	0.593	Stay out of other ROBOTS
G23	G19	0.624	Don’t tear others down to lift yourself up
C5	C5	0.638	Enter only one (1) ROBOT
G2	G2	0.654	Teams may not enable their ROBOTS on the FIELD
H3	H3	0.705	Leave the POWER CELLS alone
C6	C6	0.711	Show up to your MATCHES
G7	G7	0.724	Keep POWER CELLS in bounds
G13	G14	0.735	Don’t climb on each other unless at the RENDEZVOUS POINT
G26	G15	0.740	Be careful what you interact with
H2	H2	0.742	Know your DRIVE TEAM positions
R14	R15	0.747	FABRICATED ITEMS created before Kickoff are not permitted
H1	H1	0.750	You can’t bring/use anything you want
R63	R70	0.776	No form of wireless communication shall be used to communicate to, from, or within the ROBOT, except those req
R13	R14	0.788	The BOM cost of each non-KOP item must be calculated based on the unit Fair Market Value for the material and/
G1	G1	0.791	Know your ROBOT setup
G8	G8	0.828	POWER CELLS: use as directed
R29	R36	0.830	With the exception of servos, fans, or motors integral to sensors of COTS computing devices permitted in R27, 
R27	R34	0.831	The only motors and actuators permitted on 2020 ROBOTS include the following (in any quantity): Table 9-1 Moto
C1	C1	0.834	Egregious or exceptional violations
R55	R62	0.835	All non-SIGNAL LEVEL wiring with a constant polarity (i.e., except for outputs of relay modules, motor control
R10	R11	0.846	Lubricants may be used only to reduce friction within the ROBOT
S4	S5	0.856	ROBOTS, stay on the FIELD during the MATCH
C7	C7	0.864	Be prompt/safe when coming to and going from the FIELD
R87	R94	0.864	The outputs from multiple solenoid valves must not be plumbed together
C10	C10	0.866	Plug in to/be in your PLAYER STATION
H7	H8	0.878	COACHES, no POWER CELLS
G18	G24	0.883	Don’t overextend yourself
R30	R37	0.886	Each power regulating device may control electrical loads per Table 9-2
R24	R31	0.893	BUMPERS must be constructed as follows (see Figure 9-6): A
R5	R5	0.904	The ROBOT weight must not exceed 125 lbs
R6	R7	0.905	Traction devices must not have surface features that could damage the ARENA (e.g
