rule_id	n_questions	pct_of_qs
R408	13	5.5
G212	9	3.8
R401	8	3.4
G403	7	3.0
G409	6	2.6
R409	6	2.6
G411	6	2.6
G413	6	2.6
R101	5	2.1
G406	5	2.1
G430	5	2.1
G425	5	2.1
G424	5	2.1
G405	5	2.1
R203	5	2.1
R602	5	2.1
G211	5	2.1
R501	5	2.1
G416	4	1.7
G415	4	1.7
G408	4	1.7
R410	4	1.7
R625	4	1.7
G414	4	1.7
R710	4	1.7
G203	3	1.3
R402	3	1.3
G302	3	1.3
R623	3	1.3
R621	3	1.3
G401	2	0.9
G205	2	0.9
G204	2	0.9
G206	2	0.9
R404	2	0.9
R611	2	0.9
R201	2	0.9
R601	2	0.9
G428	2	0.9
G429	2	0.9
R608	2	0.9
R622	2	0.9
G422	2	0.9
G421	2	0.9
G402	1	0.4
G207	1	0.4
R407	1	0.4
I101	1	0.4
I01	1	0.4
R105	1	0.4
R707	1	0.4
G301	1	0.4
T604	1	0.4
E303	1	0.4
R619	1	0.4
R620	1	0.4
T12	1	0.4
G404	1	0.4
E103	1	0.4
G101	1	0.4
G427	1	0.4
E117	1	0.4
R806	1	0.4
R506	1	0.4
R701	1	0.4
R614	1	0.4
R805	1	0.4
R406	1	0.4
R504	1	0.4
G407	1	0.4
G410	1	0.4
R609	1	0.4
R813	1	0.4
R405	1	0.4
