rule_id	prefix	num	page	chars	starred	sha1	headline
C301	C	301	147	507	1	7dd7027ca768	Wear your buttons.
E101	E	101	149	1053	1	a005396a7b9b	Personal safety comes first.
E102	E	102	149	1692	1	10ffb2a04b9e	Be nice.
E103	E	103	150	106	1	586223b4f3f1	Children with adults, please.
E104	E	104	150	134	1	bf3261134797	Respect the venue.
E105	E	105	150	553	1	5975be40d6ba	Teams must check in.
E106	E	106	150	332	1	a9f57011293a	Some event resources for event teams only.
E107	E	107	150	452	1	dc21ca22aa3c	Work in designated areas only.
E108	E	108	151	303	1	bfd494406d26	Some things don’t belong at events.
E109	E	109	151	251	1	049492c7a99a	Don’t arrange for additional utilities.
E110	E	110	151	196	1	8eef06f98356	Don’t sell stuff.
E111	E	111	151	74	1	be3df8118afb	Don’t give out food.
E112	E	112	151	123	1	6e37637372da	Make FIRST loud, but with restrictions.
E113	E	113	151	806	1	bb928c5e16ca	Hang banners with care.
E114	E	114	151	319	1	415161f138e6	Limit flag and flagpole size.
E115	E	115	151	226	1	87bfe438dc38	No firearms.
E116	E	116	152	237	1	aed2a200c8c0	Only COTS batteries allowed.
E117	E	117	152	914	1	8f83a2fe783d	Enter only 1 ROBOT.
E201	E	201	152	444	1	06e01974fd84	The ROBOT goes alone to off-site machine shops.
E301	E	301	152	406	1	ceb823e4e001	No wireless communication.
E302	E	302	153	574	1	e4f72bcfb16d	Don’t interfere with wireless networks.
E303	E	303	153	131	1	04b2cb937583	Tethered operation outside FIELDS/Practice Fields.
E401	E	401	153	871	1	a13ccb71344c	Load in during Load-In.
E402	E	402	153	203	1	68323092fcc4	Load-In person limit is 5.
E403	E	403	153	336	1	f220e5f01b67	Load-In Restrictions.
E404	E	404	154	138	1	29b368f5e93f	Pit must be left in a safe state.
E405	E	405	154	501	1	5698f556f3ef	Once done, head out.
E501	E	501	154	101	1	1fb77c5b30b8	Pits are unavailable if closed.
E502	E	502	154	246	1	2d3c62aa7122	Stay in your pit.
E503	E	503	154	46	1	76d53c645919	Keep aisles clear.
E504	E	504	154	201	1	f1950b8b4363	No sparks.
E505	E	505	154	382	1	8f1d34518e45	Nothing too big.
E506	E	506	154	279	1	d1b4fff89c31	No brazing or welding.
E507	E	507	155	244	1	14a227edc3de	Solder with specific tools only.
E508	E	508	155	270	1	3797ba9a9558	Structures must be safe.
E509	E	509	155	278	1	5e94822ddc96	Secure team identification assets.
E601	E	601	155	150	1	6433aafeaa41	Inspection for Practice Fields.
E602	E	602	155	461	1	58beb916e640	Practice only when/where permitted.
E603	E	603	156	526	0	27638f08bf4a	Practice Field attendance is limited.
E604	E	604	156	252	0	1a5a4b8f84a5	Give ROBOTS space.
