rule_id	prefix	s2425	s2526	min	headline
E401	E	0.9935	0.6528	0.6528	Load in during Load-In.
G206	G	0.6562	0.8831	0.6562	Don't violate rules for RPs.
I102	I	0.6601	0.9933	0.6601	Get inspected before playing a Qualification MATCH.
T301	T	0.6667	0.9158	0.6667	Measurement, not practice.
G101	G	0.987	0.7122	0.7122	Humans, remain outside the FIELD.
R614	R	0.7255	1.0	0.7255	No high voltage allowed.
R505	R	0.9385	0.7742	0.7742	Don’t overload controllers.
R610	R	0.8542	0.7778	0.7778	1 breaker/fuse per circuit.
G103	G	0.9916	0.7867	0.7867	Be careful what you interact with.
R702	R	0.7869	0.966	0.7869	Communicate with the ROBOT with the specified radio.
R105	R	0.8472	0.7874	0.7874	ROBOT horizontal extension limit.
R904	R	0.9874	0.7903	0.7903	OPERATOR CONSOLE physical requirements.
R609	R	0.7923	0.8765	0.7923	Connect main power safely.
R622	R	0.8998	0.8119	0.8119	Use appropriately sized wire.
R601	R	1.0	0.8322	0.8322	Battery limit – everyone has the same power.
R620	R	0.8358	0.9266	0.8358	Only use specified fuses in PD.
R619	R	0.8451	0.8639	0.8451	Only use specified circuit breakers in a PD.
R501	R	0.8519	0.9371	0.8519	Allowable motors.
R504	R	0.9138	0.8548	0.8548	Power (most) actuators off of approved devices.
G402	G	0.8571	0.9167	0.8571	Let the ROBOT do its thing.
R707	R	0.8571	0.9951	0.8571	Limited wireless allowed.
R802	R	1.0	0.8585	0.8585	No custom pneumatics and meet minimum pressure ratings.
T201	T	0.8617	1.0	0.8617	Replays will be the same.
R712	R	0.9605	0.8734	0.8734	Control PWM controllers from the roboRIO.
R206	R	0.878	1.0	0.878	Don’t damage SCORING ELEMENTS.
R506	R	0.8911	0.991	0.8911	Control servos safely.
R203	R	1.0	0.8918	0.8918	General safety.
R204	R	0.8943	1.0	0.8943	Leave SCORING ELEMENTS at the FIELD.
R621	R	0.9535	0.895	0.895	Protect circuits with appropriate circuit breakers.
E303	E	1.0	0.9	0.9	Tethered operation outside FIELDS/PRACTICE AREAS.
R104	R	0.9551	0.904	0.904	STARTING CONFIGURATION – max size.
R502	R	0.9919	0.9071	0.9071	Only 4 propulsion motors.
R101	R	0.9132	0.9779	0.9132	ROBOT PERIMETER must be fixed.
R811	R	1.0	0.9193	0.9193	Relief valve requirements.
R618	R	0.9759	0.9212	0.9212	Use PD terminals as designed.
G102	G	0.9968	0.9226	0.9226	Never step over the guardrail.
R103	R	0.9774	0.9238	0.9238	ROBOT weight limit.
R715	R	0.9247	0.9515	0.9247	Control PCM, PH, and Servo Hub from roboRIO.
R602	R	0.9265	1.0	0.9265	Other batteries for cameras or computers only.
R809	R	1.0	0.9333	0.9333	Limited devices at high pressure.
R503	R	1.0	0.9336	0.9336	Don’t modify motors (mostly).
E405	E	1.0	0.9364	0.9364	Once done, head out.
R709	R	0.9829	0.9487	0.9487	ROBOTS must have a signal light.
R613	R	0.98	0.9495	0.9495	Electrical system must be inspectable.
R808	R	1.0	0.9496	0.9496	Working air pressure limit.
E402	E	1.0	0.95	0.95	Load-In person limit is 6.
R704	R	0.9506	0.9517	0.9506	Only use allowed ports and bandwidth to communicate with the ROBOT.
G401	G	0.951	1.0	0.951	Behind the lines.
E106	E	1.0	0.9524	0.9524	Some event resources for event teams only.
R806	R	1.0	0.9537	0.9537	Compressed air from ROBOT compressor only.
R804	R	1.0	0.9556	0.9556	Only use specific pneumatic devices.
I103	I	1.0	0.9574	0.9574	Bring it all to inspection.
R701	R	0.9726	0.9589	0.9589	Control the ROBOT with a roboRIO.
G208	G	0.9836	0.96	0.96	Show up to your Qualification MATCHES.
E102	E	0.9618	1.0	0.9618	Be nice.
R710	R	0.9877	0.9679	0.9679	Only specified modifications to control system devices permitted.
G301	G	0.9893	0.9699	0.9699	Be prompt.
E504	E	1.0	0.9706	0.9706	No sparks or flames.
G207	G	0.9716	0.9932	0.9716	Don’t abuse ARENA access.
R807	R	1.0	0.973	0.973	Air storage pressure limit.
R102	R	0.9786	1.0	0.9786	STARTING CONFIGURATION – no overhang.
G204	G	0.9791	0.9916	0.9791	Letting someone coerce you into throwing a MATCH – also not cool.
R611	R	0.992	0.9799	0.9799	The ROBOT frame is not a wire.
E302	E	0.9885	0.9829	0.9829	Don’t interfere with wireless networks.
I101	I	0.9897	0.9829	0.9829	It’s your team’s ROBOT.
G202	G	0.9836	1.0	0.9836	Don’t bang on the glass.
R805	R	0.9836	0.9836	0.9836	If using pneumatics, these parts are required.
R625	R	0.9941	0.9852	0.9852	Don’t modify critical power paths.
G203	G	0.9856	0.9918	0.9856	Asking other teams to throw a MATCH – not cool.
R901	R	0.9873	0.9873	0.9873	Use the specified Driver Station Software.
G205	G	0.9876	1.0	0.9876	Throwing your own MATCH is bad.
R612	R	0.9879	1.0	0.9879	Must be able to turn ROBOT on and off safely.
G501	G	0.988	1.0	0.988	Leave promptly.
R714	R	0.9889	1.0	0.9889	Control CAN motor controllers from the roboRIO.
R303	R	0.9916	0.9916	0.9916	Create new designs and software, unless they’re public.
I105	I	1.0	0.9948	0.9948	Don’t exploit re-inspection.
G104	G	0.9971	1.0	0.9971	Teams may not enable their ROBOTS on the FIELD.
G201	G	0.9973	1.0	0.9973	Be a good person.
C301	C	1.0	1.0	1.0	Wear your buttons.
E101	E	1.0	1.0	1.0	Personal safety comes first.
E103	E	1.0	1.0	1.0	Children with adults, please.
E104	E	1.0	1.0	1.0	Respect the venue.
