2018_id	2017_ancestor	sim	2018_headline
R39	R44	0.253	COTS USB battery packs with a capacity of 100Wh or less (20000mAh at 5V) and 2.5 Amp max output per port, or b
G25	C2	0.274	PLATES are moved by POWER CUBES, not ROBOTS
G5	R22	0.278	Don’t overextend yourself
G9	G6	0.281	Launching POWER CUBES is okay, but keep it short
S3	I2	0.296	Never step/jump over the GUARDRAIL
G23	G7	0.308	POWER CUBES in opponent’s POWER CUBE ZONE – off limits
H9	R40	0.348	Don’t mess with the POWER CUBES
C1	I2	0.361	Egregious or exceptional violations
H8	H7	0.367	Don’t abuse ARCADE access
G4	G3	0.380	Leave the POWER CUBES alone
H3	G10	0.380	Don’t trick the sensors
G20	G21	0.413	POWER CUBES: use as directed
R85	R84	0.418	Throughout an event, compressed air on the ROBOT must be provided by its one compressor
G24	H3	0.418	POWER CUBES stay on PLATES
H13	H8	0.421	POWER CUBES only enter the FIELD as designated
R4	R24	0.424	ROBOTS may not extend more than 16 in
G10	G8	0.432	Don’t tear others down to lift yourself up
G11	G9	0.455	Stay out of other ROBOTS.Initiating deliberate or damaging contact with an opponent ROBOT on or inside the ver
H10	G22	0.460	It doesn’t support you
G15	G17	0.484	Opponent’s EXCHANGE ZONE: no camping
G16	G13	0.489	The NULL TERRITORY is safe
A5	A2	0.534	POWER CUBES are off-limits
G3	G3	0.542	Know your DRIVE TEAM positions
S6	S8	0.551	Stay out of the tunnels
A3	A3	0.584	Disconnect or set down controllers
G21	G22	0.600	Keep POWER CUBES in bounds
H12	H6	0.603	COACHES, stay clear of the VAULT
G22	G27	0.610	One POWER CUBE per ROBOT
A2	A2	0.625	During AUTO, let the ROBOT do its thing
A4	A4	0.626	Stay out of your opponent’s side of the FIELD
G18	G7	0.632	Don’t mess with opponents in their PLATFORM ZONE
R81	R80	0.649	All pneumatic items must be COTS pneumatic devices and either: A
C2	C1	0.660	Be a good person
R3	R3	0.695	In the STARTING CONFIGURATION, the maximum ROBOT size (excluding BUMPERS) must be constrained to a volume of 3
C10	C13	0.707	No work outside your pit
S2	S4	0.708	Wait for the green lights
T14	T14	0.716	Only Team members wearing proper buttons are allowed on the ARCADE floor during Subdivision and Championship P
T15	T17	0.719	During the Einstein Finals, if the MATCH score of each ALLIANCE is equal, the MATCH is replayed
G17	G14	0.725	Don’t climb on each other until the end
R66	R65	0.752	Communication between the ROBOT and the OPERATOR CONSOLE is restricted as follows: A
R19	R18	0.754	Teams must stay “hands-off” their bagged ROBOT elements during the following time periods: A
R9	R8	0.757	ROBOTS must allow removal of POWER CUBES from the ROBOT and the ROBOT from FIELD elements while DISABLED and p
C7	C8	0.760	Don’t expect to gain by doing others harm
R28	R27	0.765	Team numbers must be displayed and positioned on the BUMPERS such that an observer walking around the perimete
H11	H6	0.776	COACHES, no POWER CUBES
