rule_id	2008	2010	2012	2013	2014	2015	2016	2017	2018	2019	2020	2021	2022	2023	2024	2025	2026	total
C04	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1
C05	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	2
C07	0	0	0	0	0	0	0	1	3	0	0	0	0	0	0	0	0	4
C08	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	6
C09	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1
C10	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	2
C12	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	5
E02	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	2
E06	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	2
E12	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1
E15	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1
E16	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	3
E17	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1
E20	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1
E28	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1
E30	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1
E39	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1
E58	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1
E102	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1
E103	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1
E107	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1
E108	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	1	3
E109	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1
E117	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	2
E118	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1
E301	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	2
E303	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1
