rule_id	n_questions	pct_of_qs
R24	11	4.4
H10	10	4.0
R11	9	3.6
G26	9	3.6
R13	8	3.2
R52	8	3.2
R77	7	2.8
R28	6	2.4
G18	5	2.0
R30	5	2.0
R75	5	2.0
R21	5	2.0
G10	4	1.6
G11	4	1.6
R68	4	1.6
R26	4	1.6
R10	4	1.6
G12	3	1.2
R49	3	1.2
E16	3	1.2
G17	3	1.2
R69	3	1.2
R12	3	1.2
R18	3	1.2
R86	3	1.2
G15	3	1.2
R27	3	1.2
R17	3	1.2
R70	2	0.8
R23	2	0.8
R48	2	0.8
R73	2	0.8
R14	2	0.8
R39	2	0.8
R22	2	0.8
R76	2	0.8
R79	2	0.8
R57	1	0.4
R59	1	0.4
E17	1	0.4
R31	1	0.4
R54	1	0.4
R82	1	0.4
G22	1	0.4
R71	1	0.4
R29	1	0.4
G21	1	0.4
G25	1	0.4
R16	1	0.4
R33	1	0.4
R55	1	0.4
R87	1	0.4
R88	1	0.4
R47	1	0.4
R44	1	0.4
R64	1	0.4
G16	1	0.4
R80	1	0.4
G14	1	0.4
