rule_id	n_questions	pct_of_qs
R408	16	6.3
G109	16	6.3
G301	14	5.5
H303	10	3.9
R402	9	3.5
R501	9	3.5
G201	7	2.8
G207	6	2.4
R401	6	2.4
G102	6	2.4
R203	5	2.0
R814	5	2.0
R503	5	2.0
R101	4	1.6
H301	4	1.6
R406	4	1.6
R710	4	1.6
R405	4	1.6
G206	4	1.6
T401	4	1.6
G107	3	1.2
R105	3	1.2
G403	3	1.2
R606	3	1.2
R104	3	1.2
H505	3	1.2
R609	3	1.2
G302	3	1.2
H506	3	1.2
G106	3	1.2
G205	3	1.2
G203	2	0.8
G108	2	0.8
H105	2	0.8
H107	2	0.8
R602	2	0.8
R601	2	0.8
G101	2	0.8
R613	2	0.8
R707	2	0.8
H104	2	0.8
H103	2	0.8
H309	2	0.8
R623	2	0.8
R610	2	0.8
R103	2	0.8
R410	2	0.8
R624	2	0.8
R102	2	0.8
R621	2	0.8
E108	2	0.8
R804	2	0.8
R504	2	0.8
R505	2	0.8
R502	2	0.8
R806	2	0.8
I104	2	0.8
I103	2	0.8
H106	2	0.8
H501	2	0.8
H402	2	0.8
G104	1	0.4
R302	1	0.4
G405	1	0.4
R612	1	0.4
R605	1	0.4
R202	1	0.4
R702	1	0.4
R206	1	0.4
G304	1	0.4
G105	1	0.4
G306	1	0.4
G404	1	0.4
R625	1	0.4
R808	1	0.4
R617	1	0.4
R616	1	0.4
R614	1	0.4
G303	1	0.4
E701	1	0.4
R805	1	0.4
R902	1	0.4
R701	1	0.4
R611	1	0.4
E602	1	0.4
R903	1	0.4
G23	1	0.4
G103	1	0.4
H109	1	0.4
R813	1	0.4
R807	1	0.4
R086	1	0.4
R303	1	0.4
E505	1	0.4
R301	1	0.4
G402	1	0.4
E107	1	0.4
R304	1	0.4
H102	1	0.4
R803	1	0.4
R709	1	0.4
R904	1	0.4
