rule_id	n_questions	pct_of_qs
G301	7	4.2
G106	7	4.2
H504	5	3.0
H404	5	3.0
G403	5	3.0
G107	5	3.0
G103	5	3.0
R617	5	3.0
R408	5	3.0
G204	5	3.0
G205	4	2.4
R402	4	2.4
R410	4	2.4
H301	4	2.4
G401	3	1.8
G201	3	1.8
G203	3	1.8
G405	3	1.8
G404	3	1.8
R616	3	1.8
R501	3	1.8
G101	3	1.8
R105	3	1.8
R502	3	1.8
H101	3	1.8
H310	3	1.8
R504	3	1.8
R710	3	1.8
R101	3	1.8
G210	2	1.2
R804	2	1.2
G207	2	1.2
H303	2	1.2
R203	2	1.2
R104	2	1.2
H401	2	1.2
R625	2	1.2
R102	2	1.2
R608	2	1.2
R806	2	1.2
R807	2	1.2
G302	1	0.6
G303	1	0.6
R619	1	0.6
H403	1	0.6
G102	1	0.6
R403	1	0.6
R301	1	0.6
R606	1	0.6
R612	1	0.6
R902	1	0.6
R904	1	0.6
R622	1	0.6
R505	1	0.6
H305	1	0.6
H506	1	0.6
R409	1	0.6
R618	1	0.6
G209	1	0.6
G108	1	0.6
R803	1	0.6
R702	1	0.6
R401	1	0.6
H307	1	0.6
R503	1	0.6
R614	1	0.6
R602	1	0.6
H311	1	0.6
H502	1	0.6
G206	1	0.6
H302	1	0.6
H309	1	0.6
R813	1	0.6
R623	1	0.6
R609	1	0.6
H202	1	0.6
R407	1	0.6
R201	1	0.6
R205	1	0.6
R202	1	0.6
I101	1	0.6
R405	1	0.6
R21	1	0.6
R624	1	0.6
G208	1	0.6
R811	1	0.6
