rule_id	prefix	num	page	stmt_chars	viol_chars	inset_chars	stmt_sha1	headline
G1	G	1	34	312	159	0	0672d7ea0338	ROBOTS whose operation or design is dangerous or unsafe are not permitted
G2	G	2	34	125	22	0	99444aa5a246	DRIVE TEAMS may only enter the FIELD if the TOWER LED strings are green, unless explicitly instructed by a REFEREE or an
G3	G	3	34	276	43	0	aa2cc6e4bead	ROBOTS and anything they control, e
G4	G	4	34	412	170	0	4dcaaae37349	DRIVE TEAMS may not extend any body part into the FIELD during the MATCH
G5	G	5	34	206	22	0	2420044b18d4	DRIVE TEAMS may not climb over, step over, or walk over/across DEFENSES or PLATFORMS, with the exception that teams may 
G6	G	6	34	64	22	0	09cb50089cdb	DRIVE TEAMS may only enter or exit the FIELD through open gates
G7	G	7	35	863	221	0	09c0bfc8434b	When placed on the FIELD for a MATCH, each ROBOT must be: A
G8	G	8	35	798	116	0	8767200a3a49	DRIVE TEAMS may not cause significant or repeated delays to the start of a MATCH and/or to the FIELD reset at the conclu
G9	G	9	35	811	87	0	ca8adc180a10	DRIVE TEAMS must be in their CASTLE and behind the STARTING LINE prior to the start of the MATCH, with the exception of 
G11	G	11	36	2957	667	0	d552d5d758ca	Strategies aimed solely at forcing the opposing ALLIANCE to violate a rule are not in the spirit of
G13	G	13	37	63	282	0	950083704543	During AUTO, ROBOTS may not enter the volume above the MIDLINE
G14	G	14	37	413	47	0	a26766aaeafd	During AUTO, DRIVE TEAMS may not directly or indirectly interact with ROBOTS or OPERATOR
G16	G	16	38	146	15	0	f64ac2113ab6	Any control devices worn or held by the DRIVERS and/or HUMAN PLAYERS during AUTO must be
G17	G	17	38	1180	128	0	593792be91a9	ROBOT height, as measured when it’s resting normally on a flat floor, may not exceed 4 ft
G19	G	19	39	348	126	0	e49c3e7da32b	ROBOTS may not intentionally detach or leave parts on the FIELD
G20	G	20	39	240	39	0	1fbf97d3ec62	ROBOTS may only enter or exit their opponent’s SECRET PASSAGE from/to the opponent’s
G21	G	21	39	1251	147	0	3fedfdbf1109	A ROBOT contacting carpet in the opponent’s SECRET PASSAGE may not contact opposing
G23	G	23	40	361	44	0	0ed56a40803f	Fallen (i
G24	G	24	40	321	103	0	2f2c7f317cda	Strategies aimed at the destruction or inhibition of ROBOTS via attachment, damage, tipping,
G25	G	25	41	873	39	0	0253cb650db3	A ROBOT may not attempt to stop or impede the flow of the MATCH in any of the following ways:
G26	G	26	41	94	94	0	96f55dc545f5	At any given time, only one (1) ROBOT may contact the carpet or BATTER inside their
G27	G	27	41	89	32	0	8c50999ba5ea	A ROBOT may not transfer BOULDERS from the NEUTRAL ZONE to the opponent’s SECRET
G28	G	28	41	521	110	0	afb547618b3f	During the final twenty (20) seconds of TELEOP, ROBOTS in their COURTYARD may not contact
G29	G	29	41	190	22	0	5733847f2fad	During a MATCH, DRIVE TEAMS may not use electronic devices which have the capability of
G30	G	30	41	438	247	0	0a91ed1c637f	Only DRIVE TEAMS for the current MATCH are allowed in their respective CASTLES
G32	G	32	42	257	36	0	ace1d4985246	Teams may not interfere with any automated scoring hardware
G33	G	33	42	155	27	0	f774f82c17c9	BOULDERS may only be introduced to the FIELD
G34	G	34	42	657	34	0	5f2cc4370ec4	No more than six (6) BOULDERS may remain in a CASTLE during TELEOP
G35	G	35	42	256	43	0	ab66ed4afb79	A ROBOT shall be operated solely by the DRIVERS and/or HUMAN PLAYERS of that Team, and/or
G36	G	36	42	58	15	0	1ded89891e32	COACHES may not touch BOULDERS unless for safety purposes
G37	G	37	42	182	40	0	94bdb97b2acb	DRIVE TEAM members may not contact anything outside the zone in which they started the
G38	G	38	43	1040	33	0	b9672866d027	ROBOTS may not control more than one (1) BOULDER at any time
G39	G	39	43	2234	142	0	2778b690813b	ROBOTS are prohibited from launching BOULDERS unless they are in contact with the opponent’s
G42	G	42	45	109	35	0	6260386e1bd7	ROBOTS may not intentionally eject BOULDERS from the FIELD other than through the GOALS
G43	G	43	45	696	89	0	0fadfc73d078	ROBOTS on the same half of the FIELD as their ALLIANCE TOWER may not interfere with
G44	G	44	45	557	31	0	e908201c6aad	A ROBOT may not use the SHIELD(S) to circumvent a DEFENSE
G45	G	45	45	10449	31	0	93be96b9a440	A ROBOT may not pass completely over the Low Bar
R1	R	1	50	872	0	0	2e6ecfc387c1	A Team must submit their ROBOT for Inspection
R2	R	2	50	745	0	0	0572824a800f	The ROBOT (excluding BUMPERS) must have a FRAME PERIMETER, contained within the BUMPER ZONE, that is comprised of fixed,
R3	R	3	50	1054	0	0	e43b0b34de4f	The ROBOT must satisfy the following size constraints: A
R4	R	4	52	507	0	0	dc636425c7b7	In the STARTING CONFIGURATION (the physical configuration in which a ROBOT starts a MATCH), no part of the ROBOT shall e
R5	R	5	52	533	0	0	e7520ab22471	The ROBOT weight must not exceed 120 lbs
R6	R	6	52	324	0	0	057c86c776b1	Traction devices must not have surface features such as metal, sandpaper, hard plastic studs, cleats, hook-loop fastener
R7	R	7	52	486	0	0	930415c88058	ROBOTS must allow removal of BOULDERS from the ROBOT and the ROBOT from FIELD elements while DISABLED and powered off
R8	R	8	52	2031	0	0	c9f92b18c7a5	Protrusions from the ROBOT and exposed surfaces on the ROBOT shall not pose hazards to the ARENA elements (including the
R10	R	10	53	754	0	0	1397739fa227	The total cost of all items on the ROBOT shall not exceed $4000 USD
R11	R	11	54	4344	0	0	352614c6ba67	No individual, non-KOP item shall have a value that exceeds $400 USD
R13	R	13	56	1619	0	0	16b565a02307	Physical ROBOT elements created before Kickoff are not permitted
R14	R	14	56	2122	0	0	64ff73f1c59f	Software and mechanical/electrical designs created before Kickoff are only permitted if the source
R15	R	15	57	363	0	0	76344def8519	All ROBOT elements (including items intended for use during the competition in alternative
