rule_id	n_questions	pct_of_qs
R84	21	4.8
G23	15	3.4
R34	14	3.2
R25	12	2.7
G15	10	2.3
G20	10	2.3
R31	9	2.1
R86	8	1.8
R20	8	1.8
R14	7	1.6
R15	7	1.6
R24	7	1.6
G10	6	1.4
R26	6	1.4
G11	6	1.4
R12	6	1.4
R83	6	1.4
G12	5	1.1
G13	5	1.1
R35	5	1.1
R73	5	1.1
R60	5	1.1
R17	5	1.1
G16	4	0.9
R85	4	0.9
G14	4	0.9
H10	4	0.9
R37	4	0.9
R30	4	0.9
G19	3	0.7
R46	3	0.7
R33	3	0.7
R13	3	0.7
R28	3	0.7
R54	3	0.7
G24	3	0.7
R62	3	0.7
R23	3	0.7
R21	3	0.7
G21	2	0.5
G17	2	0.5
R100	2	0.5
C10	2	0.5
E02	2	0.5
R89	2	0.5
R11	2	0.5
R88	2	0.5
R56	2	0.5
R93	2	0.5
R94	2	0.5
R98	2	0.5
R87	2	0.5
G18	2	0.5
R45	2	0.5
R82	1	0.2
R39	1	0.2
R63	1	0.2
E12	1	0.2
H13	1	0.2
R61	1	0.2
R59	1	0.2
R81	1	0.2
H14	1	0.2
R29	1	0.2
R67	1	0.2
R32	1	0.2
E39	1	0.2
R49	1	0.2
R36	1	0.2
R55	1	0.2
R48	1	0.2
R99	1	0.2
H15	1	0.2
R16	1	0.2
E30	1	0.2
E28	1	0.2
