2023_id	2022_ancestor	sim	2023_headline
T708	T701	0.214	Send a BACKUP TEAM Representative
T702	T702	0.222	Declining teams can’t be picked
T301	T701	0.266	Replays will be the same
G304	G403	0.272	Don’t mess with the opponent’s CHARGE STATION
T701	R906	0.276	Send a STUDENT representative
T706	H106	0.280	BACKUP TEAMS due 2 minutes before the MATCH start time
T703	H105	0.320	No BACKUP TEAM for replayed MATCHES
T709	H304	0.336	LINEUPS due 2 minutes before the MATCH.The ALLIANCE CAPTAIN must submit their LINEUP in writing to the Head RE
T901	T901	0.344	Wear your buttons
G109	G204	0.356	Don’t extend in multiple directions
G302	G104	0.369	Stay on your side before TELEOP
G306	G108	0.375	Don’t jam the CHARGE STATION
H111	G402	0.380	Don't violate rules for Ranking Points
G404	G108	0.386	Launching GAME PIECES is only okay in the COMMUNITY
H107	I102	0.391	Throwing your own MATCH is bad
G108	H505	0.394	Opponent’s zone, no extension
G303	H301	0.395	Do not interfere with opponent GAME PIECES before TELEOP
H301	H301	0.396	Be prompt
T707	H202	0.408	Be there to be a BACKUP TEAM
T704	H304	0.416	No BACKUP TEAMS for 1st match
G207	G210	0.433	Right of way
H110	I105	0.436	Don’t mess with GAME PIECES
T705	G103	0.447	BACKUP TEAMS play when called
G305	G209	0.468	Don’t trick the sensors
G209	G208	0.480	During the ENDGAME, don’t touch ROBOTS touching their CHARGE STATION
G403	G403	0.484	1 GAME PIECE at a time (except in LOADING ZONE and COMMUNITY)
R206	R205	0.487	Don’t damage GAME PIECES
G106	G106	0.504	Tall ROBOTS not allowed
G107	R105	0.527	Don’t overextend yourself
H505	G108	0.557	DRIVE TEAMS, watch your reach
H312	H301	0.570	Leave promptly
H202	H202	0.607	1 STUDENT, 1 Head REFEREE
H504	H404	0.630	GAME PIECES through PORTALS only
T710	T702	0.647	For replays, no changing LINEUPS (mostly)
G208	G209	0.672	Don’t climb on each other unless in the COMMUNITY
G402	G402	0.705	GAME PIECES: use as directed.ROBOTS may not deliberately use GAME PIECES in an attempt to ease or amplify chal
H502	H502	0.716	No wandering.DRIVE TEAMS may not contact anything outside the area in which they started the MATCH (i.e
H311	H311	0.730	Leave the GAME PIECES alone
H109	H108	0.732	Be careful what you interact with
G401	G401	0.743	Keep GAME PIECES in bounds
G205	G205	0.761	This isn’t combat robotics
G405	G405	0.805	Don’t mess with the opponents’ GRIDS
H401	H401	0.811	Behind the lines
G102	G102	0.812	ROBOTS, stay on the FIELD during the MATCH
H503	H503	0.825	COACHES, GAME PIECES are off limits
H403	H403	0.868	Let the ROBOT do its thing
R205	R205	0.871	Don’t contaminate the FIELD
H506	H507	0.873	DRIVE TEAMS, avoid ROBOTS
H309	H309	0.879	Know your ROBOT setup
H310	H310	0.889	Know your DRIVETEAM positions
R408	R408	0.892	BUMPER construction
R204	R204	0.901	GAME PIECES stay with the FIELD
H304	H304	0.907	By invitation only
R406	R406	0.912	Team number on BUMPERS
R709	R709	0.912	ROBOTS must have a signal light
H306	H306	0.918	Identify yourself.DRIVE TEAMS must wear proper identification while in the ARENA
I107	I107	0.920	No STUDENT, no inspection
R202	R202	0.928	No exposed sharp edges
H303	H303	0.943	You can’t bring/use anything you want
R501	R501	0.943	Allowable motors.The only motors and actuators permitted include the following (in any quantity): Table 9-1 Mo
R619	R619	0.950	Only use specified circuit breakers in PDP/PDH.The only circuit breakers permitted for use in the PDP/PDH are:
R622	R622	0.955	Use appropriately sized wire
T401	T401	0.956	Freeze, ROBOT.During the period when the ARENA is open for measurement, ROBOTS can be enabled, but may neither
G301	G301	0.961	Be careful what you interact with
R405	R405	0.965	BUMPERS indicate your ALLIANCE
R504	R504	0.969	Don’t overload controllers
R715	R715	0.969	Control PCM/PH(S) from roboRIO.Each PCM/PH must be controlled with signal inputs sourced from the roboRIO and 
H302	H302	0.970	Teams may not enable their ROBOTS on the FIELD.Teams may not tether to the ROBOT while on the FIELD except in 
R105	R105	0.973	ROBOT extension limit
R812	R812	0.975	Pressure switch requirements.The pressure switch must be connected to the high-pressure side of the pneumatic 
R710	R710	0.978	Only specified modifications to control system devices permitted.The Driver Station Software, roboRIO, PDP/PDH
I101	I101	0.981	It’s your team’s ROBOT
R304	R304	0.982	During an event, only work during pit hours
R701	R701	0.987	Control the ROBOT with a roboRIO
R503	R503	0.987	Power (most) actuators offof approved devices.With the exception of servos, fans, or motors integral to sensor
R104	R104	0.988	STARTING CONFIGURATION – max size
R302	R302	0.989	Custom parts, generally from this year only.FABRICATED ITEMS created before Kickoff are not permitted
G203	G203	0.992	Don’t collude with your partners to shut down major parts of game play.2 or more ROBOTS that appear to a REFER
R901	R901	0.994	Use the specified Driver Station Software.The Driver Station Software provided by National Instruments (instal
H102	H102	0.996	Enter only 1 ROBOT.Each registered FIRST Robotics Competition team may enter only 1 ROBOT (or “robot,” a ROBOT
R805	R805	0.997	If using pneumatics, these parts are required.If pneumatic COMPONENTS are used, the following items are requir
H201	H201	0.998	Egregious or exceptional violations
G101	G101	1.000	Dangerous ROBOTS: not allowed
G103	G103	1.000	Keep your BUMPERS low
G104	G104	1.000	Keep your BUMPERS together
G105	G105	1.000	Keep it together
G201	G201	1.000	Don’t expect to gain by doing others harm
G202	G202	1.000	There’s a 5-count on PINS
G204	G204	1.000	Stay out of other ROBOTS
G206	G206	1.000	Don’t tip or entangle
H101	H101	1.000	Be a good person
H103	H103	1.000	Humans, stay off the FIELD until green
H104	H104	1.000	Never step over the guardrail
H105	H105	1.000	Asking other teams to throw a MATCH – not cool
H106	H106	1.000	Letting someone coerce you in to throwing a MATCH – also not cool
H108	H107	1.000	Don’t abuse ARENA access
H305	H305	1.000	Show up to your MATCHES
H307	H307	1.000	Plug in to/be in your DRIVER STATION
H308	H308	1.000	Don’t bang on the glass.Team members may never strike or hit the DRIVER STATION plastic windows.
H402	H402	1.000	Disconnect or set down controllers
H501	H501	1.000	COACHES and other teams: hands off the controls
I102	I102	1.000	Get inspected before playing a Qualification/Playoff MATCH
I103	I103	1.000	Bring it all to inspection
I104	I104	1.000	Unless the change is listed below, any change to a ROBOT must get re-inspected
I105	I105	1.000	Don’t exploit re-inspection.Teams may not use the re-inspection process in I104 to circumvent the weight limit
I106	I106	1.000	ROBOTS are off for inspection (mostly)
R101	R101	1.000	FRAME PERIMETER must be fixed
R102	R102	1.000	STARTING CONFIGURATION – no overhang.In the STARTING CONFIGURATION (the physical configuration in which a ROBO
R103	R103	1.000	ROBOT weight limit
R201	R201	1.000	No digging into carpet
R203	R203	1.000	General safety
R301	R301	1.000	Individual item cost limit
R303	R303	1.000	Create new designs and software, unless they’re public.ROBOT software and designs created before Kickoff are o
R401	R401	1.000	BUMPERS should protect all corners
R402	R402	1.000	BUMPERS must stay low
R403	R403	1.000	BUMPERS shouldn’t move
R404	R404	1.000	BUMPERS must come off
R407	R407	1.000	BUMPER weight limit
R409	R409	1.000	Fill BUMPER corners
R410	R410	1.000	BUMPERS must be supported
R502	R502	1.000	Don’t modify motors (mostly)
R505	R505	1.000	Control servos safely
R601	R601	1.000	Battery limit – everyone has the same power
R602	R602	1.000	Other batteries for cameras or computers only
R603	R603	1.000	Charge batteries with safe connectors
R604	R604	1.000	Charge batteries at a safe rate
R605	R605	1.000	Batteries are not ballast.No batteries other than those allowed per R601 and R602 are allowed on the ROBOT, wh
R606	R606	1.000	Secure the battery
R607	R607	1.000	Insulate battery connections
R608	R608	1.000	Limit non-battery energy.Non-electrical sources of energy used by the ROBOT (i.e., stored at the start of a MA
R609	R609	1.000	Connect main power safely
R610	R610	1.000	1 breaker per circuit
R611	R611	1.000	The ROBOT frame is not a wire
R612	R612	1.000	Must be able to turn ROBOT on and off safely
R613	R613	1.000	Electrical system must be inspectable
R614	R614	1.000	No high voltage allowed
R615	R615	1.000	Power roboRIO as specified
R616	R616	1.000	Power radio as specified – Part 1
R617	R617	1.000	Power radio as specified – Part 2
R618	R618	1.000	Use PDP/PDH terminals as designed.Only 1 wire shall be connected to each terminal on the PDP/PDH.
R620	R620	1.000	Only use specified fuses in PDP/PDH.The only fuses permitted for use in the PDP/PDH are mini automotive blade 
R621	R621	1.000	Protect circuits with appropriate circuit breakers.Each branch circuit must be protected by 1 and only 1 circu
R623	R623	1.000	Use only appropriate connectors
R624	R624	1.000	Use specified wire colors (mostly)
R625	R625	1.000	Don’t modify critical power paths
R702	R702	1.000	Communicate with the ROBOT with the specified radio
R703	R703	1.000	Use specific Ethernet port for roboRIO
R704	R704	1.000	Only use allowed ports and bandwidth to communicate with the ROBOT
R705	R705	1.000	Configure devices for your team number.The roboRIO, Driver Station Software, and wireless bridge must be confi
R706	R706	1.000	Don’t bypass the ARENA network.All signals must originate from the OPERATOR CONSOLE and be transmitted to the 
