year	G	R	I	T	H	S	E	C	A	TOTAL
2016	37	87	0	0	0	0	0	0	0	124
2017	28	101	9	26	15	12	0	13	5	209
2018	25	102	7	22	14	6	0	10	5	191
2019	24	100	7	5	16	6	0	11	0	169
2020	26	93	0	0	16	7	0	10	0	152
2021	26	93	8	3	16	7	0	11	0	164
2022	26	92	7	4	33	0	0	0	0	162
2023	29	93	7	13	34	0	0	0	0	176
2024	50	95	7	12	0	0	47	1	0	212
2025	55	97	7	16	0	0	52	1	0	228
2026	47	99	7	16	0	0	55	1	0	225
