year,game,era,C,E,G,H,I,R,T,TOTAL
2022,RAPIDREACT,modern,0,0,26,33,7,92,4,162
2023,CHARGEDUP,modern,0,0,29,34,7,93,13,176
2024,CRESCENDO,modern,1,47,50,0,7,95,12,212
2025,REEFSCAPE,modern,1,52,55,0,7,97,13,225
2026,REBUILT,modern,1,55,47,0,7,99,13,222
