rule_id	n_questions	pct_of_qs
R21	17	8.5
R22	12	6.0
R19	12	6.0
R29	12	6.0
G40	11	5.5
R77	11	5.5
G38	9	4.5
G21	8	4.0
G43	8	4.0
T26	7	3.5
G39	7	3.5
R18	7	3.5
G11	5	2.5
G14	5	2.5
G41	5	2.5
G20	5	2.5
R79	5	2.5
G12	4	2.0
G29	4	2.0
G19	4	2.0
G25	4	2.0
G42	4	2.0
R57	4	2.0
R30	4	2.0
R53	4	2.0
R52	4	2.0
R63	4	2.0
R60	3	1.5
G18	3	1.5
G34	3	1.5
G28	3	1.5
R48	3	1.5
R10	3	1.5
R28	3	1.5
R26	3	1.5
R31	3	1.5
R11	3	1.5
R27	3	1.5
R54	3	1.5
R80	3	1.5
G24	2	1.0
G35	2	1.0
T11	2	1.0
G37	2	1.0
G33	2	1.0
G31	2	1.0
G27	2	1.0
G15	2	1.0
R12	2	1.0
R76	2	1.0
R35	2	1.0
R16	2	1.0
R15	2	1.0
R13	2	1.0
R24	2	1.0
R20	2	1.0
R55	2	1.0
R36	2	1.0
R68	2	1.0
R78	2	1.0
R89	2	1.0
R83	2	1.0
R87	2	1.0
R75	2	1.0
R64	1	0.5
G10	1	0.5
G17	1	0.5
G13	1	0.5
R46	1	0.5
T15	1	0.5
T18	1	0.5
R38	1	0.5
R42	1	0.5
R49	1	0.5
R45	1	0.5
R59	1	0.5
R93	1	0.5
R65	1	0.5
R70	1	0.5
R62	1	0.5
R66	1	0.5
R61	1	0.5
R82	1	0.5
R81	1	0.5
R86	1	0.5
R85	1	0.5
R94	1	0.5
G16	1	0.5
T21	1	0.5
T31	1	0.5
R88	1	0.5
G26	1	0.5
