2021_id	2020_ancestor	sim	2021_headline
H8	C4	0.143	This rule has been renumbered as C11.
T2	G2	0.176	An ALLIANCE may not request a TIMEOUT or a BACKUP TEAM after a Playoff MATCH is stopped by the Head REFEREE (e
I8	H16	0.246	No student, no Inspection
R93	G1	0.256	OPERATOR CONSOLES shall not be made using hazardous materials, be unsafe, cause an unsafe condition, or interf
T3	H16	0.265	If an ALLIANCE wishes to use their TIMEOUT, the ALLIANCE CAPTAIN must submit their TIMEOUT coupon to the Head 
I7	G1	0.267	ROBOTS are off for Inspection, mostly
T1	H16	0.273	Freeze, ROBOT
I6	R44	0.299	This rule has been removed for the 2021 season.
R11	R44	0.299	This rule has been removed for the 2021 season.
R14	R44	0.299	This rule has been removed for the 2021 season.
R15	R44	0.299	This rule has been removed for the 2021 season.
R13	R10	0.307	This rule has been removed for the 2021 season
I4	R11	0.314	Unless the change is listed below, any change to a ROBOT must get re-Inspected
I2	R58	0.341	Get inspected before playing a Qualification/Playoff MATCH
I3	G1	0.372	Bring it all to Inspection
I1	R89	0.381	It’s your team’s ROBOT
I5	H14	0.441	Don’t exploit I4.Teams may not use the re-Inspection process in I4 to circumvent the weight limit in I3
C11	H8	0.703	Don’t trick the sensors
R21	R21	0.746	Each ROBOT must be able to display primarily Red or Blue BUMPERS to MATCH their ALLIANCE color, as assigned in
R16	R14	0.824	During an event a team is attending (regardless of whether the team is physically at the event location), the 
R27	R27	0.828	The only motors and actuators permitted on 2021 ROBOTS include the following (in any quantity): Table 9-1 Moto
C10	C10	0.866	Plug in to/be in your PLAYER STATION
R53	R53	0.867	All circuits shall be wired with appropriately sized insulated copper wire (SIGNAL LEVEL cables don’t have to 
R52	R52	0.871	Each branch circuit must be protected by one and only one circuit breaker on the PDP per Table 9-3
H9	H9	0.884	POWER CELLS, recycle
R62	R62	0.885	All signals must originate from the OPERATOR CONSOLE and be transmitted to the ROBOT via the ARENA Ethernet ne
R4	R4	0.889	ROBOTS may not extend more than 12 in
G18	G18	0.899	Don’t overextend yourself
R57	R57	0.901	ROBOTS must be controlled via one (1) programmable National Instruments roboRIO (P/N: am3000), with image vers
R8	R8	0.902	ROBOT parts shall not be made from hazardous materials, be unsafe, cause an unsafe condition, or interfere wit
R12	R12	0.904	No individual, non-KOP item or software used on the ROBOT shall have a Fair Market Value that exceeds $500 USD
R51	R51	0.910	The fuses in the PDP shall only be replaced with functionally identical fuses (mini automotive blade fuses wit
G3	G3	0.910	During AUTO, no defense
R25	R25	0.913	Corner joints between BUMPERS must be filled with pool noodle material
G7	G7	0.914	Keep POWER CELLS in bounds
S3	S3	0.917	Never step/jump over the guardrail
S7	S7	0.918	Stay off the SHIELD GENERATOR and CONTROL PANELS
R42	R42	0.925	All wiring and electrical devices, including all Control System COMPONENTS, shall be electrically isolated fro
G1	G1	0.927	Know your ROBOT setup
C9	C9	0.928	One student, one Head REFEREE
G9	G9	0.930	No full court shots
S2	S2	0.937	Wait for the green lights
R47	R47	0.939	The Wireless Bridge (Radio) power must be supplied directly by the 12V 2A output of a CTR Electronics Voltage 
R75	R75	0.944	All pneumatic items must be COTS pneumatic devices and either: A
R91	R91	0.946	The OPERATOR CONSOLE must not A
G11	G11	0.951	Give opponents some space
C2	C2	0.951	Be a good person
G25	G25	0.954	Damaging other ROBOTS, not allowed
R1	R1	0.961	The ROBOT (excluding BUMPERS) must have a FRAME PERIMETER, contained within the BUMPER ZONE and established wh
C6	C6	0.961	Show up to your MATCHES
H2	H2	0.962	Know your DRIVE TEAM positions
R39	R39	0.965	Non-electrical sources of energy used by the ROBOT, (i.e., stored at the start of a MATCH), shall come only fr
R69	R69	0.966	If a motor is controlled via the MXP, its power regulating device must be connected by one of the following me
R33	R33	0.968	COTS USB battery packs with a capacity of 100Wh or less (20000mAh at 5V) and 2.5 Amp max output per port, or b
H13	H13	0.968	Don’t abuse ARENA access.Team members (except DRIVERS, HUMAN PLAYERS, and COACHES) who are granted access to r
R26	R26	0.971	BUMPERS must be supported by the structure/frame of the ROBOT (see Figure 9-9)
H16	H16	0.973	Be careful what you interact with
C4	C4	0.973	Letting someone coerce you in to throwing a MATCH – also not cool
R22	R22	0.973	Team numbers must be displayed and positioned on the BUMPERS such that an observer walking around the perimete
G12	G12	0.973	Leave the opponent’s CONTROL PANEL alone.During TELEOP, a ROBOT may not contact the opponent’s CONTROL PANEL, 
R24	R24	0.975	BUMPERS must be constructed as follows (see Figure 9-7): A
R29	R29	0.975	With the exception of servos, fans, or motors integral to sensors of COTS computing devices permitted in R27, 
R66	R66	0.975	The Driver Station software, roboRIO, Power Distribution Panel, Pneumatics Control Modules, Voltage Regulator 
R85	R85	0.976	The pressure switch requirements are: A
R78	R78	0.976	If pneumatic COMPONENTS are used, the following items are required as part of the pneumatic circuit and must b
G15	G15	0.977	During the ENDGAME, don’t mess with HANGING opponents.During the ENDGAME, a ROBOT may not contact, either dire
R17	R17	0.979	ROBOTS are required to use BUMPERS to protect all outside corners of the FRAME PERIMETER
G21	G21	0.979	There’s a 5-count on pins
G26	G26	0.982	Be careful what you interact with
R30	R30	0.984	Each power regulating device may control electrical loads per Table 9-2
H3	H3	0.991	Leave the POWER CELLS alone
R61	R61	0.995	The roboRIO, Driver Station software, and Wireless Bridge must be configured to correspond to the correct team
R65	R65	0.995	ROBOTS must use at least one (1), but no more than two (2), diagnostic ROBOT Signal Lights (RSL) (P/N: 855PB-B
H10	H10	0.996	POWER CELLS go on the rack
C5	C5	0.996	Enter only one (1) ROBOT
R88	R88	0.997	The Driver Station software provided by National Instruments (install instructions found here) is the only app
C1	C1	1.000	Egregious or exceptional violations
C3	C3	1.000	Asking other teams to throw a MATCH – not cool
C7	C7	1.000	Be prompt/safe when coming to and going from the FIELD
C8	C8	1.000	Don’t expect to gain by doing others harm
G2	G2	1.000	Teams may not enable their ROBOTS on the FIELD
G4	G4	1.000	During AUTO, behind the lines
G5	G5	1.000	During AUTO, let the ROBOT do its thing
G6	G6	1.000	No more than five (5) POWER CELLS at a time
G8	G8	1.000	POWER CELLS: use as directed
G10	G10	1.000	Right of way
G13	G13	1.000	Don’t climb on each other unless at the RENDEZVOUS POINT
G14	G14	1.000	During the ENDGAME, don’t touch ROBOTS in their RENDEZVOUS POINT.During the ENDGAME,a ROBOT may not contact, e
G16	G16	1.000	Keep your BUMPERS low
G17	G17	1.000	Tall ROBOTS not allowed
G19	G19	1.000	Keep it together
G20	G20	1.000	Keep your BUMPERS together
G22	G22	1.000	Don’t collude with your partners to shut down major parts of game play.Two or more ROBOTS that appear to a REF
G23	G23	1.000	Don’t tear others down to lift yourself up
G24	G24	1.000	Stay out of other ROBOTS
H1	H1	1.000	You can’t bring/use anything you want
H4	H4	1.000	COACHES and other teams: hands off the controls.A ROBOT shall be operated only by the DRIVERS and/or HUMAN PLA
H5	H5	1.000	No wandering
H6	H6	1.000	POWER CELLS through LOADING BAYS only
H7	H7	1.000	COACHES, no POWER CELLS
H11	H11	1.000	By invitation only
