rule_id	n_questions	pct_of_qs
G27	13	4.6
R18	12	4.3
G18	10	3.6
R66	10	3.6
G16	9	3.2
G10	7	2.5
G13	5	1.8
G17	4	1.4
G24	4	1.4
T21	4	1.4
R55	4	1.4
G22	3	1.1
G25	3	1.1
G33	3	1.1
G19	3	1.1
R20	3	1.1
T10	3	1.1
R78	3	1.1
T11	3	1.1
R17	3	1.1
R37	3	1.1
R19	3	1.1
R64	3	1.1
G11	2	0.7
G21	2	0.7
R52	2	0.7
G30	2	0.7
R69	2	0.7
R24	2	0.7
R14	2	0.7
R45	2	0.7
R10	2	0.7
R42	2	0.7
R41	2	0.7
R58	2	0.7
G26	1	0.4
G23	1	0.4
G12	1	0.4
R21	1	0.4
R71	1	0.4
R75	1	0.4
R11	1	0.4
R12	1	0.4
R38	1	0.4
G14	1	0.4
R44	1	0.4
R25	1	0.4
R62	1	0.4
R40	1	0.4
R57	1	0.4
R48	1	0.4
R51	1	0.4
R46	1	0.4
R39	1	0.4
R43	1	0.4
R77	1	0.4
R67	1	0.4
R70	1	0.4
R65	1	0.4
R79	1	0.4
R83	1	0.4
R82	1	0.4
R68	1	0.4
