rule_id	n_questions	pct_of_qs
R32	14	8.0
G30	13	7.4
G23	12	6.8
G04	10	5.7
G18	6	3.4
G14	5	2.8
R08	4	2.3
R52	4	2.3
G06	3	1.7
G05	3	1.7
R10	3	1.7
G22	3	1.7
R03	3	1.7
R02	3	1.7
R22	3	1.7
R29	3	1.7
R21	3	1.7
R24	3	1.7
R33	3	1.7
R82	3	1.7
R88	3	1.7
R78	3	1.7
G07	2	1.1
G21	2	1.1
R93	2	1.1
G16	2	1.1
G24	2	1.1
G33	2	1.1
R94	2	1.1
G27	2	1.1
G37	2	1.1
G10	2	1.1
G28	2	1.1
T22	2	1.1
R06	2	1.1
R07	2	1.1
R74	2	1.1
R26	2	1.1
R27	2	1.1
R72	2	1.1
R70	2	1.1
R54	2	1.1
R67	2	1.1
R34	2	1.1
R65	2	1.1
R90	2	1.1
G01	1	0.6
G02	1	0.6
G03	1	0.6
G12	1	0.6
G20	1	0.6
G15	1	0.6
G13	1	0.6
G11	1	0.6
G08	1	0.6
G19	1	0.6
G09	1	0.6
G17	1	0.6
G25	1	0.6
G26	1	0.6
G29	1	0.6
G31	1	0.6
G32	1	0.6
G35	1	0.6
G38	1	0.6
G34	1	0.6
G36	1	0.6
R05	1	0.6
R04	1	0.6
R01	1	0.6
R13	1	0.6
R18	1	0.6
R11	1	0.6
R14	1	0.6
R09	1	0.6
R12	1	0.6
R15	1	0.6
R16	1	0.6
R17	1	0.6
R19	1	0.6
R20	1	0.6
R28	1	0.6
R30	1	0.6
R31	1	0.6
R23	1	0.6
R25	1	0.6
R43	1	0.6
R42	1	0.6
R41	1	0.6
R50	1	0.6
R49	1	0.6
R44	1	0.6
R47	1	0.6
R39	1	0.6
R51	1	0.6
R40	1	0.6
R53	1	0.6
R48	1	0.6
R35	1	0.6
R37	1	0.6
R36	1	0.6
R45	1	0.6
R38	1	0.6
R46	1	0.6
R68	1	0.6
R60	1	0.6
R59	1	0.6
R71	1	0.6
R73	1	0.6
R55	1	0.6
R62	1	0.6
R63	1	0.6
R69	1	0.6
R64	1	0.6
R61	1	0.6
R56	1	0.6
R58	1	0.6
R66	1	0.6
R57	1	0.6
T20	1	0.6
R89	1	0.6
T02	1	0.6
R81	1	0.6
R83	1	0.6
R91	1	0.6
R87	1	0.6
T01	1	0.6
T18	1	0.6
R84	1	0.6
R85	1	0.6
R79	1	0.6
T19	1	0.6
R92	1	0.6
T08	1	0.6
R77	1	0.6
T05	1	0.6
R86	1	0.6
T04	1	0.6
T06	1	0.6
T07	1	0.6
T09	1	0.6
T15	1	0.6
T13	1	0.6
R76	1	0.6
T21	1	0.6
T16	1	0.6
T12	1	0.6
T14	1	0.6
T10	1	0.6
T03	1	0.6
T17	1	0.6
R80	1	0.6
T11	1	0.6
R75	1	0.6
