rule_id	prefix	num	page	chars	starred	sha1	headline
C301	C	301	148	507	1	7dd7027ca768	Wear your buttons.
E101	E	101	149	1052	1	a005396a7b9b	Personal safety comes first.
E102	E	102	150	1692	1	10ffb2a04b9e	Be nice.
E103	E	103	150	106	1	586223b4f3f1	Children with adults, please.
E104	E	104	150	134	1	bf3261134797	Respect the venue.
E105	E	105	150	553	1	5975be40d6ba	Teams must check in.
E106	E	106	151	336	1	55c8e46d5d04	Some event resources for event teams only.
E107	E	107	151	826	1	fbf9ac15d812	Work in designated areas only.
E108	E	108	151	391	1	9d806a70b762	Some things don’t belong at events.
E109	E	109	151	251	1	049492c7a99a	Don’t arrange for additional utilities.
E110	E	110	151	196	1	8eef06f98356	Don’t sell stuff.
E111	E	111	151	74	1	be3df8118afb	Don’t give out food.
E112	E	112	151	123	1	6e37637372da	Make FIRST loud, but with restrictions.
E113	E	113	152	803	1	51f4d3249895	Hang banners with care.
E114	E	114	152	320	1	767ffa084054	Limit flag and flagpole size.
E115	E	115	152	226	1	87bfe438dc38	No firearms.
E116	E	116	152	237	1	aed2a200c8c0	Only COTS batteries allowed.
E117	E	117	152	832	1	3fb82ab42bf5	Do not record anyone at the event without their consent.
E118	E	118	153	914	1	2b651ae0f142	Enter only 1 ROBOT.
E201	E	201	153	444	1	06e01974fd84	The ROBOT goes alone to off-site machine shops.
E301	E	301	153	406	1	ceb823e4e001	No wireless communication.
E302	E	302	154	577	1	8a091b53b8b9	Don’t interfere with wireless networks.
E303	E	303	154	129	1	0f12b77529e2	Tethered operation outside FIELDS/PRACTICE AREAS.
E401	E	401	154	1082	1	41a83d1ea9e8	Load in during Load-In.
E402	E	402	154	203	1	49cf12f6a142	Load-In person limit is 6.
E403	E	403	155	506	1	3c64b265cae7	Load-In Restrictions.
E404	E	404	155	138	1	29b368f5e93f	Pit must be left in a safe state.
E405	E	405	155	477	1	3b521ebe0afa	Once done, head out.
E501	E	501	155	101	1	1fb77c5b30b8	Pits are unavailable if closed.
E502	E	502	155	326	1	65976bacf7f1	Stay in your pit.
E503	E	503	155	46	1	76d53c645919	Keep aisles clear.
E504	E	504	155	211	1	455a1c7c13ab	No sparks or flames.
E505	E	505	156	382	1	8f1d34518e45	Nothing too big.
E506	E	506	156	279	1	d1b4fff89c31	No brazing or welding.
E507	E	507	156	244	1	14a227edc3de	Solder with specific tools only.
E508	E	508	156	270	1	3797ba9a9558	Structures must be safe.
E509	E	509	156	278	1	5e94822ddc96	Secure team identification assets.
E510	E	510	156	125	1	efba0ce2f51b	No automated tools overnight
E511	E	511	156	162	1	e3f92f12282a	Pit Power Limit.
E601	E	601	157	165	1	327a089ac408	Inspection for TEST & PRACTICE AREAS.
E602	E	602	157	473	1	cb59d513f87c	Practice only when/where permitted.
E603	E	603	157	539	1	4a32164c6a85	TEST/PRACTICE AREA attendance is limited.
E604	E	604	157	270	1	70c1dce7d032	Give ROBOTS space.
E605	E	605	158	138	1	66ff10b8714e	Be ready to DISABLE.
E606	E	606	158	172	1	52c7af024e32	Be safe.
E701	E	701	158	109	1	0667615c8587	Carts must be safe and easy to use.
E702	E	702	158	84	1	5ecf574707b5	Carts shouldn’t be too big.
E703	E	703	158	119	1	3d5a53416ea1	Carts can’t park anywhere.
E704	E	704	158	226	1	096d80ba3ddb	No noisy carts.
E705	E	705	158	67	1	87ccd00560e6	No motor driven carts.
E706	E	706	158	258	1	66a11accfb78	Small ROBOT carts are allowed on the FIELD
E801	E	801	158	284	1	aa3db103702a	If in the pits during Ceremonies, shhhhhh.
E802	E	802	159	134	1	215013eceb32	Pit person limit during Ceremonies is 5.
E803	E	803	159	450	1	20f873c4684e	Be respectful during anthems.
E901	E	901	159	535	1	ab4fa9b29365	No saving seats.
E902	E	902	159	82	1	60d93ff91bbd	Don’t throw items from the stands.
G101	G	101	55	522	1	18062efcb657	Humans, remain outside the FIELD.
G102	G	102	55	1041	1	570703de9fa8	Never step over the guardrail.
G103	G	103	55	573	1	801d38780c4e	Be careful what you interact with.
G104	G	104	56	1032	1	1056556f01a6	Teams may not enable their ROBOTS on the FIELD.
G201	G	201	56	1104	1	db185eff3990	Be a good person.
G202	G	202	56	181	1	9725b6c894f6	Don’t bang on the glass.
G203	G	203	57	1283	1	2f653062d9e5	Asking other teams to throw a MATCH – not cool.
G204	G	204	57	1294	1	e052f1ce8d5b	Letting someone coerce you into throwing a MATCH – also not cool.
G205	G	205	58	685	1	ba96a7fa433b	Throwing your own MATCH is bad.
G206	G	206	58	438	1	63956a83409a	Don't violate rules for RPs.
G207	G	207	58	886	1	30ccd3ba720d	Don’t abuse ARENA access.
G208	G	208	58	393	1	d8c9ed290bc2	Show up to your Qualification MATCHES.
G209	G	209	59	114	1	068ca3b00aae	Keep your ROBOT together.
G210	G	210	59	1356	1	e8bfe6c67634	Don’t expect to gain by doing others harm.
G211	G	211	60	2582	1	306f6e9c5bb0	Egregious or exceptional violations.
G212	G	212	61	220	1	27c2f2f61948	All teams can play.
G301	G	301	61	4299	1	66a0f03faa0c	Be prompt.
G302	G	302	63	1459	1	fc47bb505864	Limit what you use during a MATCH
G303	G	303	63	1624	1	153d93f01713	Start your ROBOTS.
G401	G	401	64	843	1	d04c06036c19	Behind the lines.
G402	G	402	64	332	1	850347f2a1da	Let the ROBOT do its thing.
G403	G	403	64	360	0	7385c5e645b2	Limited AUTO opponent interaction.
G404	G	404	65	438	1	83815681567f	ROBOTS: use SCORING ELEMENTS as directed.
G405	G	405	65	286	1	83475f27c996	Keep SCORING ELEMENTS in bounds.
G406	G	406	65	698	1	3459e959ae30	Don’t abuse SCORING ELEMENTS.
G407	G	407	65	189	0	48de3e24b6e6	Only score while in your ALLIANCE ZONE.
G408	G	408	65	1651	0	9a8983ecf3a7	Don’t catch FUEL
G409	G	409	66	1225	1	1fb1670e42c6	ROBOTS must be safe.
G410	G	410	66	355	1	0b8c4c9bc6ba	Keep your BUMPERS low
G411	G	411	67	408	0	abb351afe021	Don’t damage the FIELD
G412	G	412	67	631	0	1e268e6085b7	Watch your FIELD interaction.
G413	G	413	67	3933	0	b476bdcce491	Expansion limits.
G414	G	414	69	215	0	8d9309b31983	Don’t Climb on each other.
G415	G	415	69	3546	1	4f420adcc9ba	Stay out of other ROBOTS.
G416	G	416	70	2699	1	1eecb9a649f8	This isn’t combat robotics.
G417	G	417	71	1137	1	87de4cf7849a	Don’t tip or entangle.
G418	G	418	72	1175	1	d270e8cb83c2	There’s a 3-count on PINS.
G419	G	419	72	942	1	328923e52b22	Don’t collude with your partners to shut down major parts of game play.
G420	G	420	73	443	0	54788130fb18	TOWER protection.
G421	G	421	73	1365	1	65eaff684f38	No wandering.
G422	G	422	73	402	1	1d102871b4f1	DRIVE COACHES and other teams: hands off the controls.
G423	G	423	74	328	1	18cb4f638df7	DRIVE TEAMS, watch your reach.
G424	G	424	74	341	1	8b26084027e8	Humans: use SCORING ELEMENTS as directed.
G425	G	425	74	279	1	c3eb04c6f231	SCORING ELEMENT delivery.
G426	G	426	74	145	1	054158c37128	DRIVE COACHES, SCORING ELEMENTS are off limits.
G427	G	427	74	402	0	c1689c8823a1	The OUTPOST has a storage limit.
G501	G	501	74	264	1	6da0875ce9ea	Leave promptly.
I101	I	101	115	1799	1	74602b20f24c	It’s your team’s ROBOT.
I102	I	102	116	431	1	682314ed4d4f	Get inspected before playing a Qualification MATCH.
I103	I	103	116	555	1	db9643674684	Bring it all to inspection.
I104	I	104	116	1113	1	5f5f2a8c3484	Unless the change is listed below, any change to a ROBOT must get re-inspected.
I105	I	105	117	2091	1	a19d7d8f322d	Don’t exploit re-inspection.
I106	I	106	118	941	1	098623d9f8db	ROBOTS are off for inspection (mostly).
I107	I	107	118	223	1	2f825127ddf1	No STUDENT, no inspection.
Q101	Q	101	52	544	1	01f83fc3005a	Head REFEREE Interactions.
Q102	Q	102	53	340	0	ef594d772631	Conversations must be civil.
R101	R	101	78	940	1	95eee30363d5	ROBOT PERIMETER must be fixed.
R102	R	102	78	870	1	412c2a282282	STARTING CONFIGURATION – no overhang.
R103	R	103	78	635	1	783c9d807553	ROBOT weight limit.
R104	R	104	79	473	0	a80b0d5ab92f	STARTING CONFIGURATION – max size.
R105	R	105	79	349	0	83046e97117d	ROBOT horizontal extension limit.
R106	R	106	79	1693	0	0eda30fd2f66	Horizontal extension – one direction at a time.
R107	R	107	81	399	0	17e69bb7e35b	ROBOT vertical extension limit.
R108	R	108	81	173	0	a22ab6cebde9	ROBOT extension floor interaction
R201	R	201	81	346	1	0608ccc3fc1e	No digging into carpet.
R202	R	202	81	361	1	9d09d0242e50	No exposed sharp edges.
R203	R	203	81	1871	1	4aee5e3f814c	General safety.
R204	R	204	82	378	1	57ddbd4b4ef6	Leave SCORING ELEMENTS at the FIELD.
R205	R	205	82	119	1	e4d799850320	Don’t contaminate the FIELD.
R206	R	206	82	391	1	4d2c86e81852	Don’t damage SCORING ELEMENTS.
R301	R	301	82	5128	1	3f22da9945fa	Individual item cost limit.
R302	R	302	84	883	1	8c0708fae35b	MAJOR MECHANISM, from this year only.
R303	R	303	84	2222	1	97155fe91634	Create new designs and software, unless they’re public.
R401	R	401	85	528	1	e612023f86d1	BUMPERS almost all around.
R402	R	402	86	2415	1	71a9d7b925f1	BUMPER construction.
R403	R	403	88	134	1	57727da46b1c	BUMPER extension limit.
R404	R	404	88	646	1	a8c8a5bfacfb	BUMPERS must be soft.
R405	R	405	89	559	1	976295154b2f	BUMPERS interact with BUMPERS.
R406	R	406	89	440	1	df672b05fa80	Fill BUMPER corners.
R407	R	407	90	458	1	99d389add7df	BUMPERS shouldn’t be wedges.
R408	R	408	90	128	1	8c331c2d7d93	Weight limit with BUMPERS.
R409	R	409	91	368	1	2d5841be856c	BUMPERS should be passive.
R410	R	410	91	219	1	295a6c0fe338	BUMPERS must come off.
R411	R	411	91	720	1	f005273ede4e	BUMPERS indicate your ALLIANCE.
R412	R	412	91	1582	1	d2a9b678bb4e	Team number on BUMPERS.
R501	R	501	92	3658	1	b0dd5052cee7	Allowable motors.
R502	R	502	94	897	1	0d928a625458	Only 4 propulsion motors.
R503	R	503	94	1387	1	7a5c505c1b42	Don’t modify motors (mostly).
R504	R	504	95	1764	1	579f0d2e97a9	Power (most) actuators off of approved devices.
R505	R	505	95	1172	1	96790ee84608	Don’t overload controllers.
R506	R	506	96	275	1	753862f31866	Control servos safely.
R601	R	601	96	1800	1	1fd1ba93ed6f	Battery limit – everyone has the same power.
R602	R	602	97	812	1	7af6556b3c16	Other batteries for cameras or computers only.
R603	R	603	98	151	1	21a9bf183cf6	Charge batteries with safe connectors.
R604	R	604	98	151	1	4c45aff9c655	Charge batteries at a safe rate.
R605	R	605	98	246	1	e06aa80af998	Batteries are not ballast.
R606	R	606	98	197	1	df89d12e5f2b	Secure the battery.
