rule_id	prefix	num	page	stmt_chars	viol_chars	inset_chars	stmt_sha1	headline
C1	C	1	49	559	62	1098	33712939d372	Egregious or exceptional violations
C2	C	2	49	208	205	842	c5df2616d501	Be a good person
C3	C	3	50	318	246	832	763663d0e2ac	Asking other teams to throw a MATCH – not cool
C4	C	4	50	366	246	878	26523b2f1df6	Letting someone coerce you in to throwing a MATCH – also not cool
C5	C	5	51	286	178	631	dd87e6aeae7e	Enter only one (1) ROBOT
C6	C	6	51	260	73	86	37f25e9aa3bb	Show up to your MATCHES
C7	C	7	52	229	117	1081	d51a166591f3	Be prompt/safe when coming to and going from the FIELD
C8	C	8	52	297	57	542	6182c6e94711	Don’t expect to gain by doing others harm
C9	C	9	52	147	112	83	c87464ca2626	One student, one Head REFEREE
C10	C	10	53	155	98	640	5431175c9e6a	Plug in to/be in your PLAYER STATION
C11	C	11	53	157	37	0	11ffcb51e83b	Don’t trick the sensors
G1	G	1	55	493	221	291	4794450d3e76	Know your ROBOT setup
G2	G	2	55	324	23	654	0d9340b3561d	Teams may not enable their ROBOTS on the FIELD
G3	G	3	55	148	144	0	fef13aebe987	During AUTO, no defense
G4	G	4	56	181	35	444	5836c45d5b07	During AUTO, behind the lines
G5	G	5	56	243	32	0	bf339460bc4d	During AUTO, let the ROBOT do its thing
G6	G	6	56	512	69	176	29370be17a21	No more than five (5) POWER CELLS at a time
G7	G	7	56	148	31	0	f160e0fcf0dd	Keep POWER CELLS in bounds
G8	G	8	57	185	36	235	401f13cf5566	POWER CELLS: use as directed
G9	G	9	57	179	36	538	d025771606d3	No full court shots
G10	G	10	58	178	34	253	1767c303e71e	Right of way
G11	G	11	58	247	66	262	f433258ba9fb	Give opponents some space
G12	G	12	59	277	188	0	4fed37da3455	Leave the opponent’s CONTROL PANEL alone
G13	G	13	59	185	34	0	7e5accb0c18b	Don’t climb on each other unless at the RENDEZVOUS POINT
