rule_id	prefix	num	page	chars	starred	sha1	headline
C1	C	1	49	424	0	4489ab0f6a8f	Egregious or exceptional violations.
C2	C	2	49	1071	0	852b112bf931	Be a good person.
C3	C	3	49	1377	0	166497cb3f98	Asking other teams to throw a MATCH – not cool.
C4	C	4	49	1431	0	78ff383b2b9d	Letting someone coerce you in to throwing a MATCH – also not cool.
C5	C	5	50	853	0	6fab8097157e	Compete with only one (1) ROBOT.
C6	C	6	50	461	0	97c573c42381	Show up to your MATCHES.
C7	C	7	51	972	0	8c3f9d187417	Be prompt/safe when coming to and going from the FIELD.
C8	C	8	51	1094	0	d95147ef6dc8	Don’t expect to gain by doing others harm.
C9	C	9	52	338	0	c9124537f165	One student, one Head REFEREE
C10	C	10	52	883	0	089a037a7c41	. The OPERATOR CONSOLE must be used in the
C11	C	11	52	657	0	ba926c6c28c1	Throughout the event, from load-in to load-out, teams may only
G1	G	1	53	866	0	91ee5ab75ce3	Know your ROBOT setup.
G2	G	2	53	951	0	6eb54df20908	ROBOTS must be removed from the FIELD by hand (i.e. no enabling, power, etc.).
G3	G	3	53	176	0	6337b717b79a	No defense.
G4	G	4	53	1388	0	7605ac25565f	One GAME PIECE at a time.
G5	G	5	54	420	0	88b2ccbbc0b8	Don’t mess with opponents’ scored GAME PIECES
G6	G	6	54	292	0	8d086d11d521	No throwing HATCH PANELS
G7	G	7	54	122	0	9fa31962b01c	Keep GAME PIECES in bounds.
G8	G	8	54	542	0	ea9811d20884	GAME PIECES: use as directed.
G9	G	9	54	1352	0	2709c953f91b	One (1) defender at a time.
G10	G	10	55	771	0	629f6bbe0e35	No part of a ROBOT, except its BUMPERS, may be outside its FRAME
G11	G	11	55	317	0	9fedec91f697	A ROBOT with its BUMPERS breaking the plane defined by or
G12	G	12	55	293	0	f93020cf48a8	A ROBOT with its BUMPERS fully in either HAB ZONE may not extend
G13	G	13	56	329	0	4378ed9c9346	A ROBOT may not contact an opponent ROBOT if
G14	G	14	56	144	0	6014f0fed66d	A ROBOT may not be fully supported by a
G15	G	15	56	2020	0	141e3f64c9c8	DRIVE TEAMS, ROBOTS, and OPERATOR
G16	G	16	57	401	0	7de8ec640364	During Qualification MATCHES,
G17	G	17	57	407	0	deb02a9feb81	Fallen (i.e. tipped over) ROBOTS attempting to right themselves
G18	G	18	57	1279	0	f57ace0ed048	ROBOTS may not pin an opponent’s ROBOT for more than five (5)
G19	G	19	58	601	0	0c2053618a63	Strategies aimed at the destruction or inhibition of
G20	G	20	58	1641	0	c246bab4e334	Initiating deliberate or damaging contact with an opponent ROBOT on
G21	G	21	58	244	0	6b0640dc992f	ROBOTS may not intentionally detach or leave parts on the FIELD.
G22	G	22	59	188	0	93e8da43fa2d	BUMPERS may not fail such that a segment completely
G23	G	23	59	460	0	ab8a6891da24	BUMPERS must be in the BUMPER ZONE (see R25) during the
G24	G	24	59	693	0	4714c1ec09b6	ROBOTS may not extend more than 30 in (~76 cm). beyond their
H1	H	1	61	2072	0	0dbb261b5e59	You can’t bring/use anything you want.
H2	H	2	61	587	0	8e8b310c0ceb	Know your DRIVE TEAM positions.
H3	H	3	61	258	0	be1d18100be4	Leave the GAME PIECES alone
H4	H	4	62	279	0	12e20473db6d	COACHES and other teams: hands off the controls.
H5	H	5	62	243	0	a8bba10da559	Wireless devices not allowed.
H6	H	6	62	330	0	d365a4cf9cab	No wandering.
H7	H	7	62	300	0	200d7b1bc7e0	GAME PIECES through LOADING STATIONS only.
H8	H	8	62	132	0	0a5638259ca1	COACHES, no GAME PIECES.
H9	H	9	62	363	0	7e2b2a2f644d	Between the (STARTING) LINES.
H10	H	10	62	191	0	4def1367a60a	During the SANDSTORM PERIOD, COACHES, DRIVERS, and HUMAN PLAYERS
H11	H	11	63	155	0	c96c9cb8a40e	Only DRIVE TEAMS for the current MATCH are allowed in their respective
H12	H	12	63	690	0	ff7b66a6d628	DRIVE TEAMS must wear proper identification while in the ARENA. Proper
H13	H	13	63	537	0	d111672f5e4c	Team members (except DRIVERS, HUMAN PLAYERS, and
H14	H	14	63	173	0	e2591e10b138	Teams may not modify GAME PIECES in any way.
H15	H	15	63	63	0	07392465f6bc	Team members may never throw HATCH PANELS.
H16	H	16	63	3717	0	894d68cd08b7	Team members may never strike or hit the PLAYER STATION plastic
I1	I	1	101	935	0	a76d7a8f7a4d	The ROBOT must be built by the team to play DESTINATION: DEEP SPACE.
I2	I	2	101	773	0	dc834b5f5c73	Get inspected before playing a Qualification/Playoff MATCH.
I3	I	3	101	576	0	ac8981fcd98c	Bring it all to Inspection.
I4	I	4	102	2601	0	4fdf2f156041	Unless the change is listed below, any change to a ROBOT must get re-inspected.
I5	I	5	102	428	0	90f225688429	Document your costs.
I6	I	6	103	928	0	7967d38bfe63	ROBOTS are off for Inspection, mostly.
I7	I	7	103	2957	0	2e6405caa204	No student, no Inspection.
R1	R	1	67	1130	0	dda3f2a8063f	The ROBOT (excluding BUMPERS) must have a FRAME PERIMETER, contained within the
R2	R	2	67	297	0	76c2598982f6	In the STARTING CONFIGURATION (the physical configuration in which a ROBOT starts a
R3	R	3	68	456	0	3a7c01068f56	A ROBOT’S STARTING CONFIGURATION may not have a FRAME PERIMETER greater than 120
R4	R	4	68	399	0	7cb7ded8577b	ROBOTS may not extend more than 30 in. (~76 cm) beyond their FRAME PERIMETER (see
R5	R	5	68	367	0	5780287b3be3	The ROBOT weight must not exceed 125 lbs. (~56 kg). When determining weight, the basic
R6	R	6	69	550	0	d333bc6c7097	A ROBOT may not be designed to shoot a HATCH PANEL such that it travels more than 3
