rule_id	prefix	num	page	stmt_chars	viol_chars	inset_chars	stmt_sha1	headline
G101	G	101	49	106	159	241	6c4080479d0d	Dangerous ROBOTS: not allowed
G102	G	102	49	220	20	117	504a4bde1df1	ROBOTS, stay on the FIELD during the MATCH
G103	G	103	49	87	65	0	70acccabacb3	Keep your BUMPERS low
G104	G	104	49	219	20	0	7135c7f75886	Keep your BUMPERS together
G105	G	105	49	83	20	0	4fcebd928b23	Keep it together
G106	G	106	49	308	257	327	4702308deeca	Tall ROBOTS in HANGAR ZONE only
G107	G	107	50	104	257	553	d17459100ba7	Don’t overextend yourself
G108	G	108	50	153	53	0	de8e62d8aac0	Not too high
G109	G	109	50	103	20	0	65a3cc3f234f	Avoid the PURPLE PLANE
G201	G	201	51	298	40	521	6182c6e94711	Don’t expect to gain by doing others harm
G202	G	202	51	567	106	352	b9fb4429c9ad	There’s a 5-count on PINS
G203	G	203	51	417	111	466	cd0b820d177c	Don’t collude with your partners to shut down major parts of game play
G204	G	204	52	349	16	156	a9b79de1d234	Stay out of other ROBOTS
G205	G	205	52	458	98	1604	318faa0ced2c	This isn’t combat robotics
G206	G	206	53	132	113	585	e11f9ee0fc38	Don’t tip or entangle
G207	G	207	53	192	16	0	b329fad46f6e	Let them shoot
G208	G	208	53	321	169	0	ec5b3ce73e91	Let them climb
G209	G	209	53	81	138	0	1bb4dbb02a60	Don’t climb on each other
G210	G	210	53	314	20	0	7a45948c5f69	During AUTO, no defense
G301	G	301	54	554	484	221	f1ba7c20797f	Be careful what you interact with
G302	G	302	54	190	61	0	896482e4e9ed	LOWER EXITS are off limits
G401	G	401	54	174	26	0	dd3ae6e37411	Keep CARGO in bounds
G402	G	402	54	209	31	141	aa669550375e	CARGO: use as directed
G403	G	403	54	496	64	285	204eecdf28a4	2 CARGO max
G404	G	404	55	147	106	524	68df37f51241	Don’t hoard opposing CARGO
G405	G	405	55	620	26	382	3c9231ffbae5	Don’t catch CARGO
H101	H	101	57	146	205	1041	5025711913e6	Be a good person
H102	H	102	57	275	187	638	62f9fb0d6aeb	Enter only 1 ROBOT
H103	H	103	58	176	95	685	fcbfbc3c5b08	Humans, stay off the FIELD until green
H104	H	104	58	97	95	716	09158c32805a	Never step over the guardrail
H105	H	105	58	319	246	841	763663d0e2ac	Asking other teams to throw a MATCH – not cool
H106	H	106	59	348	246	864	a65c6eb5857b	Letting someone coerce you in to throwing a MATCH – also not cool
H107	H	107	59	354	23	435	ddde7cb90441	Don’t abuse ARENA access
H108	H	108	60	233	95	0	b57d426b2d40	Be careful what you interact with
H201	H	201	60	584	62	1192	648533b71191	Egregious or exceptional violations
H202	H	202	60	134	112	83	752f2c49f559	1 STUDENT, 1 Head Referee
H301	H	301	61	230	117	1117	58319f2512a9	Be prompt/safe when coming to and going from the FIELD
H302	H	302	61	280	22	657	0574c627ca48	Teams may not enable their ROBOTS on the FIELD
H303	H	303	61	1510	124	604	2677b738e483	You can’t bring/use anything you want
H304	H	304	62	125	62	0	b1940d03cde1	By invitation only
H305	H	305	62	236	20	132	57641ec26119	Show up to your MATCHES
H306	H	306	63	630	120	237	fa7f2ddf6ba0	Identify yourself
H307	H	307	63	156	91	709	67e5cd5418fe	Plug in to/be in your DRIVER STATION
H308	H	308	64	97	86	0	da86af77686f	Don’t bang on the glass
