rule_id	n_questions	pct_of_qs
G22	21	5.6
R33	16	4.3
R24	15	4.0
R30	15	4.0
G09	14	3.7
G05	13	3.5
R03	13	3.5
G19	12	3.2
R83	12	3.2
H07	10	2.7
R01	10	2.7
R23	7	1.9
R04	7	1.9
R27	6	1.6
G25	6	1.6
R32	6	1.6
R02	5	1.3
G24	5	1.3
R59	5	1.3
R08	5	1.3
G01	4	1.1
G17	4	1.1
R31	4	1.1
R29	4	1.1
G23	4	1.1
H14	4	1.1
R36	4	1.1
R28	4	1.1
G16	4	1.1
R100	4	1.1
S01	3	0.8
R74	3	0.8
R11	3	0.8
R85	3	0.8
R45	3	0.8
G08	3	0.8
R19	3	0.8
C07	3	0.8
R96	3	0.8
R13	3	0.8
R82	3	0.8
R95	3	0.8
R12	2	0.5
G11	2	0.5
G20	2	0.5
R35	2	0.5
R88	2	0.5
R37	2	0.5
G07	2	0.5
R34	2	0.5
G06	2	0.5
R98	2	0.5
R101	2	0.5
G02	2	0.5
S06	2	0.5
S05	2	0.5
R10	2	0.5
I03	2	0.5
G12	2	0.5
R63	1	0.3
G21	1	0.3
R79	1	0.3
T03	1	0.3
E15	1	0.3
E20	1	0.3
G10	1	0.3
R87	1	0.3
R86	1	0.3
R26	1	0.3
R81	1	0.3
R05	1	0.3
R61	1	0.3
R75	1	0.3
H05	1	0.3
R69	1	0.3
R62	1	0.3
S04	1	0.3
R84	1	0.3
R39	1	0.3
G13	1	0.3
R90	1	0.3
R51	1	0.3
I04	1	0.3
H02	1	0.3
R53	1	0.3
R14	1	0.3
R20	1	0.3
R22	1	0.3
R94	1	0.3
R91	1	0.3
R93	1	0.3
R58	1	0.3
G18	1	0.3
