rule_id	min_stmt_sim	mean_stmt_sim	firstlast_body_sim	2022->2023	headline
I102	1.000	1.000	1.000	1.000	Get inspected before playing a Qualification/Playoff MATCH
I103	1.000	1.000	1.000	1.000	Bring it all to inspection
I104	1.000	1.000	1.000	1.000	Unless the change is listed below, any change to a ROBOT must get re-inspected
I105	1.000	1.000	1.000	1.000	Don’t exploit re-inspection
I106	1.000	1.000	1.000	1.000	ROBOTS are off for inspection (mostly)
R101	1.000	1.000	1.000	1.000	FRAME PERIMETER must be fixed
R102	1.000	1.000	1.000	1.000	STARTING CONFIGURATION – no overhang
R103	1.000	1.000	1.000	1.000	ROBOT weight limit
R201	1.000	1.000	1.000	1.000	No digging into carpet
R203	1.000	1.000	0.992	1.000	General safety
R301	1.000	1.000	1.000	1.000	Individual item cost limit
R303	1.000	1.000	0.989	1.000	Create new designs and software, unless they’re public
R401	1.000	1.000	1.000	1.000	BUMPERS should protect all corners
R402	1.000	1.000	1.000	1.000	BUMPERS must stay low
R403	1.000	1.000	1.000	1.000	BUMPERS shouldn’t move
R404	1.000	1.000	1.000	1.000	BUMPERS must come off
R407	1.000	1.000	1.000	1.000	BUMPER weight limit
R409	1.000	1.000	1.000	1.000	Fill BUMPER corners
R410	1.000	1.000	1.000	1.000	BUMPERS must be supported
R502	1.000	1.000	1.000	1.000	Don’t modify motors (mostly)
R505	1.000	1.000	1.000	1.000	Control servos safely
R601	1.000	1.000	1.000	1.000	Battery limit – everyone has the same power
R602	1.000	1.000	0.884	1.000	Other batteries for cameras or computers only
R603	1.000	1.000	1.000	1.000	Charge batteries with safe connectors
R604	1.000	1.000	1.000	1.000	Charge batteries at a safe rate
R605	1.000	1.000	1.000	1.000	Batteries are not ballast
R606	1.000	1.000	1.000	1.000	Secure the battery
R607	1.000	1.000	1.000	1.000	Insulate battery connections
R608	1.000	1.000	1.000	1.000	Limit non-battery energy
R609	1.000	1.000	0.993	1.000	Connect main power safely
R610	1.000	1.000	1.000	1.000	1 breaker per circuit
R611	1.000	1.000	0.997	1.000	The ROBOT frame is not a wire
R612	1.000	1.000	1.000	1.000	Must be able to turn ROBOT on and off safely
R613	1.000	1.000	0.569	1.000	Electrical system must be inspectable
R614	1.000	1.000	1.000	1.000	No high voltage allowed
R615	1.000	1.000	1.000	1.000	Power roboRIO as specified
R616	1.000	1.000	1.000	1.000	Power radio as specified – Part 1
R617	1.000	1.000	1.000	1.000	Power radio as specified – Part 2
R618	1.000	1.000	1.000	1.000	Use PDP/PDH terminals as designed
R620	1.000	1.000	1.000	1.000	Only use specified fuses in PDP/PDH
R621	1.000	1.000	1.000	1.000	Protect circuits with appropriate circuit breakers
R623	1.000	1.000	1.000	1.000	Use only appropriate connectors
R624	1.000	1.000	1.000	1.000	Use specified wire colors (mostly)
R625	1.000	1.000	1.000	1.000	Don’t modify critical power paths
R702	1.000	1.000	1.000	1.000	Communicate with the ROBOT with the specified radio
R703	1.000	1.000	1.000	1.000	Use specific Ethernet port for roboRIO
R704	1.000	1.000	1.000	1.000	Only use allowed ports and bandwidth to communicate with the ROBOT
R705	1.000	1.000	1.000	1.000	Configure devices for your team number
R706	1.000	1.000	1.000	1.000	Don’t bypass the ARENA network
R707	1.000	1.000	1.000	1.000	No other wireless allowed
R708	1.000	1.000	1.000	1.000	Wireless bridge must be visible
R711	1.000	1.000	1.000	1.000	Don’t connect motor outputs to roboRIO
R712	1.000	1.000	1.000	1.000	Control PWM controllers from the roboRIO
R713	1.000	1.000	1.000	1.000	Only approved MXP devices can control actuators
R714	1.000	1.000	0.906	1.000	Control CAN motor controllers from the roboRIO
R716	1.000	1.000	1.000	1.000	Connect the PDP/PDH to the roboRIO CAN bus
R717	1.000	1.000	1.000	1.000	Don’t alter the CAN bus
R718	1.000	1.000	1.000	1.000	USB to CAN adapter permitted
R801	1.000	1.000	1.000	1.000	Only use explicitly permitted pneumatic parts
R802	1.000	1.000	1.000	1.000	No custom pneumatics and meet minimum pressure ratings
R803	1.000	1.000	1.000	1.000	Don’t modify pneumatics
R804	1.000	1.000	1.000	1.000	Only use specific pneumatic devices
R806	1.000	1.000	1.000	1.000	Compressed air from ROBOT compressor only
R807	1.000	1.000	1.000	1.000	Air storage pressure limit
R808	1.000	1.000	1.000	1.000	Working air pressure limit
R809	1.000	1.000	1.000	1.000	Limited devices at high pressure
R810	1.000	1.000	1.000	1.000	Pressure gauges must be visible
R811	1.000	1.000	1.000	1.000	Relief valve requirements
R813	1.000	1.000	1.000	1.000	Vent plug requirements
R814	1.000	1.000	1.000	1.000	Don’t connect solenoid outputs together
R902	1.000	1.000	1.000	1.000	The OPERATOR CONSOLE must have a visible display
R903	1.000	1.000	1.000	1.000	Connect FMS Ethernet directly to the OPERATOR CONSOLE
R904	1.000	1.000	0.990	1.000	OPERATOR CONSOLE physical requirements
R905	1.000	1.000	1.000	1.000	FIELD wireless only
R906	1.000	1.000	1.000	1.000	No unsafe OPERATOR CONSOLES
