rule_id	prefix	num	page	stmt_chars	viol_chars	inset_chars	stmt_sha1	headline
G101	G	101	52	106	159	242	6c4080479d0d	Dangerous ROBOTS: not allowed
G102	G	102	52	188	20	117	accf56497090	ROBOTS, stay on the FIELD during the MATCH
G103	G	103	52	87	65	0	70acccabacb3	Keep your BUMPERS low
G104	G	104	52	219	20	0	7135c7f75886	Keep your BUMPERS together
G105	G	105	52	83	20	0	4fcebd928b23	Keep it together
G106	G	106	52	167	16	327	c1fd8ae2b386	Tall ROBOTS not allowed
G107	G	107	53	204	161	822	ccface52482b	Don’t overextend yourself
G108	G	108	54	240	41	117	46c962def177	Opponent’s zone, no extension
G109	G	109	54	670	189	1413	4fdf8912ee16	Don’t extend in multiple directions
G201	G	201	56	298	40	1083	6182c6e94711	Don’t expect to gain by doing others harm
G202	G	202	56	567	106	352	b9fb4429c9ad	There’s a 5-count on PINS
G203	G	203	56	422	111	447	cdb113541125	Don’t collude with your partners to shut down major parts of game play
G204	G	204	57	349	16	161	a9b79de1d234	Stay out of other ROBOTS
G205	G	205	57	746	98	1881	8bc7a1fce530	This isn’t combat robotics
G206	G	206	58	132	113	857	e11f9ee0fc38	Don’t tip or entangle
G207	G	207	58	163	29	192	02a1661bb4cf	Right of way
G208	G	208	59	158	34	0	c598ab517c0f	Don’t climb on each other unless in the COMMUNITY
G209	G	209	59	451	246	0	6066e4d48b3c	During the ENDGAME, don’t touch ROBOTS touching their CHARGE STATION
G301	G	301	60	548	484	234	71195b6adb17	Be careful what you interact with
G302	G	302	60	216	214	94	56b1060597c2	Stay on your side before TELEOP
G303	G	303	60	193	41	0	c9776f91ea8a	Do not interfere with opponent GAME PIECES before TELEOP
G304	G	304	60	652	251	0	dbda6115339f	Don’t mess with the opponent’s CHARGE STATION
G305	G	305	61	81	36	0	7c53367381c3	Don’t trick the sensors
G306	G	306	61	262	67	0	812fb986b5d0	Don’t jam the CHARGE STATION
G401	G	401	61	159	31	0	13eb6f911796	Keep GAME PIECES in bounds
G402	G	402	61	149	36	185	8378b54d43ef	GAME PIECES: use as directed
G403	G	403	61	417	70	470	d02dda86b213	1 GAME PIECE at a time (except in LOADING ZONE and COMMUNITY)
G404	G	404	62	141	124	522	4dbb6346d9e5	Launching GAME PIECES is only okay in the COMMUNITY
G405	G	405	62	494	81	232	623af3ebeafd	Don’t mess with the opponents’ GRIDS
H101	H	101	63	146	205	864	5025711913e6	Be a good person
H102	H	102	63	275	187	638	17dba6ccba9d	Enter only 1 ROBOT
H103	H	103	64	176	95	685	fcbfbc3c5b08	Humans, stay off the FIELD until green
H104	H	104	64	97	95	716	09158c32805a	Never step over the guardrail
H105	H	105	64	319	246	825	763663d0e2ac	Asking other teams to throw a MATCH – not cool
