year,event,week,team,n_matches,resid_mean,resid_sd,resid_min
2023,2023isde1,Week 1,1574,12,0.0,13.273,-20.788
2023,2023isde1,Week 1,3211,12,0.0,9.274,-22.491
2023,2023isde1,Week 1,4661,12,0.0,14.897,-24.276
2023,2023isde1,Week 1,6738,12,0.0,15.045,-29.62
2023,2023isde1,Week 1,3388,12,0.0,16.849,-29.62
2023,2023isde1,Week 1,7067,12,0.0,12.695,-29.62
2023,2023isde1,Week 1,1943,12,0.0,12.556,-15.442
2023,2023isde1,Week 1,5135,12,0.0,14.635,-25.229
2023,2023isde1,Week 1,9304,12,0.0,12.287,-22.491
2023,2023isde1,Week 1,4319,12,0.0,13.081,-24.276
2023,2023isde1,Week 1,5654,12,0.0,10.93,-20.788
2023,2023isde1,Week 1,1576,12,0.0,12.727,-17.893
2023,2023isde1,Week 1,2096,12,0.0,11.581,-24.144
2023,2023isde1,Week 1,1690,12,0.0,14.614,-23.592
2023,2023isde1,Week 1,6168,12,0.0,12.562,-18.397
2023,2023isde1,Week 1,5554,12,0.0,14.05,-25.229
2023,2023isde1,Week 1,2230,12,0.0,17.375,-24.144
2023,2023isde1,Week 1,2630,12,0.0,14.094,-23.608
2023,2023isde1,Week 1,3065,12,0.0,13.149,-23.608
2023,2023isde1,Week 1,6741,12,0.0,15.588,-25.229
2023,2023isde1,Week 1,5990,12,0.0,9.566,-19.189
2023,2023isde1,Week 1,4338,12,0.0,16.051,-42.182
2023,2023isde1,Week 1,1577,12,0.0,16.803,-42.182
2023,2023isde1,Week 1,6740,12,0.0,17.609,-42.182
2023,2023isde1,Week 1,3083,12,0.0,13.436,-23.608
2023,2023bcvi,Week 1,7287,12,0.0,13.741,-19.016
2023,2023bcvi,Week 1,8338,12,0.0,10.783,-19.016
2023,2023bcvi,Week 1,1622,12,0.0,13.772,-19.016
2023,2023bcvi,Week 1,9079,12,0.0,11.22,-22.609
2023,2023bcvi,Week 1,4421,12,0.0,15.075,-18.666
2023,2023bcvi,Week 1,9277,12,0.0,10.898,-16.828
2023,2023bcvi,Week 1,4613,12,0.0,10.007,-21.21
2023,2023bcvi,Week 1,7332,12,0.0,10.535,-21.21
2023,2023bcvi,Week 1,216,12,0.0,13.689,-21.21
2023,2023bcvi,Week 1,8871,12,0.0,13.493,-18.905
2023,2023bcvi,Week 1,7781,12,0.0,15.423,-18.337
2023,2023bcvi,Week 1,8331,12,-0.0,14.149,-31.093
2023,2023bcvi,Week 1,6390,12,0.0,12.489,-26.025
2023,2023bcvi,Week 1,9292,12,-0.0,13.286,-22.609
2023,2023bcvi,Week 1,5118,12,0.0,11.921,-18.297
2023,2023bcvi,Week 1,3256,12,-0.0,8.697,-17.302
2023,2023bcvi,Week 1,4627,12,0.0,8.855,-18.666
2023,2023bcvi,Week 1,7135,12,0.0,8.654,-18.905
2023,2023bcvi,Week 1,4253,12,0.0,17.693,-47.532
2023,2023bcvi,Week 1,7167,12,-0.0,8.662,-16.828
2023,2023bcvi,Week 1,1868,12,0.0,6.377,-10.805
2023,2023bcvi,Week 1,5997,12,-0.0,20.871,-47.532
2023,2023bcvi,Week 1,6351,12,0.0,13.046,-26.481
2023,2023bcvi,Week 1,7173,12,0.0,12.317,-26.481
2023,2023bcvi,Week 1,359,12,0.0,15.039,-35.443
2023,2023bcvi,Week 1,7796,12,0.0,18.009,-35.443
2023,2023bcvi,Week 1,7787,12,0.0,14.853,-35.443
2023,2023bcvi,Week 1,7688,12,0.0,16.749,-34.869
2023,2023bcvi,Week 1,8339,12,0.0,13.017,-34.869
2023,2023bcvi,Week 1,5419,12,-0.0,17.606,-34.869
2023,2023bcvi,Week 1,244,12,-0.0,16.576,-31.093
2023,2023bcvi,Week 1,7190,12,0.0,15.482,-26.025
2023,2023bcvi,Week 1,6364,12,0.0,10.392,-16.461
2023,2023bcvi,Week 1,9180,12,0.0,19.159,-47.532
2023,2023bcvi,Week 1,288,12,0.0,13.208,-31.093
2023,2023isde2,Week 1,1954,12,0.0,15.313,-22.919
2023,2023isde2,Week 1,5635,12,-0.0,11.882,-32.569
2023,2023isde2,Week 1,4320,12,0.0,18.683,-42.216
2023,2023isde2,Week 1,8175,12,0.0,17.963,-33.155
2023,2023isde2,Week 1,2231,12,-0.0,18.62,-30.903
2023,2023isde2,Week 1,1657,12,0.0,17.821,-30.903
2023,2023isde2,Week 1,2212,12,0.0,57.639,-35.553
2023,2023isde2,Week 1,3075,12,0.0,15.133,-30.385
2023,2023isde2,Week 1,5987,12,0.0,17.108,-30.385
2023,2023isde2,Week 1,4590,12,-0.0,11.477,-21.633
2023,2023isde2,Week 1,5928,12,0.0,13.723,-24.077
2023,2023isde2,Week 1,5715,12,0.0,16.647,-29.786
2023,2023isde2,Week 1,5614,12,-0.0,16.411,-33.155
2023,2023isde2,Week 1,3835,12,0.0,20.196,-35.553
2023,2023isde2,Week 1,7039,12,0.0,10.478,-21.177
2023,2023isde2,Week 1,3316,12,0.0,14.017,-30.631
2023,2023isde2,Week 1,1942,12,0.0,21.092,-42.216
2023,2023isde2,Week 1,1937,12,-0.0,12.804,-28.271
2023,2023isde2,Week 1,6104,12,0.0,11.33,-16.279
2023,2023isde2,Week 1,9303,12,0.0,56.324,-30.631
2023,2023isde2,Week 1,4416,12,0.0,13.657,-28.271
2023,2023isde2,Week 1,5951,12,0.0,18.807,-35.553
2023,2023isde2,Week 1,4744,12,-0.0,57.003,-42.216
2023,2023isde2,Week 1,7112,12,0.0,12.482,-24.775
2023,2023isde2,Week 1,3339,12,-0.0,17.731,-26.81
2023,2023isde2,Week 1,2679,12,0.0,21.55,-32.569
2023,2023isde2,Week 1,1580,12,-0.0,16.638,-26.81
2023,2023isde2,Week 1,7845,12,-0.0,15.23,-28.369
2023,2023isde2,Week 1,4586,12,0.0,14.728,-29.786
2023,2023flwp,Week 1,4065,12,-0.0,16.042,-34.7
2023,2023flwp,Week 1,348,12,-0.0,14.909,-41.989
2023,2023flwp,Week 1,7833,12,0.0,12.201,-20.163
2023,2023flwp,Week 1,1744,12,0.0,11.548,-20.059
2023,2023flwp,Week 1,7500,12,-0.0,10.852,-21.351
2023,2023flwp,Week 1,8581,12,-0.0,8.449,-14.715
2023,2023flwp,Week 1,3627,12,-0.0,12.298,-19.556
2023,2023flwp,Week 1,744,12,-0.0,12.629,-14.879
2023,2023flwp,Week 1,4206,12,-0.0,10.913,-16.502
2023,2023flwp,Week 1,7652,12,-0.0,12.076,-19.369
2023,2023flwp,Week 1,1523,12,-0.0,21.774,-31.495
2023,2023flwp,Week 1,79,12,-0.0,15.683,-26.668
2023,2023flwp,Week 1,8104,12,-0.0,15.354,-34.7
2023,2023flwp,Week 1,2641,12,-0.0,13.818,-24.179
2023,2023flwp,Week 1,3653,12,0.0,13.285,-18.425
2023,2023flwp,Week 1,5472,12,0.0,17.078,-19.556
2023,2023flwp,Week 1,8791,12,-0.0,17.15,-17.036
2023,2023flwp,Week 1,180,12,0.0,17.092,-36.249
2023,2023flwp,Week 1,3932,12,-0.0,14.361,-24.179
2023,2023flwp,Week 1,3173,12,-0.0,29.13,-41.989
2023,2023flwp,Week 1,6686,12,-0.0,12.924,-21.351
2023,2023flwp,Week 1,4592,12,-0.0,10.318,-20.163
2023,2023flwp,Week 1,8817,12,-0.0,18.325,-36.249
2023,2023flwp,Week 1,9040,12,-0.0,11.386,-26.668
2023,2023flwp,Week 1,179,12,-0.0,17.211,-26.377
2023,2023flwp,Week 1,108,12,-0.0,10.934,-16.013
2023,2023flwp,Week 1,5410,12,-0.0,13.627,-20.163
2023,2023flwp,Week 1,59,12,0.0,14.966,-31.495
2023,2023flwp,Week 1,11,12,-0.0,15.716,-41.989
2023,2023flwp,Week 1,2152,12,-0.0,10.512,-16.644
2023,2023flwp,Week 1,7403,12,-0.0,21.649,-26.668
2023,2023flwp,Week 1,695,12,-0.0,18.573,-26.377
2023,2023flwp,Week 1,2383,12,-0.0,16.807,-36.249
2023,2023flwp,Week 1,5557,12,-0.0,17.18,-31.495
2023,2023arli,Week 1,16,12,-0.0,14.108,-24.135
2023,2023arli,Week 1,3284,12,0.0,19.474,-37.464
2023,2023arli,Week 1,3102,12,-0.0,12.524,-22.15
2023,2023arli,Week 1,5006,12,0.0,10.583,-19.931
2023,2023arli,Week 1,3931,12,0.0,17.818,-37.464
2023,2023arli,Week 1,6586,12,-0.0,15.589,-20.965
2023,2023arli,Week 1,7525,12,0.0,11.926,-19.182
2023,2023arli,Week 1,1939,12,0.0,17.337,-37.464
2023,2023arli,Week 1,9073,12,0.0,12.813,-25.917
2023,2023arli,Week 1,5454,12,-0.0,11.074,-25.339
2023,2023arli,Week 1,2393,12,0.0,11.57,-19.931
2023,2023arli,Week 1,7106,12,-0.0,16.892,-24.135
2023,2023arli,Week 1,1561,12,-0.0,10.27,-19.182
2023,2023arli,Week 1,3039,12,-0.0,17.781,-27.401
2023,2023arli,Week 1,3179,12,-0.0,14.006,-25.339
2023,2023arli,Week 1,3937,12,-0.0,14.922,-27.401
2023,2023arli,Week 1,1038,12,0.0,8.667,-21.768
2023,2023arli,Week 1,7430,12,-0.0,10.995,-21.768
2023,2023arli,Week 1,4336,12,-0.0,17.833,-22.514
2023,2023arli,Week 1,5437,12,-0.0,12.775,-19.112
2023,2023arli,Week 1,9067,12,-0.0,17.904,-22.15
2023,2023arli,Week 1,4522,12,-0.0,14.942,-25.917
