year,event,week,team,n_matches,resid_mean,resid_sd,resid_min
2025,2025isde1,Week 1,5635,12,-0.0,19.323,-25.851
2025,2025isde1,Week 1,1690,12,0.0,23.68,-42.57
2025,2025isde1,Week 1,3065,12,0.0,15.225,-29.973
2025,2025isde1,Week 1,4338,12,0.0,14.514,-16.495
2025,2025isde1,Week 1,6104,12,0.0,17.077,-12.359
2025,2025isde1,Week 1,1943,12,0.0,20.978,-42.57
2025,2025isde1,Week 1,4416,12,0.0,20.944,-29.124
2025,2025isde1,Week 1,7067,12,0.0,15.054,-16.495
2025,2025isde1,Week 1,2096,12,0.0,17.261,-25.851
2025,2025isde1,Week 1,6738,12,-0.0,13.461,-14.546
2025,2025isde1,Week 1,8223,12,-0.0,22.712,-32.316
2025,2025isde1,Week 1,5614,12,0.0,17.657,-20.421
2025,2025isde1,Week 1,3835,12,-0.0,15.411,-22.197
2025,2025isde1,Week 1,4319,12,0.0,15.642,-21.553
2025,2025isde1,Week 1,5951,12,0.0,16.122,-29.124
2025,2025isde1,Week 1,1942,12,-0.0,24.757,-29.973
2025,2025isde1,Week 1,3083,12,-0.0,18.618,-29.124
2025,2025isde1,Week 1,5654,12,0.0,17.348,-31.741
2025,2025isde1,Week 1,7177,12,0.0,16.237,-31.986
2025,2025isde1,Week 1,9738,12,-0.0,21.18,-31.986
2025,2025isde1,Week 1,6230,12,0.0,18.693,-31.986
2025,2025isde1,Week 1,9303,12,-0.0,19.917,-34.484
2025,2025isde1,Week 1,1577,12,0.0,20.716,-32.316
2025,2025isde1,Week 1,2630,12,0.0,24.773,-42.57
2025,2025isde1,Week 1,9304,12,-0.0,22.147,-22.386
2025,2025isde1,Week 1,8175,12,-0.0,13.916,-29.973
2025,2025isde1,Week 1,4661,12,0.0,17.368,-22.386
2025,2025isde1,Week 1,10695,12,0.0,15.457,-32.316
2025,2025isde1,Week 1,5928,12,-0.0,20.188,-34.484
2025,2025isde2,Week 1,4590,12,-0.0,17.349,-31.52
2025,2025isde2,Week 1,3211,12,-0.0,18.488,-21.463
