year,event,week,col_index,col_name,rank,team,value
2026,2026tuis,Week 1,2,Ranking Score,1,9483,4.58
2026,2026tuis,Week 1,3,Avg Match,1,9483,365.00
2026,2026tuis,Week 1,4,Avg Auto Fuel,1,9483,66.58
2026,2026tuis,Week 1,5,Avg Tower,1,9483,0.83
2026,2026tuis,Week 1,6,Record (W-L-T),1,9483,12-0-0
2026,2026tuis,Week 1,7,DQ,1,9483,0
2026,2026tuis,Week 1,8,Played,1,9483,12
2026,2026tuis,Week 1,9,Total Ranking Points*,1,9483,55
2026,2026tuis,Week 1,2,Ranking Score,2,6436,3.25
2026,2026tuis,Week 1,3,Avg Match,2,6436,193.42
2026,2026tuis,Week 1,4,Avg Auto Fuel,2,6436,33.08
2026,2026tuis,Week 1,5,Avg Tower,2,6436,0.83
2026,2026tuis,Week 1,6,Record (W-L-T),2,6436,9-3-0
2026,2026tuis,Week 1,7,DQ,2,6436,0
2026,2026tuis,Week 1,8,Played,2,6436,12
2026,2026tuis,Week 1,9,Total Ranking Points*,2,6436,39
2026,2026tuis,Week 1,2,Ranking Score,3,9029,2.83
2026,2026tuis,Week 1,3,Avg Match,3,9029,146.92
2026,2026tuis,Week 1,4,Avg Auto Fuel,3,9029,26.33
2026,2026tuis,Week 1,5,Avg Tower,3,9029,0.83
2026,2026tuis,Week 1,6,Record (W-L-T),3,9029,8-3-1
2026,2026tuis,Week 1,7,DQ,3,9029,0
2026,2026tuis,Week 1,8,Played,3,9029,12
2026,2026tuis,Week 1,9,Total Ranking Points*,3,9029,34
2026,2026tuis,Week 1,2,Ranking Score,4,4481,2.83
2026,2026tuis,Week 1,3,Avg Match,4,4481,132.75
2026,2026tuis,Week 1,4,Avg Auto Fuel,4,4481,28.33
2026,2026tuis,Week 1,5,Avg Tower,4,4481,0.83
2026,2026tuis,Week 1,6,Record (W-L-T),4,4481,9-3-0
2026,2026tuis,Week 1,7,DQ,4,4481,0
2026,2026tuis,Week 1,8,Played,4,4481,12
2026,2026tuis,Week 1,9,Total Ranking Points*,4,4481,34
2026,2026tuis,Week 1,2,Ranking Score,5,11244,2.75
2026,2026tuis,Week 1,3,Avg Match,5,11244,101.00
2026,2026tuis,Week 1,4,Avg Auto Fuel,5,11244,22.67
2026,2026tuis,Week 1,5,Avg Tower,5,11244,0.83
2026,2026tuis,Week 1,6,Record (W-L-T),5,11244,10-2-0
2026,2026tuis,Week 1,7,DQ,5,11244,0
2026,2026tuis,Week 1,8,Played,5,11244,12
2026,2026tuis,Week 1,9,Total Ranking Points*,5,11244,33
2026,2026tuis,Week 1,2,Ranking Score,6,3646,2.33
2026,2026tuis,Week 1,3,Avg Match,6,3646,121.33
2026,2026tuis,Week 1,4,Avg Auto Fuel,6,3646,23.83
2026,2026tuis,Week 1,5,Avg Tower,6,3646,0.00
2026,2026tuis,Week 1,6,Record (W-L-T),6,3646,7-5-0
2026,2026tuis,Week 1,7,DQ,6,3646,0
2026,2026tuis,Week 1,8,Played,6,3646,12
2026,2026tuis,Week 1,9,Total Ranking Points*,6,3646,28
2026,2026tuis,Week 1,2,Ranking Score,7,11281,2.33
2026,2026tuis,Week 1,3,Avg Match,7,11281,95.92
2026,2026tuis,Week 1,4,Avg Auto Fuel,7,11281,21.50
2026,2026tuis,Week 1,5,Avg Tower,7,11281,0.83
2026,2026tuis,Week 1,6,Record (W-L-T),7,11281,8-4-0
2026,2026tuis,Week 1,7,DQ,7,11281,0
2026,2026tuis,Week 1,8,Played,7,11281,12
2026,2026tuis,Week 1,9,Total Ranking Points*,7,11281,28
2026,2026tuis,Week 1,2,Ranking Score,8,5883,2.25
