year,event,week,team,n_matches,resid_mean,resid_sd,resid_min
2026,2026mndu2,Week 1,2472,11,0.0,44.025,-94.022
2026,2026mndu2,Week 1,6047,11,0.0,27.889,-26.489
2026,2026mndu2,Week 1,4687,11,0.0,28.942,-67.271
2026,2026mndu2,Week 1,2500,11,0.0,35.133,-36.377
2026,2026mndu2,Week 1,10474,11,0.0,45.388,-123.21
2026,2026mndu2,Week 1,3054,11,0.0,17.389,-31.484
2026,2026mndu2,Week 1,3102,11,0.0,22.913,-32.201
2026,2026mndu2,Week 1,2855,11,0.0,33.22,-39.391
2026,2026mndu2,Week 1,5913,11,-0.0,50.72,-57.285
2026,2026mndu2,Week 1,9532,11,0.0,32.201,-42.68
2026,2026mndu2,Week 1,7041,11,-0.0,30.199,-45.678
2026,2026mndu2,Week 1,3610,11,0.0,24.715,-34.008
2026,2026mndu2,Week 1,4181,11,0.0,25.906,-31.409
2026,2026mndu2,Week 1,3212,11,0.0,29.488,-48.42
2026,2026mndu2,Week 1,5275,11,0.0,35.662,-80.599
2026,2026mndu2,Week 1,6132,11,0.0,28.045,-66.357
2026,2026mndu2,Week 1,5720,11,0.0,27.14,-54.594
2026,2026mndu2,Week 1,2169,11,0.0,24.671,-39.391
2026,2026mndu2,Week 1,3008,11,0.0,27.98,-36.377
2026,2026mndu2,Week 1,10711,11,0.0,33.483,-41.204
2026,2026mndu2,Week 1,3298,11,0.0,18.922,-56.574
2026,2026mndu2,Week 1,2491,11,0.0,43.24,-80.599
2026,2026mndu2,Week 1,5232,11,0.0,19.36,-30.342
2026,2026mndu2,Week 1,4230,11,-0.0,21.455,-41.204
2026,2026mndu2,Week 1,2177,11,0.0,20.968,-30.342
2026,2026mndu2,Week 1,6758,11,0.0,33.969,-48.42
2026,2026mndu2,Week 1,2129,11,0.0,19.248,-25.439
2026,2026mndu2,Week 1,4623,11,-0.0,36.851,-57.285
2026,2026mndu2,Week 1,5278,11,-0.0,29.307,-72.181
2026,2026mndu2,Week 1,11292,11,0.0,43.993,-72.181
2026,2026mndu2,Week 1,2052,11,0.0,59.46,-123.21
2026,2026mnwi,Week 1,2530,11,0.0,33.867,-73.849
2026,2026mnwi,Week 1,112,11,0.0,32.894,-73.849
2026,2026mnwi,Week 1,6419,11,-0.0,35.81,-73.849
2026,2026mnwi,Week 1,967,11,0.0,33.453,-49.9
2026,2026mnwi,Week 1,2531,11,-0.0,33.695,-79.743
2026,2026mnwi,Week 1,3206,11,0.0,29.693,-55.848
2026,2026mnwi,Week 1,2987,11,0.0,27.972,-55.138
2026,2026mnwi,Week 1,4663,12,0.0,28.28,-55.848
2026,2026mnwi,Week 1,9082,11,0.0,30.255,-44.235
2026,2026mnwi,Week 1,6420,11,-0.0,31.655,-42.398
2026,2026mnwi,Week 1,695,11,-0.0,38.803,-87.401
2026,2026mnwi,Week 1,5576,11,-0.0,44.392,-102.031
2026,2026mnwi,Week 1,7531,12,-0.0,32.873,-79.127
2026,2026mnwi,Week 1,2549,11,0.0,23.052,-29.664
2026,2026mnwi,Week 1,4065,11,0.0,30.237,-35.646
2026,2026mnwi,Week 1,2290,11,-0.0,39.97,-87.401
2026,2026mnwi,Week 1,3055,11,-0.0,19.611,-34.924
2026,2026mnwi,Week 1,11246,11,-0.0,25.724,-49.9
