year,event,week,n_teams,n_alliances,winning_alliance,rank_cols
2023,2023mike2,Week 2,39,8,4,Rank|Team|Ranking Score|Avg Match|Avg Charge Station|Avg Auto|Record (W-L-T)|DQ|Played|Total Ranking Points*
2023,2023milan,Week 2,36,8,5,Rank|Team|Ranking Score|Avg Match|Avg Charge Station|Avg Auto|Record (W-L-T)|DQ|Played|Total Ranking Points*
2023,2023misjo,Week 2,39,8,3,Rank|Team|Ranking Score|Avg Match|Avg Charge Station|Avg Auto|Record (W-L-T)|DQ|Played|Total Ranking Points*
2023,2023txbel,Week 2,38,8,1,Rank|Team|Ranking Score|Avg Match|Avg Charge Station|Avg Auto|Record (W-L-T)|DQ|Played|Total Ranking Points*
2023,2023orwil,Week 2,28,8,5,Rank|Team|Ranking Score|Avg Match|Avg Charge Station|Avg Auto|Record (W-L-T)|DQ|Played|Total Ranking Points*
2023,2023cafr,Week 2,38,8,1,Rank|Team|Ranking Score|Avg Match|Avg Charge Station|Avg Auto|Record (W-L-T)|DQ|Played|Total Ranking Points*
2023,2023caoc,Week 2,47,8,3,Rank|Team|Ranking Score|Avg Match|Avg Charge Station|Avg Auto|Record (W-L-T)|DQ|Played|Total Ranking Points*
2023,2023cave,Week 2,46,8,1,Rank|Team|Ranking Score|Avg Match|Avg Charge Station|Avg Auto|Record (W-L-T)|DQ|Played|Total Ranking Points*
2023,2023ausc,Week 2,37,8,1,Rank|Team|Ranking Score|Avg Match|Avg Charge Station|Avg Auto|Record (W-L-T)|DQ|Played|Total Ranking Points*
2023,2023ctwat,Week 2,38,8,2,Rank|Team|Ranking Score|Avg Match|Avg Charge Station|Avg Auto|Record (W-L-T)|DQ|Played|Total Ranking Points*
2023,2023mdbet,Week 2,36,8,1,Rank|Team|Ranking Score|Avg Match|Avg Charge Station|Avg Auto|Record (W-L-T)|DQ|Played|Total Ranking Points*
2023,2023midtr,Week 2,39,8,1,Rank|Team|Ranking Score|Avg Match|Avg Charge Station|Avg Auto|Record (W-L-T)|DQ|Played|Total Ranking Points*
2023,2023ncjoh,Week 2,30,8,5,Rank|Team|Ranking Score|Avg Match|Avg Charge Station|Avg Auto|Record (W-L-T)|DQ|Played|Total Ranking Points*
2023,2023njfla,Week 2,37,8,2,Rank|Team|Ranking Score|Avg Match|Avg Charge Station|Avg Auto|Record (W-L-T)|DQ|Played|Total Ranking Points*
2023,2023rinsc,Week 2,30,8,1,Rank|Team|Ranking Score|Avg Match|Avg Charge Station|Avg Auto|Record (W-L-T)|DQ|Played|Total Ranking Points*
2023,2023scand,Week 2,27,8,1,Rank|Team|Ranking Score|Avg Match|Avg Charge Station|Avg Auto|Record (W-L-T)|DQ|Played|Total Ranking Points*
2023,2023inpri,Week 2,28,8,2,Rank|Team|Ranking Score|Avg Match|Avg Charge Station|Avg Auto|Record (W-L-T)|DQ|Played|Total Ranking Points*
