year,event,week,team,opr,auto,teleop,endgame,foul,rp,total
2024,2024isde1,Week 1,1690,44.767,19.316,24.294,5.083,1.157,2.195,44.767
2024,2024isde1,Week 1,3339,33.322,13.908,18.864,2.979,0.55,1.614,33.322
2024,2024isde1,Week 1,1574,31.218,6.182,15.556,3.356,9.48,1.708,31.218
2024,2024isde1,Week 1,5951,30.966,10.189,15.287,1.119,5.49,1.241,30.966
2024,2024isde1,Week 1,1577,24.792,7.097,13.51,3.366,4.185,0.689,24.792
2024,2024isde1,Week 1,1942,24.519,5.077,18.957,1.657,0.485,1.355,24.519
2024,2024isde1,Week 1,6738,22.873,12.206,9.94,-0.162,0.727,0.761,22.873
2024,2024isde1,Week 1,2630,22.689,10.485,7.949,-0.778,4.255,0.33,22.689
2024,2024isde1,Week 1,6740,21.698,3.806,14.266,-1.609,3.626,0.523,21.698
2024,2024isde1,Week 1,5654,21.282,8.139,11.087,3.223,2.056,0.856,21.282
2024,2024isde1,Week 1,5715,20.739,7.103,13.929,1.071,-0.294,0.813,20.739
2024,2024isde1,Week 1,5990,19.365,5.182,11.356,2.173,2.828,0.67,19.365
2024,2024isde1,Week 1,4320,15.191,4.948,6.806,1.918,3.437,0.515,15.191
2024,2024isde1,Week 1,9738,14.785,4.483,5.941,1.577,4.362,0.158,14.785
2024,2024isde1,Week 1,3065,14.38,2.844,11.101,-1.129,0.435,0.219,14.38
2024,2024isde1,Week 1,3316,13.694,2.443,8.527,1.885,2.723,0.191,13.694
2024,2024isde1,Week 1,3211,12.025,5.113,6.781,1.354,0.13,0.678,12.025
2024,2024isde1,Week 1,7067,11.368,-0.373,9.669,5.054,2.072,0.118,11.368
2024,2024isde1,Week 1,3083,9.923,2.142,6.431,1.365,1.351,0.335,9.923
2024,2024isde1,Week 1,8175,9.467,2.915,6.645,1.326,-0.092,0.268,9.467
2024,2024isde1,Week 1,9740,9.241,2.336,8.799,1.208,-1.894,-0.422,9.241
2024,2024isde1,Week 1,6230,7.369,1.094,0.993,0.71,5.282,0.214,7.369
2024,2024isde1,Week 1,1580,7.03,2.496,5.493,0.813,-0.958,0.129,7.03
2024,2024isde1,Week 1,4338,5.254,2.443,1.426,-0.846,1.385,0.279,5.254
2024,2024isde1,Week 1,1576,4.649,1.557,3.35,0.45,-0.258,0.397,4.649
2024,2024isde1,Week 1,2230,4.32,2.127,3.042,1.703,-0.85,0.269,4.32
2024,2024isde1,Week 1,4319,3.958,3.3,0.445,-0.019,0.213,-0.288,3.958
2024,2024isde1,Week 1,5135,3.608,-0.71,3.15,0.218,1.168,-0.391,3.608
2024,2024isde1,Week 1,2679,3.426,0.31,0.172,1.094,2.944,-0.293,3.426
2024,2024isde1,Week 1,9303,3.314,0.024,1.878,0.698,1.412,-0.155,3.314
2024,2024isde1,Week 1,7177,2.602,2.818,1.189,1.559,-1.405,-0.061,2.602
2024,2024isde2,Week 1,2231,36.427,13.499,18.444,3.702,4.484,1.54,36.427
2024,2024isde2,Week 1,5951,32.261,10.969,16.794,0.524,4.498,1.384,32.261
2024,2024isde2,Week 1,1657,31.01,6.57,22.079,1.469,2.361,1.114,31.01
2024,2024isde2,Week 1,3075,27.229,6.942,15.634,3.607,4.653,1.203,27.229
2024,2024isde2,Week 1,5554,25.981,10.246,10.781,1.309,4.954,0.703,25.981
2024,2024isde2,Week 1,5614,25.348,10.871,11.395,0.931,3.083,1.083,25.348
2024,2024isde2,Week 1,7039,24.64,7.087,14.136,1.48,3.418,0.957,24.64
2024,2024isde2,Week 1,1937,23.093,8.261,12.925,0.134,1.908,0.915,23.093
2024,2024isde2,Week 1,6168,20.922,8.109,13.323,2.333,-0.511,0.911,20.922
2024,2024isde2,Week 1,7845,19.369,9.97,7.116,1.625,2.283,0.716,19.369
2024,2024isde2,Week 1,2096,18.436,9.336,9.798,1.279,-0.697,0.415,18.436
2024,2024isde2,Week 1,5987,16.198,3.318,5.484,0.691,7.397,0.532,16.198
2024,2024isde2,Week 1,3835,15.247,1.887,9.616,2.491,3.744,0.511,15.247
2024,2024isde2,Week 1,4590,14.328,4.771,8.125,0.474,1.432,0.053,14.328
2024,2024isde2,Week 1,9304,12.929,7.382,4.302,0.571,1.245,-0.247,12.929
2024,2024isde2,Week 1,4586,11.553,3.175,3.656,0.903,4.722,0.656,11.553
2024,2024isde2,Week 1,9739,10.649,6.68,3.563,1.412,0.406,0.341,10.649
2024,2024isde2,Week 1,7112,10.009,1.967,8.431,-0.078,-0.39,0.307,10.009
2024,2024isde2,Week 1,3388,9.953,6.736,2.743,1.138,0.474,0.226,9.953
2024,2024isde2,Week 1,1943,9.866,5.602,0.082,0.282,4.182,-0.021,9.866
2024,2024isde2,Week 1,1954,8.722,0.513,3.055,-0.457,5.155,-0.147,8.722
2024,2024isde2,Week 1,6104,8.661,0.559,7.437,1.311,0.665,0.422,8.661
2024,2024isde2,Week 1,2212,6.882,1.763,5.469,0.572,-0.35,0.346,6.882
2024,2024isde2,Week 1,5635,5.501,0.347,6.047,0.059,-0.894,0.231,5.501
2024,2024isde2,Week 1,4416,5.131,2.245,1.646,0.433,1.24,0.218,5.131
2024,2024isde2,Week 1,5928,4.984,3.521,-0.266,0.216,1.729,0.017,4.984
2024,2024isde2,Week 1,4661,4.542,1.186,2.125,0.429,1.231,-0.555,4.542
2024,2024isde2,Week 1,6741,4.047,3.143,1.946,0.726,-1.042,-0.103,4.047
2024,2024isde2,Week 1,4744,3.533,-0.468,-0.653,2.153,4.654,0.135,3.533
2024,2024isde2,Week 1,8223,2.55,0.398,3.767,0.363,-1.616,0.221,2.55
2024,2024brbr,Week 1,1156,35.579,15.941,14.413,2.054,5.225,2.304,35.579
2024,2024brbr,Week 1,9485,22.758,8.504,12.906,0.845,1.348,0.602,22.758
2024,2024brbr,Week 1,9458,21.97,8.377,11.073,1.42,2.52,1.248,21.97
2024,2024brbr,Week 1,9603,21.963,6.714,15.7,0.138,-0.451,0.503,21.963
2024,2024brbr,Week 1,9199,21.714,4.688,13.833,1.155,3.194,1.285,21.714
2024,2024brbr,Week 1,1772,20.706,10.013,9.565,0.893,1.127,0.718,20.706
2024,2024brbr,Week 1,9602,20.136,5.195,11.881,0.11,3.06,1.287,20.136
2024,2024brbr,Week 1,9461,20.12,5.391,15.026,3.106,-0.297,0.644,20.12
2024,2024brbr,Week 1,7563,19.762,5.67,9.132,3.924,4.96,0.683,19.762
2024,2024brbr,Week 1,9604,19.729,9.126,11.726,0.634,-1.123,0.988,19.729
2024,2024brbr,Week 1,9085,19.304,6.41,9.729,1.834,3.164,1.34,19.304
2024,2024brbr,Week 1,9050,19.25,8.618,8.283,-0.283,2.349,0.744,19.25
2024,2024brbr,Week 1,7565,19.077,5.211,14.529,0.193,-0.662,0.189,19.077
2024,2024brbr,Week 1,9175,18.783,1.419,18.897,2.476,-1.533,0.946,18.783
2024,2024brbr,Week 1,9169,18.574,4.045,12.384,0.071,2.146,0.111,18.574
2024,2024brbr,Week 1,9460,18.375,6.333,9.934,0.284,2.107,0.632,18.375
2024,2024brbr,Week 1,9200,18.062,3.23,15.322,1.625,-0.489,0.994,18.062
2024,2024brbr,Week 1,9459,17.229,6.499,8.978,2.021,1.752,0.339,17.229
2024,2024brbr,Week 1,9484,15.32,7.746,4.162,3.349,3.412,0.418,15.32
2024,2024brbr,Week 1,5800,14.975,8.057,7.518,1.5,-0.601,0.353,14.975
2024,2024brbr,Week 1,9168,14.688,3.928,9.219,1.039,1.541,0.342,14.688
2024,2024brbr,Week 1,1860,14.684,6.389,4.214,1.033,4.082,0.678,14.684
2024,2024brbr,Week 1,8882,14.264,7.306,7.146,-0.47,-0.187,0.578,14.264
2024,2024brbr,Week 1,9066,13.745,2.709,8.576,1.944,2.461,0.871,13.745
2024,2024brbr,Week 1,9049,13.044,3.8,6.928,0.975,2.316,-0.067,13.044
2024,2024brbr,Week 1,9611,12.685,6.278,6.38,1.014,0.027,0.871,12.685
