year,event,week,team,n_matches,resid_mean,resid_sd,resid_min
2024,2024isde1,Week 1,4338,12,0.0,11.437,-22.446
2024,2024isde1,Week 1,4320,12,-0.0,9.639,-15.853
2024,2024isde1,Week 1,5990,12,-0.0,13.169,-13.81
2024,2024isde1,Week 1,4319,12,0.0,7.131,-9.838
2024,2024isde1,Week 1,1690,12,-0.0,11.52,-22.446
2024,2024isde1,Week 1,9303,12,-0.0,11.125,-23.474
2024,2024isde1,Week 1,6230,12,0.0,14.45,-23.474
2024,2024isde1,Week 1,6740,12,-0.0,9.444,-13.043
2024,2024isde1,Week 1,7177,12,0.0,6.175,-8.305
2024,2024isde1,Week 1,3211,12,-0.0,13.156,-20.634
2024,2024isde1,Week 1,1576,12,-0.0,7.705,-10.937
2024,2024isde1,Week 1,1577,12,-0.0,13.2,-23.474
2024,2024isde1,Week 1,5135,12,-0.0,13.246,-29.067
2024,2024isde1,Week 1,1574,12,-0.0,18.69,-29.067
2024,2024isde1,Week 1,9740,12,-0.0,13.626,-29.067
2024,2024isde1,Week 1,1580,12,-0.0,8.342,-10.335
2024,2024isde1,Week 1,1942,12,-0.0,6.212,-10.335
2024,2024isde1,Week 1,9738,12,-0.0,9.427,-16.185
2024,2024isde1,Week 1,3065,12,-0.0,11.461,-15.853
2024,2024isde1,Week 1,8175,12,0.0,8.425,-15.041
2024,2024isde1,Week 1,6738,12,-0.0,11.322,-24.373
2024,2024isde1,Week 1,3316,12,-0.0,12.251,-17.703
2024,2024isde1,Week 1,2230,12,-0.0,10.18,-17.703
2024,2024isde1,Week 1,2630,12,0.0,10.309,-17.703
2024,2024isde1,Week 1,2679,12,-0.0,13.375,-22.446
2024,2024isde1,Week 1,3339,12,-0.0,9.699,-15.827
2024,2024isde1,Week 1,7067,12,-0.0,9.095,-18.98
2024,2024isde1,Week 1,3083,12,-0.0,9.138,-16.171
2024,2024isde1,Week 1,5654,12,-0.0,12.903,-24.373
2024,2024isde1,Week 1,5951,12,-0.0,10.92,-16.171
2024,2024isde1,Week 1,5715,12,-0.0,14.07,-18.98
