year,event,week,team,opr,auto,teleop,endgame,foul,rp,total
2026,2026tuis,Week 1,9483,318.239,,,,0.909,3.603,318.239
2026,2026tuis,Week 1,6436,119.435,,,,-0.987,1.825,119.435
2026,2026tuis,Week 1,4481,82.341,,,,0.137,1.811,82.341
2026,2026tuis,Week 1,9029,67.776,,,,-1.631,1.678,67.776
2026,2026tuis,Week 1,9077,51.585,,,,6.285,0.914,51.585
2026,2026tuis,Week 1,3646,47.638,,,,0.904,1.116,47.638
2026,2026tuis,Week 1,6431,39.054,,,,-1.045,0.498,39.054
2026,2026tuis,Week 1,10308,37.643,,,,1.586,0.627,37.643
2026,2026tuis,Week 1,10428,32.006,,,,2.24,0.638,32.006
2026,2026tuis,Week 1,11281,31.514,,,,6.841,1.184,31.514
2026,2026tuis,Week 1,11244,29.904,,,,4.594,1.554,29.904
2026,2026tuis,Week 1,7611,27.966,,,,2.017,1.045,27.966
2026,2026tuis,Week 1,9233,27.754,,,,-1.827,0.222,27.754
2026,2026tuis,Week 1,11416,27.388,,,,2.62,0.769,27.388
2026,2026tuis,Week 1,11036,23.92,,,,0.631,0.772,23.92
2026,2026tuis,Week 1,5883,23.318,,,,3.232,1.276,23.318
2026,2026tuis,Week 1,9595,22.863,,,,-0.6,-0.047,22.863
2026,2026tuis,Week 1,8153,18.688,,,,-0.663,-0.002,18.688
2026,2026tuis,Week 1,8242,17.972,,,,1.188,-0.059,17.972
2026,2026tuis,Week 1,9132,15.947,,,,2.049,0.033,15.947
2026,2026tuis,Week 1,10050,15.005,,,,0.456,0.751,15.005
2026,2026tuis,Week 1,10043,14.501,,,,-1.407,0.729,14.501
2026,2026tuis,Week 1,10146,13.345,,,,4.607,0.285,13.345
2026,2026tuis,Week 1,8557,11.886,,,,2.766,-0.252,11.886
2026,2026tuis,Week 1,9601,8.405,,,,2.844,-0.126,8.405
2026,2026tuis,Week 1,10141,7.875,,,,4.582,-0.395,7.875
2026,2026tuis,Week 1,6064,7.434,,,,0.15,0.07,7.434
2026,2026tuis,Week 1,10064,6.206,,,,-1.457,0.154,6.206
2026,2026tuis,Week 1,9583,5.148,,,,4.632,-0.477,5.148
2026,2026tuis,Week 1,11000,4.279,,,,0.323,0.324,4.279
2026,2026tuis,Week 1,4191,2.306,,,,0.782,0.089,2.306
2026,2026tuis,Week 1,7296,-3.755,,,,0.325,-0.61,-3.755
2026,2026mndu,Week 1,3100,146.606,,,,2.301,2.347,146.606
2026,2026mndu,Week 1,5348,85.258,,,,1.51,1.833,85.258
