year,event,week,col_index,col_name,rank,team,value
2023,2023isde1,Week 1,2,Ranking Score,12,6168,1.50
2023,2023isde1,Week 1,3,Avg Match,12,6168,75.66
2023,2023isde1,Week 1,4,Avg Charge Station,12,6168,22.83
2023,2023isde1,Week 1,5,Avg Auto,12,6168,20.50
2023,2023isde1,Week 1,6,Record (W-L-T),12,6168,6-6-0
2023,2023isde1,Week 1,7,DQ,12,6168,0
2023,2023isde1,Week 1,8,Played,12,6168,12
2023,2023isde1,Week 1,9,Total Ranking Points*,12,6168,18
2023,2023isde1,Week 1,2,Ranking Score,13,4319,1.50
2023,2023isde1,Week 1,3,Avg Match,13,4319,69.83
2023,2023isde1,Week 1,4,Avg Charge Station,13,4319,26.00
2023,2023isde1,Week 1,5,Avg Auto,13,4319,20.25
2023,2023isde1,Week 1,6,Record (W-L-T),13,4319,5-7-0
2023,2023isde1,Week 1,7,DQ,13,4319,0
2023,2023isde1,Week 1,8,Played,13,4319,12
2023,2023isde1,Week 1,9,Total Ranking Points*,13,4319,18
2023,2023isde1,Week 1,2,Ranking Score,14,6740,1.50
2023,2023isde1,Week 1,3,Avg Match,14,6740,62.75
2023,2023isde1,Week 1,4,Avg Charge Station,14,6740,20.50
2023,2023isde1,Week 1,5,Avg Auto,14,6740,17.83
2023,2023isde1,Week 1,6,Record (W-L-T),14,6740,6-6-0
2023,2023isde1,Week 1,7,DQ,14,6740,0
2023,2023isde1,Week 1,8,Played,14,6740,12
2023,2023isde1,Week 1,9,Total Ranking Points*,14,6740,18
2023,2023isde1,Week 1,2,Ranking Score,15,4338,1.50
2023,2023isde1,Week 1,3,Avg Match,15,4338,59.08
2023,2023isde1,Week 1,4,Avg Charge Station,15,4338,23.83
2023,2023isde1,Week 1,5,Avg Auto,15,4338,16.00
2023,2023isde1,Week 1,6,Record (W-L-T),15,4338,6-6-0
2023,2023isde1,Week 1,7,DQ,15,4338,0
2023,2023isde1,Week 1,8,Played,15,4338,12
2023,2023isde1,Week 1,9,Total Ranking Points*,15,4338,18
2023,2023isde1,Week 1,2,Ranking Score,16,1576,1.33
