year,event,week,red1,red2,red3,blue1,blue2,blue3,red_score,blue_score
2024,2024isde1,Week 1,4338,4320,5990,4319,1690,9303,26,59
2024,2024isde1,Week 1,6230,6740,7177,3211,1576,1577,24,37
2024,2024isde1,Week 1,5135,1574,9740,1580,1942,9738,15,36
2024,2024isde1,Week 1,3065,8175,6738,3316,2230,2630,58,23
2024,2024isde1,Week 1,2679,3339,7067,3083,5654,5951,40,46
2024,2024isde1,Week 1,5715,4338,7177,6230,5990,5135,33,31
2024,2024isde1,Week 1,8175,4319,2230,1942,9740,3083,13,44
2024,2024isde1,Week 1,2630,7067,1576,4320,3065,2679,36,38
2024,2024isde1,Week 1,6738,3316,9738,1580,5715,1577,43,71
2024,2024isde1,Week 1,3211,9303,1574,3339,6740,5951,35,86
2024,2024isde1,Week 1,9740,5654,4319,1690,6230,3083,43,49
2024,2024isde1,Week 1,1576,2230,3339,9303,5135,6740,41,28
2024,2024isde1,Week 1,2679,3211,3316,9738,2630,5990,13,64
2024,2024isde1,Week 1,7177,5951,1690,7067,5715,6738,81,36
2024,2024isde1,Week 1,4320,5654,3065,1574,1577,8175,35,52
2024,2024isde1,Week 1,1942,7067,6230,3316,1580,4338,37,26
2024,2024isde1,Week 1,2679,5951,9740,5990,6738,1690,53,94
2024,2024isde1,Week 1,4320,3339,1942,3083,8175,9738,68,44
2024,2024isde1,Week 1,4319,1577,6740,9303,1576,2630,44,45
2024,2024isde1,Week 1,2230,5135,5654,7177,1580,1574,29,35
2024,2024isde1,Week 1,5715,5951,3211,3065,4338,1577,55,37
2024,2024isde1,Week 1,3316,1690,5135,1580,4320,7067,76,30
2024,2024isde1,Week 1,8175,5990,6740,5654,6738,1574,43,51
2024,2024isde1,Week 1,1576,9738,5715,6230,9740,3211,53,8
2024,2024isde1,Week 1,4338,3083,9303,2230,2679,1942,19,36
2024,2024isde1,Week 1,3339,7177,3065,2630,4319,4320,42,32
2024,2024isde1,Week 1,5135,1942,6738,1577,9303,6230,60,12
2024,2024isde1,Week 1,2230,3065,9738,1576,4338,5654,29,40
2024,2024isde1,Week 1,3083,5715,3316,3211,1574,4319,40,58
2024,2024isde1,Week 1,6740,1690,1580,3339,7067,9740,68,53
2024,2024isde1,Week 1,5990,5951,7177,2630,2679,8175,45,35
2024,2024isde1,Week 1,1690,3339,5715,5654,3316,1577,83,77
2024,2024isde1,Week 1,2679,7177,3083,1574,1576,3065,18,44
2024,2024isde1,Week 1,6738,1580,9303,9740,9738,4338,44,22
2024,2024isde1,Week 1,6230,2630,5135,5951,4320,1942,40,75
2024,2024isde1,Week 1,5990,4319,7067,6740,3211,2230,32,25
2024,2024isde1,Week 1,8175,9303,5951,1576,6230,3316,46,23
2024,2024isde1,Week 1,9740,3083,1580,4338,6740,2230,30,31
2024,2024isde1,Week 1,7067,1577,6738,5654,3211,3339,64,78
2024,2024isde1,Week 1,2630,3065,5715,9738,1690,8175,42,73
2024,2024isde1,Week 1,4319,7177,1942,1574,5990,2679,27,88
2024,2024isde1,Week 1,4320,5715,9740,6740,5135,1576,64,33
2024,2024isde1,Week 1,1577,1942,2630,2230,1580,5990,83,25
2024,2024isde1,Week 1,6738,3211,6230,5135,8175,5951,51,29
2024,2024isde1,Week 1,3316,4319,3339,7177,7067,5654,47,42
2024,2024isde1,Week 1,9738,4320,1574,1690,4338,2679,63,31
2024,2024isde1,Week 1,3065,3083,5654,5715,9303,5990,60,30
2024,2024isde1,Week 1,4338,8175,3339,1577,9738,5135,49,27
2024,2024isde1,Week 1,4319,2630,3211,7067,2230,1690,50,75
2024,2024isde1,Week 1,1574,3316,6740,1942,3065,9303,91,38
2024,2024isde1,Week 1,1580,2679,1576,3083,6738,4320,11,52
2024,2024isde1,Week 1,5951,6230,4338,7177,9740,2630,61,38
2024,2024isde1,Week 1,3065,5990,3211,5135,3339,1580,59,53
2024,2024isde1,Week 1,7067,3316,8175,5951,1576,4319,37,33
2024,2024isde1,Week 1,1942,1574,1690,9303,7177,4320,98,25
2024,2024isde1,Week 1,9738,5654,2679,5715,6230,2230,36,51
2024,2024isde1,Week 1,1577,6740,3083,9740,6738,3316,66,41
2024,2024isde1,Week 1,9303,9738,7067,8175,2230,7177,44,27
2024,2024isde1,Week 1,3211,5135,4338,6738,2679,4319,40,31
2024,2024isde1,Week 1,5990,3083,1576,3339,1574,6230,23,94
2024,2024isde1,Week 1,5654,2630,1580,6740,1942,5715,44,71
2024,2024isde1,Week 1,1690,1577,4320,5951,9740,3065,95,73
2024,2024isde2,Week 1,4744,1937,5554,5635,4416,6104,62,14
2024,2024isde2,Week 1,3075,3835,5614,3388,1943,5987,59,35
2024,2024isde2,Week 1,4586,1954,5951,9739,7039,1657,56,62
2024,2024isde2,Week 1,5928,2096,4590,7845,2231,4661,51,44
2024,2024isde2,Week 1,8223,6741,6168,7112,2212,9304,31,24
2024,2024isde2,Week 1,1937,7039,1943,5554,2231,2096,45,61
2024,2024isde2,Week 1,5987,6104,5951,3075,7112,5928,58,25
2024,2024isde2,Week 1,7845,1954,6741,3388,9304,4416,11,33
2024,2024isde2,Week 1,5635,4586,9739,8223,5614,4661,28,43
2024,2024isde2,Week 1,1657,6168,2212,4590,3835,4744,63,21
2024,2024isde2,Week 1,6104,1954,3075,4661,5635,6741,79,3
2024,2024isde2,Week 1,5928,3835,3388,7112,7845,1657,37,57
2024,2024isde2,Week 1,2096,4744,5987,2231,4586,1937,31,72
2024,2024isde2,Week 1,4590,9304,6168,5554,5614,7039,58,60
2024,2024isde2,Week 1,8223,1943,4416,2212,5951,9739,9,49
2024,2024isde2,Week 1,2231,4744,7112,9304,7039,5635,56,39
2024,2024isde2,Week 1,6104,5928,1657,5614,6168,1954,36,45
2024,2024isde2,Week 1,4661,1937,7845,3835,5554,1943,58,77
2024,2024isde2,Week 1,9739,4590,4416,6741,5987,4586,34,27
2024,2024isde2,Week 1,3388,2096,2212,3075,8223,5951,42,69
2024,2024isde2,Week 1,1943,1954,4661,1937,9304,6741,45,67
2024,2024isde2,Week 1,2096,4744,5635,3388,4586,3075,30,31
2024,2024isde2,Week 1,4416,5614,7845,6104,2212,2231,43,60
2024,2024isde2,Week 1,5951,7112,5554,5928,9739,6168,77,39
2024,2024isde2,Week 1,3835,1657,8223,5987,4590,7039,46,53
2024,2024isde2,Week 1,4661,9304,5928,4586,4416,6168,15,30
2024,2024isde2,Week 1,1943,6104,9739,2231,8223,2096,11,71
2024,2024isde2,Week 1,6741,1657,3075,7039,7845,4744,56,72
2024,2024isde2,Week 1,5987,7112,3835,1954,5554,3388,54,30
2024,2024isde2,Week 1,4590,5951,1937,5614,5635,2212,38,38
2024,2024isde2,Week 1,9304,8223,4744,6168,3388,6104,12,45
2024,2024isde2,Week 1,4590,3075,7845,2096,4416,1954,63,32
2024,2024isde2,Week 1,2212,5987,5554,9739,1937,7112,31,37
2024,2024isde2,Week 1,1943,5635,1657,5928,6741,7039,48,28
2024,2024isde2,Week 1,5951,2231,5614,4586,4661,3835,94,18
2024,2024isde2,Week 1,9304,6104,7845,1954,5928,8223,32,5
2024,2024isde2,Week 1,3075,4661,1937,5951,1657,5987,49,89
2024,2024isde2,Week 1,6741,2096,5614,5635,5554,4590,59,45
2024,2024isde2,Week 1,6168,2212,1943,4744,7112,4586,36,11
2024,2024isde2,Week 1,4416,2231,3835,7039,9739,3388,59,42
2024,2024isde2,Week 1,2096,5987,9304,5951,5928,5635,44,53
2024,2024isde2,Week 1,2212,6741,4590,3835,1937,6104,27,34
2024,2024isde2,Week 1,5554,8223,3388,7845,1943,4586,33,59
2024,2024isde2,Week 1,6168,3075,2231,4416,1657,4661,77,33
2024,2024isde2,Week 1,7112,7039,1954,4744,5614,9739,43,45
2024,2024isde2,Week 1,4416,6741,5554,1657,6168,2096,43,57
2024,2024isde2,Week 1,5614,4586,3835,8223,7845,5928,56,28
2024,2024isde2,Week 1,7039,4661,5951,2212,4744,1954,64,12
2024,2024isde2,Week 1,5635,3388,1937,7112,4590,1943,45,32
2024,2024isde2,Week 1,2231,9739,5987,6104,3075,9304,78,52
2024,2024isde2,Week 1,4586,2096,7039,1943,5951,6741,60,38
2024,2024isde2,Week 1,3835,9739,9304,7845,5635,3075,46,53
2024,2024isde2,Week 1,4661,6168,7112,1954,4590,2231,52,73
2024,2024isde2,Week 1,1657,3388,5614,5554,2212,6104,72,39
2024,2024isde2,Week 1,4744,4416,5928,1937,5987,8223,15,42
2024,2024isde2,Week 1,1657,5554,4586,9304,1943,2231,94,44
2024,2024isde2,Week 1,7039,3075,4416,5614,6104,4590,73,53
2024,2024isde2,Week 1,1937,5928,2212,1954,3835,2096,50,34
2024,2024isde2,Week 1,5987,7845,5635,6168,5951,4744,40,55
2024,2024isde2,Week 1,9739,4661,8223,6741,3388,7112,17,30
2024,2024brbr,Week 1,9200,9049,9617,9302,9196,9168,31,18
2024,2024brbr,Week 1,9604,8066,9602,9050,9110,9614,37,24
2024,2024brbr,Week 1,1156,9485,9175,9484,9169,1772,63,51
2024,2024brbr,Week 1,8276,9085,9603,9162,9163,7567,55,24
