year,event,week,team,opr,auto,teleop,endgame,foul,rp,total
2023,2023isde1,Week 1,1577,62.986,13.562,35.041,8.445,2.912,2.28,62.986
2023,2023isde1,Week 1,1690,52.955,14.557,30.547,9.064,0.153,2.191,52.955
2023,2023isde1,Week 1,2630,39.1,7.339,20.965,10.201,5.395,1.123,39.1
2023,2023isde1,Week 1,5654,38.05,10.593,18.281,7.922,2.125,1.382,38.05
2023,2023isde1,Week 1,6168,31.549,8.746,18.885,6.487,0.16,0.398,31.549
2023,2023isde1,Week 1,2230,31.522,5.65,12.952,4.546,7.117,0.507,31.522
2023,2023isde1,Week 1,1574,30.284,4.652,17.896,6.404,3.56,0.594,30.284
2023,2023isde1,Week 1,5135,29.433,4.412,18.192,6.507,3.068,0.745,29.433
2023,2023isde1,Week 1,3065,24.927,2.437,16.1,4.492,1.584,0.233,24.927
2023,2023isde1,Week 1,6738,24.399,5.393,12.9,5.878,4.676,0.156,24.399
2023,2023isde1,Week 1,4319,24.115,8.792,13.269,5.884,1.193,0.421,24.115
2023,2023isde1,Week 1,2096,23.893,8.326,12.78,6.532,1.858,0.653,23.893
2023,2023isde1,Week 1,3388,22.019,4.414,11.908,6.056,5.986,0.421,22.019
2023,2023isde1,Week 1,5990,21.809,4.541,12.507,3.118,0.59,0.617,21.809
2023,2023isde1,Week 1,3083,20.58,1.985,9.54,4.37,7.385,0.075,20.58
2023,2023isde1,Week 1,3211,18.264,2.227,12.247,4.751,1.254,0.588,18.264
2023,2023isde1,Week 1,4661,17.728,5.725,8.694,2.688,0.142,-0.094,17.728
2023,2023isde1,Week 1,7067,17.201,6.619,12.891,8.68,-2.431,0.657,17.201
2023,2023isde1,Week 1,6740,17.184,6.185,8.021,4.122,1.959,0.333,17.184
2023,2023isde1,Week 1,1576,14.266,3.077,8.471,3.972,0.082,0.237,14.266
2023,2023isde1,Week 1,6741,13.453,2.817,5.655,4.16,3.842,0.257,13.453
2023,2023isde1,Week 1,4338,13.012,4.189,8.626,7.397,1.841,0.388,13.012
2023,2023isde1,Week 1,1943,11.387,0.329,9.881,5.498,-0.001,0.042,11.387
2023,2023isde1,Week 1,9304,8.705,0.659,5.93,2.431,3.23,-0.376,8.705
2023,2023isde1,Week 1,5554,7.343,3.026,3.238,2.063,-0.096,-0.579,7.343
2023,2023bcvi,Week 1,359,58.608,14.32,32.817,7.484,0.765,1.948,58.608
2023,2023bcvi,Week 1,4613,53.394,13.099,26.252,7.47,3.38,2.008,53.394
2023,2023bcvi,Week 1,4253,48.919,16.647,22.311,5.979,5.043,1.472,48.919
2023,2023bcvi,Week 1,4421,41.164,12.729,21.886,8.624,3.775,1.141,41.164
2023,2023bcvi,Week 1,7287,37.625,13.334,15.407,4.614,5.603,0.905,37.625
