year,event,week,col_index,col_name,rank,team,value
2024,2024isde1,Week 1,2,Ranking Score,1,1690,3.08
2024,2024isde1,Week 1,3,Avg Coop,1,1690,0.58
2024,2024isde1,Week 1,4,Avg Match,1,1690,68.16
2024,2024isde1,Week 1,5,Avg Auto,1,1690,27.75
2024,2024isde1,Week 1,6,Avg Stage,1,1690,7.83
2024,2024isde1,Week 1,7,Record (W-L-T),1,1690,11-1-0
2024,2024isde1,Week 1,8,DQ,1,1690,0
2024,2024isde1,Week 1,9,Played,1,1690,12
2024,2024isde1,Week 1,10,Total Ranking Points*,1,1690,37
2024,2024isde1,Week 1,2,Ranking Score,2,1574,2.58
2024,2024isde1,Week 1,3,Avg Coop,2,1574,0.25
2024,2024isde1,Week 1,4,Avg Match,2,1574,48.08
2024,2024isde1,Week 1,5,Avg Auto,2,1574,15.83
2024,2024isde1,Week 1,6,Avg Stage,2,1574,6.00
2024,2024isde1,Week 1,7,Record (W-L-T),2,1574,10-2-0
2024,2024isde1,Week 1,8,DQ,2,1574,0
2024,2024isde1,Week 1,9,Played,2,1574,12
2024,2024isde1,Week 1,10,Total Ranking Points*,2,1574,31
2024,2024isde1,Week 1,2,Ranking Score,3,3339,2.50
2024,2024isde1,Week 1,3,Avg Coop,3,3339,0.83
2024,2024isde1,Week 1,4,Avg Match,3,3339,57.41
2024,2024isde1,Week 1,5,Avg Auto,3,3339,21.83
2024,2024isde1,Week 1,6,Avg Stage,3,3339,6.00
2024,2024isde1,Week 1,7,Record (W-L-T),3,3339,9-3-0
2024,2024isde1,Week 1,8,DQ,3,3339,0
2024,2024isde1,Week 1,9,Played,3,3339,12
2024,2024isde1,Week 1,10,Total Ranking Points*,3,3339,30
2024,2024isde1,Week 1,2,Ranking Score,4,1942,2.25
2024,2024isde1,Week 1,3,Avg Coop,4,1942,0.25
2024,2024isde1,Week 1,4,Avg Match,4,1942,51.41
2024,2024isde1,Week 1,5,Avg Auto,4,1942,15.33
2024,2024isde1,Week 1,6,Avg Stage,4,1942,4.41
2024,2024isde1,Week 1,7,Record (W-L-T),4,1942,10-2-0
2024,2024isde1,Week 1,8,DQ,4,1942,0
2024,2024isde1,Week 1,9,Played,4,1942,12
2024,2024isde1,Week 1,10,Total Ranking Points*,4,1942,27
2024,2024isde1,Week 1,2,Ranking Score,5,5951,2.00
2024,2024isde1,Week 1,3,Avg Coop,5,5951,0.50
2024,2024isde1,Week 1,4,Avg Match,5,5951,49.66
2024,2024isde1,Week 1,5,Avg Auto,5,5951,18.66
2024,2024isde1,Week 1,6,Avg Stage,5,5951,3.50
2024,2024isde1,Week 1,7,Record (W-L-T),5,5951,8-4-0
2024,2024isde1,Week 1,8,DQ,5,5951,0
2024,2024isde1,Week 1,9,Played,5,5951,12
2024,2024isde1,Week 1,10,Total Ranking Points*,5,5951,24
2024,2024isde1,Week 1,2,Ranking Score,6,5715,1.83
2024,2024isde1,Week 1,3,Avg Coop,6,5715,0.25
2024,2024isde1,Week 1,4,Avg Match,6,5715,49.33
2024,2024isde1,Week 1,5,Avg Auto,6,5715,17.41
2024,2024isde1,Week 1,6,Avg Stage,6,5715,3.75
2024,2024isde1,Week 1,7,Record (W-L-T),6,5715,8-4-0
2024,2024isde1,Week 1,8,DQ,6,5715,0
