year,event,week,col_index,col_name,rank,team,value
2025,2025isde1,Week 1,2,Ranking Score,1,5614,4.92
2025,2025isde1,Week 1,3,Avg Coop,1,5614,0.08
2025,2025isde1,Week 1,4,Avg Match,1,5614,119.08
2025,2025isde1,Week 1,5,Avg Auto,1,5614,29.25
2025,2025isde1,Week 1,6,Avg Barge,1,5614,15.33
2025,2025isde1,Week 1,7,Record (W-L-T),1,5614,10-2-0
2025,2025isde1,Week 1,8,DQ,1,5614,0
2025,2025isde1,Week 1,9,Played,1,5614,12
2025,2025isde1,Week 1,10,Total Ranking Points*,1,5614,59
2025,2025isde1,Week 1,2,Ranking Score,2,1690,4.75
2025,2025isde1,Week 1,3,Avg Coop,2,1690,0.17
2025,2025isde1,Week 1,4,Avg Match,2,1690,124.17
2025,2025isde1,Week 1,5,Avg Auto,2,1690,32.17
2025,2025isde1,Week 1,6,Avg Barge,2,1690,8.67
2025,2025isde1,Week 1,7,Record (W-L-T),2,1690,11-1-0
2025,2025isde1,Week 1,8,DQ,2,1690,0
2025,2025isde1,Week 1,9,Played,2,1690,12
2025,2025isde1,Week 1,10,Total Ranking Points*,2,1690,57
2025,2025isde1,Week 1,2,Ranking Score,3,2630,4.58
2025,2025isde1,Week 1,3,Avg Coop,3,2630,0.00
2025,2025isde1,Week 1,4,Avg Match,3,2630,99.92
2025,2025isde1,Week 1,5,Avg Auto,3,2630,27.17
2025,2025isde1,Week 1,6,Avg Barge,3,2630,11.83
2025,2025isde1,Week 1,7,Record (W-L-T),3,2630,12-0-0
2025,2025isde1,Week 1,8,DQ,3,2630,0
2025,2025isde1,Week 1,9,Played,3,2630,12
2025,2025isde1,Week 1,10,Total Ranking Points*,3,2630,55
2025,2025isde1,Week 1,2,Ranking Score,4,5951,4.58
2025,2025isde1,Week 1,3,Avg Coop,4,5951,0.00
2025,2025isde1,Week 1,4,Avg Match,4,5951,97.92
2025,2025isde1,Week 1,5,Avg Auto,4,5951,23.75
2025,2025isde1,Week 1,6,Avg Barge,4,5951,15.50
2025,2025isde1,Week 1,7,Record (W-L-T),4,5951,11-1-0
2025,2025isde1,Week 1,8,DQ,4,5951,0
2025,2025isde1,Week 1,9,Played,4,5951,12
2025,2025isde1,Week 1,10,Total Ranking Points*,4,5951,55
2025,2025isde1,Week 1,2,Ranking Score,5,1942,3.08
2025,2025isde1,Week 1,3,Avg Coop,5,1942,0.00
2025,2025isde1,Week 1,4,Avg Match,5,1942,94.17
2025,2025isde1,Week 1,5,Avg Auto,5,1942,22.33
2025,2025isde1,Week 1,6,Avg Barge,5,1942,6.67
2025,2025isde1,Week 1,7,Record (W-L-T),5,1942,7-5-0
2025,2025isde1,Week 1,8,DQ,5,1942,0
2025,2025isde1,Week 1,9,Played,5,1942,12
2025,2025isde1,Week 1,10,Total Ranking Points*,5,1942,37
2025,2025isde1,Week 1,2,Ranking Score,6,5635,3.00
2025,2025isde1,Week 1,3,Avg Coop,6,5635,0.00
2025,2025isde1,Week 1,4,Avg Match,6,5635,93.25
2025,2025isde1,Week 1,5,Avg Auto,6,5635,17.25
2025,2025isde1,Week 1,6,Avg Barge,6,5635,10.50
2025,2025isde1,Week 1,7,Record (W-L-T),6,5635,7-5-0
2025,2025isde1,Week 1,8,DQ,6,5635,0
2025,2025isde1,Week 1,9,Played,6,5635,12
2025,2025isde1,Week 1,10,Total Ranking Points*,6,5635,36
2025,2025isde1,Week 1,2,Ranking Score,7,1577,2.92
2025,2025isde1,Week 1,3,Avg Coop,7,1577,0.08
2025,2025isde1,Week 1,4,Avg Match,7,1577,83.92
2025,2025isde1,Week 1,5,Avg Auto,7,1577,17.58
2025,2025isde1,Week 1,6,Avg Barge,7,1577,6.17
2025,2025isde1,Week 1,7,Record (W-L-T),7,1577,7-5-0
2025,2025isde1,Week 1,8,DQ,7,1577,0
2025,2025isde1,Week 1,9,Played,7,1577,12
2025,2025isde1,Week 1,10,Total Ranking Points*,7,1577,35
2025,2025isde1,Week 1,2,Ranking Score,8,8223,2.75
2025,2025isde1,Week 1,3,Avg Coop,8,8223,0.17
2025,2025isde1,Week 1,4,Avg Match,8,8223,82.42
2025,2025isde1,Week 1,5,Avg Auto,8,8223,19.83
2025,2025isde1,Week 1,6,Avg Barge,8,8223,9.83
2025,2025isde1,Week 1,7,Record (W-L-T),8,8223,6-6-0
2025,2025isde1,Week 1,8,DQ,8,8223,0
2025,2025isde1,Week 1,9,Played,8,8223,12
2025,2025isde1,Week 1,10,Total Ranking Points*,8,8223,33
2025,2025isde1,Week 1,2,Ranking Score,9,4661,2.75
2025,2025isde1,Week 1,3,Avg Coop,9,4661,0.17
2025,2025isde1,Week 1,4,Avg Match,9,4661,72.42
2025,2025isde1,Week 1,5,Avg Auto,9,4661,13.92
2025,2025isde1,Week 1,6,Avg Barge,9,4661,7.17
2025,2025isde1,Week 1,7,Record (W-L-T),9,4661,7-5-0
2025,2025isde1,Week 1,8,DQ,9,4661,0
2025,2025isde1,Week 1,9,Played,9,4661,12
2025,2025isde1,Week 1,10,Total Ranking Points*,9,4661,33
2025,2025isde1,Week 1,2,Ranking Score,10,4416,2.67
2025,2025isde1,Week 1,3,Avg Coop,10,4416,0.08
2025,2025isde1,Week 1,4,Avg Match,10,4416,73.75
2025,2025isde1,Week 1,5,Avg Auto,10,4416,14.67
2025,2025isde1,Week 1,6,Avg Barge,10,4416,8.83
2025,2025isde1,Week 1,7,Record (W-L-T),10,4416,7-5-0
2025,2025isde1,Week 1,8,DQ,10,4416,0
2025,2025isde1,Week 1,9,Played,10,4416,12
2025,2025isde1,Week 1,10,Total Ranking Points*,10,4416,32
2025,2025isde1,Week 1,2,Ranking Score,11,3083,2.58
2025,2025isde1,Week 1,3,Avg Coop,11,3083,0.08
2025,2025isde1,Week 1,4,Avg Match,11,3083,81.58
2025,2025isde1,Week 1,5,Avg Auto,11,3083,13.42
2025,2025isde1,Week 1,6,Avg Barge,11,3083,6.50
2025,2025isde1,Week 1,7,Record (W-L-T),11,3083,7-5-0
2025,2025isde1,Week 1,8,DQ,11,3083,0
2025,2025isde1,Week 1,9,Played,11,3083,12
2025,2025isde1,Week 1,10,Total Ranking Points*,11,3083,31
2025,2025isde1,Week 1,2,Ranking Score,12,6738,2.50
2025,2025isde1,Week 1,3,Avg Coop,12,6738,0.00
2025,2025isde1,Week 1,4,Avg Match,12,6738,74.50
2025,2025isde1,Week 1,5,Avg Auto,12,6738,16.00
2025,2025isde1,Week 1,6,Avg Barge,12,6738,5.67
2025,2025isde1,Week 1,7,Record (W-L-T),12,6738,6-6-0
2025,2025isde1,Week 1,8,DQ,12,6738,0
2025,2025isde1,Week 1,9,Played,12,6738,12
2025,2025isde1,Week 1,10,Total Ranking Points*,12,6738,30
2025,2025isde1,Week 1,2,Ranking Score,13,2096,2.42
2025,2025isde1,Week 1,3,Avg Coop,13,2096,0.08
2025,2025isde1,Week 1,4,Avg Match,13,2096,96.33
2025,2025isde1,Week 1,5,Avg Auto,13,2096,18.58
2025,2025isde1,Week 1,6,Avg Barge,13,2096,6.33
2025,2025isde1,Week 1,7,Record (W-L-T),13,2096,5-7-0
2025,2025isde1,Week 1,8,DQ,13,2096,0
2025,2025isde1,Week 1,9,Played,13,2096,12
2025,2025isde1,Week 1,10,Total Ranking Points*,13,2096,29
