year,event,week,red1,red2,red3,blue1,blue2,blue3,red_score,blue_score
2023,2023isde1,Week 1,1574,3211,4661,6738,3388,7067,80,34
2023,2023isde1,Week 1,1943,5135,9304,4319,5654,1576,37,70
2023,2023isde1,Week 1,2096,1690,6168,5554,2230,2630,90,87
2023,2023isde1,Week 1,3065,6741,5990,4338,1577,6740,41,51
2023,2023isde1,Week 1,4661,5654,6738,3083,4319,1574,77,85
2023,2023isde1,Week 1,3388,1576,5135,2630,1690,1943,53,88
2023,2023isde1,Week 1,7067,6740,2096,6741,6168,4338,71,66
2023,2023isde1,Week 1,9304,3211,2230,1577,3083,3065,36,115
2023,2023isde1,Week 1,4319,6738,5554,5990,3388,1943,48,50
2023,2023isde1,Week 1,2630,4661,6168,5654,2096,4338,79,95
2023,2023isde1,Week 1,1577,2230,5135,1690,7067,9304,141,77
2023,2023isde1,Week 1,1576,1574,5554,3211,3065,6741,34,53
2023,2023isde1,Week 1,6740,3083,4661,5990,2096,2630,74,79
2023,2023isde1,Week 1,2230,4319,1690,5654,1943,7067,85,57
2023,2023isde1,Week 1,5135,5554,6741,3211,1577,3388,25,95
2023,2023isde1,Week 1,3083,5990,1574,1576,3065,6740,60,46
2023,2023isde1,Week 1,4338,6168,1690,9304,6738,2630,83,72
2023,2023isde1,Week 1,1943,5554,6741,3388,7067,5654,36,76
2023,2023isde1,Week 1,1574,6740,1577,4661,4319,5135,105,47
2023,2023isde1,Week 1,1576,2096,3083,9304,3065,6168,66,75
2023,2023isde1,Week 1,6738,4338,2230,3211,5990,5554,77,43
2023,2023isde1,Week 1,6741,1574,5654,1577,4661,1690,61,135
2023,2023isde1,Week 1,3065,1943,3388,4319,9304,6168,83,78
2023,2023isde1,Week 1,4338,2630,3211,6740,2230,1576,77,47
2023,2023isde1,Week 1,7067,5135,5990,3083,6738,2096,79,69
2023,2023isde1,Week 1,3388,4661,9304,6168,1577,5554,38,91
2023,2023isde1,Week 1,5654,3065,2630,6741,6740,3211,92,47
2023,2023isde1,Week 1,2096,7067,4319,1690,6738,1576,63,106
2023,2023isde1,Week 1,2230,3083,1943,5135,4338,1574,58,81
2023,2023isde1,Week 1,5990,5654,1577,6740,5554,3388,123,60
2023,2023isde1,Week 1,2630,6741,7067,3211,6168,4319,73,72
2023,2023isde1,Week 1,6738,5135,3065,2230,4661,2096,87,49
2023,2023isde1,Week 1,9304,4338,5990,1574,1576,1943,57,76
2023,2023isde1,Week 1,6168,3388,3083,1690,6741,3211,59,89
2023,2023isde1,Week 1,2630,6740,4319,4661,2230,3065,96,82
2023,2023isde1,Week 1,2096,1577,9304,1943,1574,6738,99,51
2023,2023isde1,Week 1,1690,5654,3083,5554,4338,5135,125,47
2023,2023isde1,Week 1,7067,6168,2230,5990,1576,4661,94,54
2023,2023isde1,Week 1,6738,9304,6740,3388,2096,6741,37,60
2023,2023isde1,Week 1,3065,4319,4338,5135,1690,1574,68,116
2023,2023isde1,Week 1,1576,2630,1577,5554,3083,7067,115,61
2023,2023isde1,Week 1,1943,3211,2096,5654,5990,2230,56,96
2023,2023isde1,Week 1,1574,3388,4319,6168,5135,6740,89,96
2023,2023isde1,Week 1,1577,6741,6738,3065,2630,3083,132,61
2023,2023isde1,Week 1,7067,1576,3211,4338,1943,4661,53,46
2023,2023isde1,Week 1,5554,9304,5654,6740,1690,5990,55,103
2023,2023isde1,Week 1,2230,2630,3388,2096,1574,3065,124,83
2023,2023isde1,Week 1,4319,1943,1577,3083,7067,4338,107,36
2023,2023isde1,Week 1,6168,5990,6738,5135,3211,5654,85,98
2023,2023isde1,Week 1,4661,5554,1690,6741,9304,1576,104,56
2023,2023bcvi,Week 1,7287,8338,1622,9079,4421,9277,43,49
2023,2023bcvi,Week 1,4613,7332,216,8871,7781,8331,48,33
2023,2023bcvi,Week 1,6390,9292,5118,3256,4627,7135,46,64
2023,2023bcvi,Week 1,4253,7167,1868,5997,6351,7173,106,18
2023,2023bcvi,Week 1,359,7796,7787,7688,8339,5419,48,41
2023,2023bcvi,Week 1,4613,244,7190,6364,9180,288,75,63
2023,2023bcvi,Week 1,9292,5997,7167,8871,1622,5118,51,28
2023,2023bcvi,Week 1,7796,8338,8339,7787,4627,7332,49,49
2023,2023bcvi,Week 1,5419,7173,4421,7135,216,7190,73,31
2023,2023bcvi,Week 1,1868,3256,9079,7688,359,9277,67,93
2023,2023bcvi,Week 1,4253,6364,6351,288,8331,244,111,7
2023,2023bcvi,Week 1,7167,6390,9180,4627,7287,7781,75,62
2023,2023bcvi,Week 1,5419,5997,3256,7332,4421,7135,81,61
2023,2023bcvi,Week 1,4613,8331,6351,7688,9292,9079,96,32
2023,2023bcvi,Week 1,216,6390,8871,7796,1622,6364,70,38
2023,2023bcvi,Week 1,7781,8338,288,9277,244,9180,19,78
2023,2023bcvi,Week 1,7190,359,7173,4253,7787,5118,90,74
2023,2023bcvi,Week 1,9292,7287,1868,8339,216,3256,104,67
2023,2023bcvi,Week 1,5419,6364,8331,6351,7781,1622,61,17
2023,2023bcvi,Week 1,8338,4253,244,7796,9079,5997,87,48
2023,2023bcvi,Week 1,9180,7688,8871,7173,5118,8339,105,38
2023,2023bcvi,Week 1,7167,9277,7332,359,4421,6390,17,130
2023,2023bcvi,Week 1,288,7190,4627,7787,1868,4613,65,86
2023,2023bcvi,Week 1,8338,8871,7135,7287,6351,7688,31,86
2023,2023bcvi,Week 1,1622,7173,3256,244,8339,359,46,111
2023,2023bcvi,Week 1,7787,9277,216,9180,5997,4253,33,49
2023,2023bcvi,Week 1,4627,9079,6364,9292,288,7332,69,38
2023,2023bcvi,Week 1,4421,5118,7287,1868,6390,7781,69,53
2023,2023bcvi,Week 1,8331,7167,7796,4613,7135,5419,40,93
2023,2023bcvi,Week 1,9079,7190,1622,4253,4627,7688,33,95
2023,2023bcvi,Week 1,4421,9292,8338,8871,288,359,76,80
2023,2023bcvi,Week 1,7135,9277,8331,216,7287,7173,46,32
2023,2023bcvi,Week 1,5997,8339,4613,7190,5419,6390,104,50
2023,2023bcvi,Week 1,6364,7781,7787,3256,6351,7167,25,60
2023,2023bcvi,Week 1,7332,244,7796,5118,1868,9180,53,62
2023,2023bcvi,Week 1,7173,4253,4613,1622,5419,9292,108,74
2023,2023bcvi,Week 1,359,3256,7287,7167,216,8338,114,39
2023,2023bcvi,Week 1,9277,5118,5997,7190,7796,6351,31,40
2023,2023bcvi,Week 1,7787,9180,4421,6390,8331,7688,85,68
2023,2023bcvi,Week 1,7781,244,7135,7332,6364,8339,29,47
2023,2023bcvi,Week 1,1868,8871,4627,288,9079,5419,81,62
2023,2023bcvi,Week 1,7287,9180,7796,7173,7787,9292,87,32
2023,2023bcvi,Week 1,5118,7167,7781,9277,4253,6390,43,89
2023,2023bcvi,Week 1,6351,8339,4421,7688,216,6364,101,54
2023,2023bcvi,Week 1,1868,7135,359,8338,4613,4627,103,109
2023,2023bcvi,Week 1,288,1622,5997,3256,8871,7332,66,55
2023,2023bcvi,Week 1,8331,7190,9292,9079,7167,244,49,38
2023,2023bcvi,Week 1,8339,7135,4253,9277,1868,6351,84,68
2023,2023bcvi,Week 1,1622,4613,9180,6364,5118,8338,97,64
2023,2023bcvi,Week 1,6390,3256,244,8871,7787,7190,55,59
2023,2023bcvi,Week 1,7796,7688,288,5997,8331,7287,49,94
2023,2023bcvi,Week 1,5419,7332,359,9079,7781,216,112,32
2023,2023bcvi,Week 1,4627,7173,9277,4421,8871,4613,40,110
2023,2023bcvi,Week 1,8339,7787,288,1622,7135,7167,39,49
2023,2023bcvi,Week 1,6390,9079,7287,5997,6364,1868,93,79
2023,2023bcvi,Week 1,5118,7688,7190,7173,7332,8338,48,22
2023,2023bcvi,Week 1,9180,3256,9292,8331,359,4253,53,101
2023,2023bcvi,Week 1,216,5419,7796,244,4627,4421,93,69
2023,2023bcvi,Week 1,7781,7173,7688,6351,288,6390,48,72
2023,2023bcvi,Week 1,7332,4253,1622,7287,4613,7167,64,110
2023,2023bcvi,Week 1,244,5997,7787,5118,359,9079,74,95
2023,2023bcvi,Week 1,6364,9292,8871,8338,9277,5419,80,68
2023,2023bcvi,Week 1,4627,6351,216,7781,7796,3256,58,36
2023,2023bcvi,Week 1,4421,1868,8331,9180,7190,8339,80,55
2023,2023bcvi,Week 1,7135,6390,6364,359,8338,5997,82,102
2023,2023bcvi,Week 1,216,288,5118,7167,5419,7787,30,48
2023,2023bcvi,Week 1,244,7688,1868,8331,1622,4627,74,62
2023,2023bcvi,Week 1,7190,4421,7781,9292,7796,4253,97,115
2023,2023bcvi,Week 1,6351,7332,9079,7135,9180,7173,35,38
2023,2023bcvi,Week 1,8339,7287,8871,3256,4613,9277,84,97
2023,2023isde2,Week 1,1954,5635,4320,8175,2231,1657,51,63
2023,2023isde2,Week 1,2212,3075,5987,4590,5928,5715,91,25
2023,2023isde2,Week 1,5614,3835,7039,3316,1942,1937,80,75
2023,2023isde2,Week 1,6104,9303,4416,5951,4744,7112,55,37
2023,2023isde2,Week 1,3339,2679,1580,7845,4586,5928,56,62
2023,2023isde2,Week 1,5635,3075,1942,5614,3316,5987,86,91
2023,2023isde2,Week 1,1937,8175,1954,9303,2212,4744,42,313
2023,2023isde2,Week 1,4590,7112,4320,1580,3835,4416,53,42
2023,2023isde2,Week 1,2231,5715,3339,5951,6104,2679,105,39
2023,2023isde2,Week 1,5614,1657,7845,4586,7039,1937,105,56
2023,2023isde2,Week 1,4416,1954,4744,5928,4320,2212,43,47
2023,2023isde2,Week 1,8175,5951,3075,3835,3316,7112,64,69
2023,2023isde2,Week 1,1580,1657,2679,7845,4590,6104,113,62
2023,2023isde2,Week 1,7039,5987,1942,9303,5715,4586,123,30
2023,2023isde2,Week 1,5635,3339,5614,2231,7112,4416,108,61
2023,2023isde2,Week 1,4744,7845,2679,3075,1580,4320,71,52
2023,2023isde2,Week 1,3835,2212,5951,7039,4590,8175,36,77
2023,2023isde2,Week 1,4586,5635,1657,6104,1942,1954,74,64
2023,2023isde2,Week 1,9303,2231,3316,1937,5928,5987,80,75
2023,2023isde2,Week 1,5715,5614,3075,4320,3339,8175,81,103
2023,2023isde2,Week 1,4590,4586,4744,7112,7845,5635,95,71
2023,2023isde2,Week 1,1657,3316,1954,1580,4416,2231,92,76
2023,2023isde2,Week 1,6104,7039,5928,5987,1937,3339,42,92
2023,2023isde2,Week 1,2212,1942,5715,3835,5951,9303,84,32
2023,2023isde2,Week 1,3316,4590,4416,8175,2679,4586,69,75
2023,2023isde2,Week 1,7112,7039,3339,2231,5928,1954,71,87
2023,2023isde2,Week 1,1942,4744,4320,5951,5987,7845,40,100
2023,2023isde2,Week 1,9303,1580,5614,1657,5715,3835,68,44
2023,2023isde2,Week 1,1937,6104,3075,2679,5635,2212,37,70
2023,2023isde2,Week 1,8175,7112,5987,4416,4320,7039,85,63
2023,2023isde2,Week 1,1657,3339,5928,4744,2231,5614,99,89
2023,2023isde2,Week 1,3835,2679,1937,1580,5635,5715,69,62
2023,2023isde2,Week 1,4590,1954,5951,7845,3075,3316,72,102
2023,2023isde2,Week 1,4586,2212,6104,1942,9303,3339,52,98
2023,2023isde2,Week 1,5715,5987,2679,1657,4416,8175,93,67
